,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X002460.SZ,X600111.SH,X600795.SH,X600362.SH,X000301.SZ,X002466.SZ,X600489.SH,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X000807.SZ,X600219.SH,X600426.SH,X000877.SZ,X000983.SZ,X000408.SZ,X600176.SH,X002128.SZ,X601699.SH,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X600352.SH,X000831.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.445640396531535,0,0.00620024466766589,0,0,0.0839654764273644,0,0,0,0,0,0,0.105333870176144,0.00790959384021862,0,0,0,0,0,0.142819673165911,0,0,0.00414811202148512,0,0,0,0,0,0,0,0,0.0383871351804796,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032604394504945,0,0
X601088.SH,0,0,0,0,0.362481036598332,0,0,0.0131230128981547,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016511333784747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166050260097285,0,0,0,0,-0.0458083823452122,0,0,0,0,0,0,0,0,0,0,-0.0150460003125844,0,0
X600028.SH,0.348391485945473,0,0,0,0.0620816339069613,0.0391048643336183,0,0,0,0,0,0,0,0,0.000100567474500686,0,0,0,0,0,-0.0444638826798668,0,0,0,0,0,0.115390425271422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171387502521873,0,0,0,0,0,0,-0.0475546471495238,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957353890161791,0,0,0,0.0273503983995246,0.0272031836172925,0,0,0,0.109330061145371,0,0,0,0,0,0.232688089022473,0.0279808067742033,0,0,0,0,0,0.152731649307726,0,0,0,0,0,0,0,0.0063603198402967,0,0,0.0639643721431484,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.328753040427832,0.260153837213383,0,0,0,0,0,0.0646475331457307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140710559761081,0.0583631282664289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420666455523464,0,0,-0.0172630795320322,0,0
X600188.SH,0,0,0,0,0.143671966019008,0,0,0,0,0,0,0,0,0,0,0,0.0615683815636797,0,0,0,0,0,0,0,0.0241663714718685,0,0,0,0,0,0,0,0.211312503341811,0,0,0,0.210114861032266,0,0,0,0,0,0,0.00964919887629838,0,0,0.0162071420413723,0,0.0862073628315354,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113541765948618,0,0,0.195425710326907,0,0.028773024811208,0.204156400036884,0,0,0,0,0,0.160252227894299,0,0,-0.063505058372551,0,0,0,-0.218606483265838,0,0,0,0,0,-0.130846040486837,0,0,0,-0.0772158802437729,0,0,0,0,-0.0174391941169576,0,-0.0655300527626952,0,0,0,0,0,0
X600019.SH,0.0989762337742164,0,0,0,0,0,0,0,0,0.241698638487917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143939603000097,0,0,0,0,0,0,0.155575718597588,0,0,0,0,0,0,0,0,0,0,0,0.0240297371166631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.199423440292477,0.00980377834886277,0,0,0,0,0,0,0,0,0.0107009328068931,0,0,0,0,0,0,0.0376692898005115,0,0.113214801014425,0,0,0,0.0956185063052297,0,0,0,0.255011273429327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00836504604130203,0,0
X601600.SH,0,0.0165678039536674,0,0,0,0,0,0.216462503915885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210781214066295,0.3495649351753,0,0,0,0,0,0,0,0,0,0.467635682026893,0,0,0,-4.33680868994202e-19,0,-0.12168046415429,0,0,0,0,0,0,-0.0807710987774129,0,-0.0165814213157499,0,3.45835943940419e-05,0,0
