,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600157.SH,X601991.SH,X300072.SZ,X600362.SH,X600027.SH,X601992.SH,X600111.SH,X600309.SH,X600886.SH,X600660.SH,X600489.SH,X000723.SZ,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X002075.SZ,X000792.SZ,X000408.SZ,X000959.SZ,X000709.SZ,X000898.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X000630.SZ,X601699.SH,X600021.SH,X000935.SZ,X002460.SZ,X000012.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00713671130148789,0,0,0,0,0,0,0,0,0.0102090760131703,0,0,0,0,0.0282418894816636,0,0,0,0.00421224062414789,0.0127397986277121,0,0,0,0,0.0405541337120308,0,-0.0106397475778984,0.0356816354153316,0,0.0888789314388015,0,0,0,0.0547869517480054,0,0,0,0,0,0,-0.0016427200855481,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.119702626531957,0,0,0,0.00616309717040549,0,0.0123112617699347,0,0,0.0379811189543097,0,0,0,0,-0.013878618541732,0,0,0,0,0,0,0,-0.0413283448352084,0,0,0,0.0132672085856875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263921068605437,0.010397705292823,0.117991539145077,0,0,0,-0.00157320449000545,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.192633867080797,0,0.0611082107189998,0,0,0,0,0,0,0,0,0,0,0.0010507605426355,0,0,0,0.013465458964214,0,0,0,0,-0.0662161917740289,0,0,0,0.0347159054839029,0,0,0.0214556418529643,0,0,0,0,0,0,0,0.0351434323757805,0,0.0599070161416186,0,0,0,0,0,-0.0522210200265209,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0842176677872637,0,0,0,0,0,0,0.0983990897192498,0,0,0,0.0864515103448645,0,0,0,-0.00605625228913064,0,-0.0404735390978687,0,0,0,0,-0.0239654862471696,0,0,0,0,0,0.0886931476900063,0,0,0,0,0,0,0,0.0242074947648638,0.0977001308381362,0,0,0,-0.0256668625110618,0.0394137206270633,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100372855675113,0,0,0,0,0,0,0,0,0,0,0,0.0243753056772696,0,0,0,0,0,-0.0483968839011511,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114434943285617,0,0,0,0,0,0,0,0,0,0,0,0,0.0756088396196307,0,0.132301476469434,0,0.0155643379293154,0,0,0,0.0520158206799673,0,0,0.0257145422803545,0,0,0,0,0.0690291118414549,0,0.01742622989311,0.0339193145537529,0,0.0794585714478469,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.216824155815515,0,0,0,0,0.0361527663624766,0,0,0.113236998376011,0,0,0,0.162149574489583,0,0,0,0,0,0,-0.251646291026061,0,0,0,0,0,0,0,0,0.026959826310682,0,0,0,0,0,0,0,0.030934969229899,0,0,0,0,0.0442433864806723,0.014914247937187,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.204164643295342,0,0,0,0,0.0931926021322428,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0920215394206313,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00301753764646787,0,0,0,0,0.353599629027426,0,0.0101417109537614,0,0,0,0,0,-0.0233149560334411,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264838230142545,-0.0447972685415117,0,1.16991386939718,0,0,0,0,0,0,0,0,0.0488025803416375,0,0,0,0,0,0,-0.0133795983604188,0,0,-0.0583843218627724,0,-0.021065085615757,0,0.0167905991232482,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0.121739651609031,0,0,0,0,0,0,0,0,0,0,0,0,0.00577790287319802,0,0,0,0,0.0903732202418375,0,0.0218515980860756,0,0,0,0,0,0.0598577511885484,0,0,0,-0.0637219085648852,0,0,0,0.0883420508134385,0,0,0,0,0,0,0,0,0,0.0733281789016065,0,0.173413220416637,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601964449838048,0,0,0,0,0,0,0,0.0572396328202908,0,0,0,0,0,0,0,0,0,0,0,0,0.629251394326645,0,0,0.0543895779186853,0,0,0,0,0,0,0,0,0,0.185979661481158,0,0.0234645913411754,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0421933946697533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153190964699265,0,0,0,0.0682215254115631,0,0.218018399013214,0,0,0,0,0,0.0144353754335449,0,0.0412157744809481,0.050571254174823,0,0,0,0,0,0,0,0,0,0.127222065217069,0,-0.0303998994157721,-0.0178767218815587,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203452652737788,0,0,0,0,0.0768232523643204,0.0601622205804272,0,0,0,-0.0209068245599667,0,0,0.0650677334669464,0,0,0,0,0,0,0,0,0,0.0095529814137334,0.010552229766347,0,0,0.0349128343093547,0,0,0,0,0.0174384300652728,0.00382041518485527,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0.090758908620351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695088523837578,0,0,0,0,0.0771234812477118,0,0,0,0,0,0.0351619051927769,0,0,-4.33680868994202e-19,0,0,0,0.0880567445172153,0.143789819978321,0,0,0,0,0.00187070463203991,0,0,0,0,0,0,0,0,0
