,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X601992.SH,X600111.SH,X600489.SH,X000898.SZ,X600299.SH,X600339.SH,X601158.SH,X000959.SZ,X000709.SZ,X600583.SH,X000792.SZ,X002466.SZ,X000630.SZ,X000723.SZ,X000408.SZ,X600098.SH,X000883.SZ,X600352.SH,X600219.SH,X600021.SH,X000539.SZ,X000825.SZ,X000027.SZ,X002092.SZ,X000983.SZ,X601699.SH,X600623.SH,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.342248893168748,0.0292606263926563,0,0,0,0,0,0,0.00392435309768725,0.0238678659950564,0,0,0,0,0,0,0,0,0,0,0.00664467940067172,0,0,0.0462022100877451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525962071299038,0,0,0,0,0.116545646186391,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600028.SH,0.851408365836148,0,0,0,0,0.195071867388668,0,0,0,0.0175791643187271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115127621134972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0674898785076065,0,0,0,0,0,0,0,0.0213039717097911,0.000190104203440291,0.0405219489943221,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.12091498549146,0,0,0,0,0,0,0,0,0,0,0,0,0.0848108384514383,0,0,0,0.094637731838658,0,0,0,0,0,0,0,0,0.0390054904772864,0,0,0,0,0,0,0.00670565841485078,0,0,0,0.00940133560303832,0,0.0458158701187993,0,0.0550317539409808,0,-0.0386540451288936,0.0256057828135018,0,0,0,0,0,0
X600019.SH,0,0,0.13588881060336,0,0,0,0,0,0,-0.06297954375271,0,0,0.0510456276405435,0,0,0,0,0,0,0,0,0,0,0,0.146778752154372,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.100728488263491,0,0,0,0,0,0,-0.112137653155354,0,0,-0.0282997728723299,0.0286642517585336,0,0,0,-0.214784497966058,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.0626235742933093,0,0.3500408007667,0,0,0,0,0,0,0.0392789626986573,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0294610673647713,0,0,-0.0609898971040902,0,0,0,0,0,0,0,0,0,0,0.0358158456833461,0,0,0,0,0,-0.00158261802150883,0.00794994447037798,0.0831324241615831,0,0,-0.0536651272572481,0,0
X600585.SH,0,0.167795449581121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664485106598904,0.124815817812977,0,0,0,0.0308570100359381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791192728985458,-0.00718615665222314,0.00906837459297619,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0782036134766486,0,0.0178655820881354,0,0,0,0,0,0,0,0,0,0,0,0.194278686743364,0,0,0,0.00259530849099326,0,0,0,0,0,0,0,0.0235454669357254,0,0,0,0,0,0.0220417409903703,0,0,0,0,0.107779041055207,0.0597487675217445,0,-0.0167402466983332,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0730294229991732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247691778715826,0,0.0855072334906193,0,-0.00918942505040801,-0.000589241078506241,0,0,0,0,0,0
X600688.SH,0,0.28812765315449,0,0,0,0,0,0,0,0,0.00515556308716635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400409682777178,0,0.0185096711572179,0.155703837044685,0,0,0.0704356473728124,0,0,0,0,0,0,0,0,0,0.0856238838542316,0,0,0,0.0751583471424093,0,0,0,0,0,0.00319193878188076,0,0,0,0,0,0,0
X600547.SH,0,0.0756140318332396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196515912675493,0,0,0.99714553162567,0,0,0,0,0,0,0,0,0,0.0218771787173441,0,0,0,0,0,0,0,0,0,0,0.0056445272491713,0,0,0,-0.049249903431392,0,-0.0392214023514472,0.0236433326517735,0,0,0,0,0,0
