,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X601600.SH,X600688.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600516.SH,X600547.SH,X002460.SZ,X300072.SZ,X600886.SH,X600111.SH,X000898.SZ,X601992.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X600027.SH,X600299.SH,X000792.SZ,X000709.SZ,X000825.SZ,X002271.SZ,X000408.SZ,X601699.SH,X600489.SH,X601158.SH,X600426.SH,X600808.SH,X600157.SH,X600219.SH,X002470.SZ,X000883.SZ,X600315.SH,X000830.SZ,X000630.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.133348083284863,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.122376538170046,0.03419057921088,0,0.0653816845555559,0,0,0,0,0,0.0384425752647504,0,0.0729616535979727,0,0,0,0,0,0,0,0,0,0,0,0.0356940641263021,0,0.00845009699086352,0,0,0,0,0,0,0
X600028.SH,0,0,0.326419916092823,0,0,0,0,0,0,0,0,0,0,0,0.309596138262031,0,0,0.0992801830491078,0.0321581020195509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.000235398781664898,0,0,0,0,0,0
X601088.SH,0,0.0188966638480229,0,0.279127553462181,0.0585395107883466,0,0,0,0,-0.0299598761037858,0,0,0,0,0,0,0,0,0,0,0,-0.0180216514631717,0,0,0,0,0,0,0,-0.0834374572993583,0,0,0,0,0,0.352477277869513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00964960692660214,0,0,0,0,0,0
X600019.SH,0,0,0.44243627392982,0,0,0,0,0.22955019299911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0958617797019188,0,0,0.102053383885462,-0.165757459069412,0,0,0,0,0,0.0312355923526392,0,0,0,0,0,0,0,0,0,0.00574662140498678,0,0,0,0,0,0,0
X600585.SH,0,0,0.522014614943412,0,0,0,0,0.0692147541370379,0,0,0,0,0,0,0,0,0,0,0.0634016913416475,0,0,0,0,0,0,0,-0.0384362453576589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705493556939591,0,0,0,0,0.155198530780123,0,0,0,-0.0055195380358335,0.0533537360363898,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0896661006559402,0,0,0,0,0,0,0,0,0,0,0,0.0486089018514286,0,0,0.055991321359606,0,0,0,0,0,0,0,0,0.227968514833348,0.108568403605314,-0.00649447695067164,0,0,0.257884060770219,0,0.0752997429477453,0,0,-0.0458553588018723,0,0,0,0,0,0,-0.00764222460851494,0,0,0,0,-0.0195076258269699,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0605310117434127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19330945798235,0,0.00260309233347165,0,0,0,0.0841730533168095,0,0,0,0,0.0358488399402892,0,0.0268327630240502,0,0,0,0,0,0,0,0.0802680595849622,0,0,0,0,0.143329466729828,0,-0.0110146121858318,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.545936710877654,0,0,0,0,0,0,0.0553212420631148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474732324667079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783817276184812,0,0.177779045203197,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0354078814924315,0,0,0,0,0,0,0.353258867173379,0,0,0,0,0,0,2.16840434497101e-19,0,0,0.0102110830342914,0,0,0.0753715802773692,0,0,0.048759169502964,0,0.0596501556710031,0,0,0.0233585819576839,0,0,0,0,0,0,0,0,0,0.0313525855244338,0,0.0775293560525799,0,0.00838156797888557,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0715542750216429,0,0,0,0,0,0,0,0,0.0574843830884635,-0.0305292644985332,0.562686723201587,0,0,0.143088343847238,0,0,0,-0.048882759806399,0,0,0,0,-0.0269331226756994,0,-0.0677318094399637,0,0,0,0,0,0,0,0,0,0.0601316888237242,0,0,0,0,0,0,0.0378525934662939,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.534465206126032,0,0,0,0,0,0,0,0,0,0.40138716954898,0,-0.0719266607970798,0,0,0,0,0,0,-0.400571430193716,-0.0961190417582084,0,0.215558430075341,0,0,0,0,0,0,0,0,0,0,0.0185561273596386,0,-0.469420401984743,0,0,-0.0542530699785955,0,0,-1.38777878078145e-17,0.0969227043478663,0,0,0,0,0,0,0
