,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600188.SH,X600362.SH,X600886.SH,X600623.SH,X600547.SH,X002466.SZ,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X600489.SH,X300072.SZ,X600583.SH,X600549.SH,X601158.SH,X002075.SZ,X000883.SZ,X000709.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X002460.SZ,X000630.SZ,X002407.SZ,X000012.SZ,X000983.SZ,X000060.SZ,X000761.SZ,X600021.SH,X600176.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0571283991830187,0,0,0,0.10366436128046,0,0,0,0,0,0,-0.00988918676080636,0,0,0,0,0,0,0.0479925734489913,0,0,0.0899652952419551,-0.00177289932527912,0,0,0,0,0,0,0,-0.0454638588433254,0,0,-0.0203961373151086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.128996810224055,0,0,0,0,0,0,-0.0150833029036623,0,0.118683185925057,0,-3.46944695195361e-18,-0.0071259135155639,0,0,0,0,0,0.0807773938032731,0,0,0,0,0,0,0,0,0,0,0,-0.038882745950628,0,0,0,0,-0.0459432227892452,0,0,0.0662171802802027,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.116316134725128,0,0,0,0,0,0,0,0,0,0,0,0.028857595151285,0,0,0,0,0,0,0,0,0,0,0.0124757244144608,0,0,0,0,0,0,0,0.107780592557936,0,0,0,0,0,0,0.0569076097700025,0.0804210047345115,0,0,0,0,0,0.00973046928563451,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0169546569075936,0.0544617586086503,0,0,0,0.0529191698193114,0,0,0,0,0,0.118550117058234,0.018770118425643,0,0,0,0,0,0,0,0,0,0,0,0.222828200985889,-0.041840768717219,0,0,0,0,0,0,0,0,0,0,0.0181960198491247,0,0,0,0,0,0,0,0,-0.00274826892156954,-0.0224498508311225,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.22198133326068,0,0.299108025179116,0,0,0,0,0,0,0,0.0212786067856247,-0.00914552911492216,0,0,0,0,0,0,0,0,0.0627291982240208,0,0,0,0,0,0,0,0.0197800911880038,0,0,0,0,0,0,0.0281068917213163,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.163027295895368,0,0,0,0,0,0,0,0,0.0446413548995371,0,0,0.000691121940180608,0,0,0,0,0,0,0,0.0402054385126997,0.106190396275193,8.67361737988404e-19,0,0.0739241913631659,0,0.258574060582302,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-1.73472347597681e-18,0,0,0,0,0,-0.0133346441081932,0,0,0,0,0,0,0
X600585.SH,0,0,0.544733061361732,0,0,0,0,0,0,0,0,0.161854414504031,0,0,0,0,0,0,0.0635984216499226,0,0,0,0,0,0,0,0,0,0,0.0150643986351799,0,-0.021523722699903,0,0,0,0,0,0,0,0,0.092044568214867,0,0,0,0,0,0,0,0,0,0,0,0,0.107211364295866,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202243838952542,0,0,0,0,0,0,0,0,0,0,0,0.230417230312,0,0.00229983082063859,0,0.206206754260827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000900309576908195,0.0127061971975874,0,0.121754938152406,0,0,-0.0143822369465522,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0430715557994285,0,0,0,0,0,0,0,0,0,0,0,0,0.00122506936544853,0,0,0,0.165123099643773,0,0,0,0,0.0277651919763859,0,0.0354050472605408,0,0,0,0,0,0.0742929893511069,0,0,0,0,0,0,0.200719498256484,0,0.0269352951407112,0,0.0695582092718296,0.0326552499339884,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.00944693791617306,0,0,0,0.2119465317761,0,0,0,0.0275325018321913,0,0,0.0337716735102952,0,0,0,0,0,0,0,0,0,0,0.0818949635243945,0,0.00998400458853071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264872990829325,0,0,0,0,0,0,0,0,0,0,0,0,0
