,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600660.SH,X600886.SH,X600010.SH,X601600.SH,X600362.SH,X002460.SZ,X600801.SH,X600188.SH,X600352.SH,X002466.SZ,X601991.SH,X000786.SZ,X600795.SH,X600688.SH,X600111.SH,X002271.SZ,X600176.SH,X601992.SH,X000723.SZ,X002353.SZ,X600027.SH,X600583.SH,X600426.SH,X600516.SH,X000898.SZ,X600299.SH,X600489.SH,X600219.SH,X000709.SZ,X601158.SH,X000883.SZ,X000553.SZ,X600612.SH,X000629.SZ,X000027.SZ,X002080.SZ,X000630.SZ,X000792.SZ,X600808.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0910606949531491,0,0,0,0,0,0,0.003611916513266,0,0,0.0167480749468138,0,0,0,0.221098520919843,0,0,0.0184384617289887,0,0.00721687995684476,0,0,0,0,0.0413525483952514,0,0,0.186954876547617,0,0,0,0,0,0,0,0,0.0209870073835305,0,0,0,0,0,-0.00680747740108046,0.00673951988663038,0,0,0,0,0,0
X600028.SH,0.109383421088603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186172708910179,0,0,0,0.194139552652962,0,0.0145818715332634,0,0.0400335423845215,0,0.00570785333469114,0,0,0,0,0,0,0.0655238048820156,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.0178127313866832,0,0,-0.00621031297741575,0.00530106314640973,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0486425109212432,0,0,0,0,0,0,0.0353632279040478,0.306860797155459,0.0940642519399755,0,0,0,0,0.0653904877120485,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.0376759964912717,0,0,0,0,0,0,0,0,0,-0.0239095442793877,0.0180370951410036,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0726930604549957,0,0,0,0,0,0,0,0,0,0,0,0.397755765990198,0.00811438200779806,0,0,0,0,0,-0.00175609533182535,0,0,0.0146484044960306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651564321195958,0,0.0509506306935519,0,0,0,0.0219465367919547,-0.013585723484798,0,0,0,0.0255582605000711,0,0
X600309.SH,0,0,0,0.111555224831658,0,0,0.0490771452798068,0,0,0,0,0,0,0,0,-0.0382401102338878,0.180160055813125,0,0,-0.0741846549762383,0,0.0246878780112872,0,0,0,0,0,0,-0.275491540769341,0,0,0,0,0.309161177849935,0,0,0.0785217001086485,0,0,0,0,0,0,0,0,0.0210056309648158,0,0,0,0,0,-0.00323057873284374,-0.0196792170861946,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-0.00658099979385029,0,0.0447988963653087,0,0,0,0.0461852597604257,0,0.0358311742712051,0,0,0.0638869985095325,1.73472347597681e-18,0,0,0,0,0,0,0,0.0265304145176434,0,0.0268348970405386,0,0,0,0,0,0.0336595749598121,0,0,0,0,0,0,0,0,0.00344144061073679,0,0,0,0,0,0,0,0.0199043071906261,0.0211055821472441,0,0,0,0.0437174614052534,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749119853596648,-0.00266700715522578,-0.131718527653039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961006873721286,0,0,0,0,0,0,0,0,-0.0424507423394139,0,0,0,0,0,-0.0212030068666804,0.0326521540625393,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0557365490082294,0,-0.121895340915645,0,0,0,0,0,0,0,0,0,0,-0.0209898989283967,0,0,0,0,0,0,0,0,0.0764210398853232,0,0.286271466041431,0.0593521218328804,0,0.0215237520207891,0,0,0,0,0,0,0,0.0368989907685402,0,0,0,0.0864858054957855,0,0,0.0363619518391629,0,0,0.00303799000471649,-0.0197577652913433,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390407516691382,0.110133639968057,0,0.0423137693336176,0,0,0,0,0,0,0,0,0.35684397220403,0.161233863575264,0,0,0,0,0,0,0.21401484859033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365401444559667,0.0343055581236608,0,0,0,0,0,0
X601898.SH,0.171552611471303,0,0,0,0,0.0593078868704576,0,0,0.0761088451879094,0,0,0.0121749726453974,0,0,0,0.0195831728355212,0,0.460613984772909,0,0,0,0,0,0,0,0,0.0650602452629186,0,0.111033431891893,0,0,0,0,0,0,0,0,0,0,0,0,0.027350028734493,0,0.0448084617971018,0,0,0,0,0,0,0,-0.0139516261506933,0.0147066708734102,0,0,0,-0.0298975858282284,0,0
