,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X000708.SZ,X600010.SH,X600547.SH,X000301.SZ,X002271.SZ,X601600.SH,X600886.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X600027.SH,X600803.SH,X601991.SH,X000983.SZ,X600995.SH,X000629.SZ,X000786.SZ,X600160.SH,X000408.SZ,X000723.SZ,X600096.SH,X600219.SH,X002080.SZ,X000807.SZ,X600489.SH,X600348.SH,X000933.SZ,X600378.SH,X600688.SH,X600157.SH,X600295.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.461469547168459,0,0,0,0,0,0,0,0,0,0,0.0288019782788225,0,0,0,0,0.0355913137659595,0,0,0,0,0,0,0,0,0,0,0.0538874461483449,0.140696882016639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00257185933226922,0,0,0,0,0,0,0
X601088.SH,0.0458349376767906,0,0,0,0.399504233441635,0,0,0.00985465738434013,0,0,0,0.0196162465953777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938725039584385,0.041002944592835,0,0.122414870336786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00274075131869566,0,0,0,0,0,0,0,0,0
X600028.SH,0.591623592102404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548224611216799,0.0217405666659393,0.0130553028391756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333991411878772,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.00333159135695777,0,0,0,0,0,0,0,0,0,0.123841201416326,0,0,0,0,0,0.156314204429565,0,0,0.0988152696002204,0.0533452554199176,0.0843058617753844,0,0,0,0,0.187458699417057,0,-0.00813638223890752,0,0,0,0,0,0,-0.303326407764541,0,0,0,0.0672457282445282,0,0,0,0,-0.00155630024759151,-0.00100776347065704,0,0,0,0,0,0
X600188.SH,0,0.639801817223881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180376927223609,-0.0928666521019101,0,0,0,0,0,0,0,0,0,0.0639421830648222,0.00341070328548382,0.131850682691244,0,0,0,0,-0.0847705774904508,0,0,0,0,0,0,0.0854540229467852,0.226722905290226,0.0721531171569602,0,0,0,0,0,0,0,0.0411602137660002,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.43310153071787,0.15105183123674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019901889083429,0,0,0,0,0,0,0,0.0453533828864216,0.0147379651463612,0,0.0073480121610671,0,0.0833546202239414,0.0217773414660427,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.00834856613918562,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851833013255218,0,0,0,0.0294616339992069,0,0,0.0510241121370799,0.0405384726540193,0,0,0,0,0,0,0.101984891834245,0,0,0,0.474981347145206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.569864607132554,0,0,0,0,0,0,0,0,0,0,0,0,0.0865104071503478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131406119611678,0,0,0,0,0,0,0,0,0,0.0441333554773189,0,0,0,0,0,0.119188398670016,0,0,-0.0183965186144954,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.163783336386634,0,0,0,0,0,0,0,0.179657908472553,0,0,0,0,0,0,0,0.0242502532101522,0,0,0,0,0,0,0,0,0,0,0.0955325315251845,0,0,0.212408480226422,0.0314210333096283,0.0117048538129388,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.152863726736877,0,0.0163640486673505,0,0,0,0,0,0,0,0
X600019.SH,0.0840173418906324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262902372350104,0,0.0343114929698472,0,0.00389561368958696,0,0,0,0,0.030465582100866,0,0,-0.0534111450531003,0,0.161695456031145,0,0,0,0,0,0,0,0,0,0,0,0.168385557267774,0,0,0,0,0,-0.00757876440188377,0,0,0,0,0,0,0
