,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X000708.SZ,X600188.SH,X002271.SZ,X600660.SH,X601898.SH,X600011.SH,X600362.SH,X600176.SH,X600547.SH,X600426.SH,X600886.SH,X600219.SH,X000825.SZ,X000786.SZ,X000983.SZ,X000408.SZ,X002080.SZ,X000807.SZ,X600795.SH,X600803.SH,X000932.SZ,X300037.SZ,X601991.SH,X000898.SZ,X000723.SZ,X000959.SZ,X600295.SH,X600096.SH,X601699.SH,X600688.SH,X600801.SH,X002326.SZ,X600808.SH,X002192.SZ,X600157.SH,X600352.SH,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0286861342484511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531072834199284,0,0,0,0,0.0585248682596276,0,0.0164178304313882,0.0216480001720595,0.0762836877558718,0,0,0.00829477750211137,0,0,0,0,0,0,-0.0018455156497646,-0.0310439998255307,0,0,0,0,0,0
X600028.SH,0.267899535034432,0,0,0,-0.0119179918998307,0,0,0,0,-0.0742555572076928,0.0153655141543886,0.0515390231483856,0,0,0,0,0,0,0,0,0.0426527133645477,0,0,0,0,0,0,0,0,0,0.0671945034705207,0,0,0,0,0,0,0,0,0.0170613639529476,0.00489060351446495,0,0.118010623767436,0,0,0,0,0,0,0,0,-0.00673418348832107,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.029380626883536,0,0,0.0648741804388926,0,0.0356657352531338,0,0,0.19997894604196,0,0,0,0,0,0.018198819354926,0.0515457547016374,0,0,0.0504916784899048,0,0,0,0,0,0,-0.0117674692134385,0,0,0,0,0,0,0,0.0159321060191145,0,-0.0171015495022124,0,0,0,0,0,0,-0.00970616713400655,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.108369241381589,0,0,0,0,0,0,0.0774145224194574,0,0,0,0,0,0,0.0298385990944361,0,0,0,0.0188296015737361,0,0,0,0,0,0,0,0,0,0,0,0.0169836121343768,-4.33680868994202e-19,0,0,0,0,0,0.047724166258741,0.00686350724117831,0,0,0,0,-0.0242755171412299,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.203354902611387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195588287593557,0,0,0,0,0.23471456972139,0,0,0,0.108410181474234,0,0,0,0,0.0648375198308553,0,0,0,-0.021591015435643,0.146339663720254,0,0.0828585172140774,0,0,0,0,0.0556216853455361,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.013150088658272,0,0,0,0,0,-0.0219248239555571,-0.0337689087517962,0,0,0,0,0,0,0,0,0,0.0932686694571303,0,0,0,0,-0.0224210752122103,0,0,0,0,0,0,0,-0.00754092136108829,0,0,0,0,0,0.665944985620837,0,0,0,0,0,0,0,0.00181670064487774,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.115186166908297,0,0,0.0473637521376564,0.0193561540727694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300038848863256,0,0.417551372642851,0,0,0,0,0,0,0,-0.0151268498485198,0.0791682112657034,0,0,0,0,0,-0.0450386263162615,0,0,0,0,-0.183297343094424,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332679299113329,0,0.10870354414254,0,-0.0790141883249207,0,0,0,0,0,0,0,0,0.0407618388845135,0,0,0,0,0,0,0,0,0,0,0,0.0566519648725985,0.0744091486680032,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.374375395726266,0,0,0,0,0,0.234789633993696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138327746282658,0,0.0175001526944154,0,0,0,0,0,0.180763967561463,0,0,0,0,0,0,0,0,0,0,0,0.0563091988389653,0.0929473970294828,0,0,0,0,0.0247872693258407,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.170610184433847,0,0,0,0.257021745143387,0,0,0,0.163565158604229,-0.0205855680181674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276764499363551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101178584728173,0,0.0980969464223868,0,0,0,0,0.00737062946317658,0,0,0,0,0,0,0
