,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600547.SH,X002460.SZ,X000792.SZ,X002466.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600426.SH,X002271.SZ,X600362.SH,X600795.SH,X600027.SH,X600803.SH,X601991.SH,X600176.SH,X600489.SH,X601699.SH,X000983.SZ,X000807.SZ,X600160.SH,X000786.SZ,X000539.SZ,X000629.SZ,X000932.SZ,X600219.SH,X300037.SZ,X000408.SZ,X600995.SH,X002409.SZ,X600612.SH,X600688.SH,X002080.SZ,X600096.SH,X600378.SH,X000630.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.53438954746966,0,0,0,0.0642817512754663,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524870820977776,0.0312811029936223,0,0,0,0.00608048324156413,0,0,0,0,0,0,0.0312486812119359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131087190939902,0,0.0328357833963669,0,1.73472347597681e-18,0,0,0,0,0
X600028.SH,0.733961795673802,0,0,0,0.086360224405047,0,0,0.0763001570775111,0,0,0,0,-0.0762211517096631,0,0,0,0,0,0,0,0,0,-0.0451253085728299,0,0,0,0,0,-0.0626302404808731,0,0,0,0,0,-0.0127256315980998,0,0,0,0,-0.0326056452777896,0,-0.148444969716236,-0.0527343933842372,0,0,-0.00155578930889701,0,0,0,0,0,0.0234684691248769,0,0,0,0,0,0,0
X601088.SH,0.0421597776939847,0,0,0,0,0.243437559881369,0,0,0,0,0,0,0,0,0,0,0.071809279609911,0,0,0,0,0,0,0.032761931837961,0,0,0.0584383762342538,0,0.0793624080728951,0,-0.000912878397495776,0,0.00354209813508908,-0.0240584171411463,0.0655192599541081,-0.0783225151606188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152655802203366,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.150922704810424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193554907832592,0,0,-0.0495825661396261,0,0,0,0,0,0,0,0.000655338175402191,0.0909108006292087,0,0,0,0.0254361259396163,0,0,0,0,0,0,0,0.0431168582352314,0,0,0,0,0,-0.0101610729066208,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0345334474622956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189940703045016,0.299153768468324,0,0.321035301883651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611255100722503,0,0,0,0.00246814702690651,0,0,0,0,0,0.0388146893542443,0,0,0,0,0,0,0
X600188.SH,0,0,0.605591215236995,0,-0.0376464554517863,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0581745058210622,0,0,0,-0.0958227780587141,0,0,0,-0.0912373120773865,0.267873217744578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600019.SH,0,0.0674260923448934,0,0,0,0.0730915258694219,0,0.135280174547048,0,0,0,0,0,0.115525271645431,0,0,0,0,0,0,0,0.0278281191696177,0,0,0,0,0,0.00249939203869987,0,0,0,0,0.0143406272638542,0,0,0,0,0,0,-0.0571680828607168,0,0,0,-0.0480496116491,0,0,0,0,0.0551994081983778,0,0,0.067369504528917,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.122493231678439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166345770085512,0.0311620830576863,0,0,-0.0960407329431037,0,0,0,0,0,0,0,0,0.153084897685414,0,0,0,0.199097282674003,0,0,0,0,0,0,0,0,0,0,0.0549223747330276,0,0,-0.0128103981973968,0,0,0,0,0,0
X601898.SH,0.103381001493363,0,0,0,0,0.136329242456213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311621013828004,0,0,0,0.0298609063298791,-0.0478179534199682,0,0,0,-0.0750110960608301,0,0,0,0,0,0,0,0,0,0.0236070296002222,0,-0.0118060609781094,0,0,0,0,0,0,0
X600547.SH,0.0178359463054571,0,0,0,0,0.0361653439048138,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256881607142651,0,0,0,0,0,0,0.0536704688169169,0,0,0.660769767984609,0,0,0,0,0,0,0,0,0,0,0,0,0.0056192892946939,0.0183976929232793,0,0,0,0,0,0,0,0.013087708478532,-0.0219443816538985,0,0,0,0,0,0
