,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X000301.SZ,X002466.SZ,X601600.SH,X600547.SH,X600362.SH,X600188.SH,X600111.SH,X000786.SZ,X600010.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X601991.SH,X600803.SH,X000027.SZ,X600795.SH,X002353.SZ,X600352.SH,X600219.SH,X600489.SH,X000825.SZ,X002080.SZ,X000408.SZ,X000898.SZ,X600688.SH,X601699.SH,X000932.SZ,X600801.SH,X300037.SZ,X000807.SZ,X600399.SH,X600315.SH,X600157.SH,X000983.SZ,X002409.SZ,X000959.SZ,X000830.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0956568244739864,0,0,0,0,0,0.0431306179588647,0,0,0.049122523845929,0,0,0,0,0,0,0,0,0,0,0,0,0.0153410486344722,0,0,0,0,0,0,0,0,0,0,-0.0554386900269483,0,0.00382320668107549,-0.0408217133662008,0.068725738555127,0,0,0,0,0,0,0,0,0.00373588100953242,0,0
X600028.SH,0,0,0.0821345173181734,0,0,0,0.0544233217900876,0,0,0,0.0734330003140969,0,0,0,0,0,0.058944903962519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174208436825924,0,0,0,0.0192734095478168,0,0,0,-0.0018116541186128,0.00779214081562807,0,0,-0.00216472852883467,0,0,0,0,0,0.0756612718337002,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11093621820804,0,0,0,0,0,0,0.107676164022848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0140289380581755,-0.033842273392188,0,0.12565995022771,0,0,0,0,0,0,0.00171681875958155,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891419512366531,0.092044861263416,0,0.133871454598812,0,0,0.138194591048132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583176774296659,0,0,0,0.0180659061478545,0,0,0,0,0,0,0.114357686353224,0,0,-0.0848356968436251,-0.0023573546605066,0,0,0,-0.0468309791505618,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326994235926777,0,0,0,0,0,0,0.0119610039998408,0,0,-0.00535827954389447,0,0,0,0,0,0,0,0.016458191180276,-0.0422360551915412,0,-0.0561569191047042,0.0607912530621608,0.237619798810794,0,0,0,0,0,0,-0.0446032258228271,0,0.064637546841667,0,0,-0.0873065530294525,0.101243189343442,0,0,0,-0.0123047424909409,0,0
X002460.SZ,0,0,0,0,0,0,0,0.181891875048828,0,0,0,0.0763139040603625,0.422566164798043,0,0,0,0,0,0,0,0.00980001601332887,0,0,0,0,0,0,0,0,0,0.0377285213989031,0,0,0,0,0,0,0,0.0651659211789934,0,0.116207353596277,0.153474164543266,0,0,0,0,0,0,0.0624963266861491,0,0,1.73472347597681e-18,0,0,0,0,-0.0187567608341743,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313755421920947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122024103420701,0,0,0.123723462744322,0,0,0.25270546214923,0,0,0.10263640290205,0.0617414265180272,0,0,0,0,0,0.0106151840168348,0,0,0,-0.0257147416095259,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.176809448369973,0,0,0,0,-0.179130713516079,0,0.104340386169286,0,0,0.148920480162638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.162412013194896,0,0,0,0,0,0.0388609912812497,0,0,0,0,-0.0294290568985044,0,0,0,0,-0.0662558606005635,0,0
X002271.SZ,0,0,0,0.165217186020131,0,0,0,0,0,0,-0.000922936553294576,0,0,0,0,0,-0.11098370974336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342912180039604,0,0.132584287570084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00930935515973891,0,0
X000708.SZ,0,0,0,0.0441598717783535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333224736499021,0,0,-0.0108660994412702,0,0,0,0,0,0,0,0,0.0608319767446709,0,0,0.157779012795496,0,0,0.100690769621185,0,0.0998692928262545,0,0,0,0,0,0,0,0,-0.0799227876058625,0,0,0,-0.0217892963189891,0,0
