,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600188.SH,X002466.SZ,X600362.SH,X600660.SH,X600547.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X600886.SH,X600111.SH,X600516.SH,X000786.SZ,X000898.SZ,X600176.SH,X000553.SZ,X000792.SZ,X600352.SH,X000709.SZ,X600027.SH,X600299.SH,X000825.SZ,X600489.SH,X002271.SZ,X000408.SZ,X601158.SH,X601699.SH,X002470.SZ,X600219.SH,X600157.SH,X600315.SH,X000883.SZ,X600549.SH,X600583.SH,X000630.SZ,X600808.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.328167624318809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12801469387905,0,0.00113401470394665,0,0,0,0.0507629348389624,0,0,0,0,0,0,0,0,0.0559720522562351,0,0,0,0,0,0,0,0,0,0,0,0.0982863608948688,0,0.00557466158751388,0,0,0,0.019451711698892,0,0,0,0,0,0
X600028.SH,0.368484293604848,0,0.128831661733958,0,0,0,0,0,0,0,0.0848540501627414,0,0,0.0424258209169143,0,0.139806477133657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241472150936286,0,0,0,0,0,0,0
X601088.SH,0,0.122470769425653,0,0.200574278433958,0.0485484238951483,0,0,0,0,0,0,0,-0.0116283726812934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254528639959594,0,0,0,-0.110400381237649,0,0,0,0,0,0.381355319280109,0,0,0,0,0,0,0,0,0,0,0,0.00817268286772052,-0.0365430741127428,0,0,0,0,0,0
X600019.SH,0,0,0.263769121224873,0,0.0894814403549495,0,0,0,0,0,0,0.041600556474734,0,0,0,0,0,0,0,0,0,0,0,0,0.107455899491312,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.119849055326268,0,0,0,0,0,0,0,0,0,0,0,0.030170731031588,-0.0463191565575252,0,0,0,0,0,0
X600585.SH,0,0,0.257165573157846,0.377457907515023,0,0,0,0,0,0,0,0.0593687544386415,0.0789983177641329,0.0722251969072206,0,0,0,0,0,0,0,0,0,0.144933116176459,0,0,0,0,-0.00534193832811521,0,0,0,0,0,0,0,0,0.0325694264199429,0,0,0,0,0,0,0,0,0,0.0556991040606149,0,0,0.0390210059140459,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.0254836115155948,0,0,0,0,0,0,0,0,0,0.136645670566876,0.00301739311748762,0,0,0,0,0,0,0,0,0,0.0504347683984502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618379026221992,0.0346364620942829,0,0.0026602150923815,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.124242237334246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804737581081183,0,0.0282429142756319,0.109899841847886,0,0,0,0.0892031496254191,0,0,0,0.329240566555247,0,0,0,0,0,0,0.0786100160019869,0,0,0,0,0,0.0546089003585904,0,0,0,0,0,-0.0178553253769196,-0.0265609543681071,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.626406238819632,0,0,0,0,0,-0.495770679861353,0,0,0,0,-0.166126249673343,0,0,0,-0.215247925967116,0,-0.416949211749866,0,0,0.241663597306228,0,0,0.00949921412139432,-0.00357089271250014,0,0,-0.303939366435717,0,0,0,0,0,0,0,0,0.232039760015878,0,0.0436898875471253,-0.106616210091478,-0.197742654797874,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0527209189704304,0,0,0,0,0.100666897403532,0,0.320436661992745,0,0,0,0,0,0,0,0,0,0.0137136504714101,0,0,0,0.0830457185501058,0,0,0,0,0.0462922242282575,0,0,0,0,0.0298443845911801,0,0,0,0,0,0,0.0497833231792687,0,0.0635928257800101,0,0,0.012805374283718,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0519214243687552,0,0,0,0,0,0,0,0,0,0,0.0318425995892239,0.00879216902960287,0.116069827095166,0,0,0.0961518901643299,0,0,0,0,0,0,0,0.120260872078797,0,0,0,0,0,0,0.0191671937346229,0,0,0,0,0,0.0545072768600052,0,0,0.120129099837101,0,0,0.00397132280653112,0,0,0,0,0,0,0
