,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X600188.SH,X000877.SZ,X002466.SZ,X002271.SZ,X600011.SH,X000708.SZ,X600660.SH,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000786.SZ,X000408.SZ,X600219.SH,X600803.SH,X601991.SH,X002080.SZ,X600795.SH,X000807.SZ,X600801.SH,X600688.SH,X002353.SZ,X000825.SZ,X600352.SH,X000932.SZ,X600027.SH,X300073.SZ,X000630.SZ,X000959.SZ,X600157.SH,X600489.SH,X600516.SH,X600141.SH,X000960.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0200907096259716,0,0,0,0,0,0,0.0834783476719485,0,0,0,0,0,0.0595439195811846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114708657610663,0.0439257184768586,0,0,0.0178588490445712,0,0,0.0196353574981104,0,0,0,0,0,0,0,0,0,0,0,-0.00808897800464759,0,0,0,0.0361225798458992,0,0
X600028.SH,0.116182835719428,0,0,0,0,0,-0.0134510121322675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519294427402471,0.0540868205978721,0,0,0,0,0,-0.0243810990950603,0,0,0,0,0,0,0,0.0747164131175188,0,-0.00917804850539269,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.131071736809774,0,0,0,0,0,0,-0.0320557977554525,0,0,0,0,0,0,0,0,0.0549834929591981,0,0,0,0,-0.0247222881922918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681441446384261,0.287687765891895,0,0.00560153864345902,-1.0842021724855e-19,0,0,0,0.0365341788693072,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0421157615038015,0,0,0,0,0.0550694581939005,0,0,0,0,0,0,0,0.0236905586131925,0,0,0,0.0475108833824394,0,0.0564514737187659,0,0,0,0,0,0,0,0,0,0.0118761190856018,0,0,0,0,0.00793274160653031,0,0,0.0304839026426644,0,0,-0.012525298106766,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0970296467941453,0,0,0,0,0,0.0128094883902251,0,0,0,0,0,0,0,0.00923060444086707,0.00532417549035545,0.11001864003493,0,0,0,0,0,0,0,0.399246981321735,0.0182717094627122,0,0.0326503119431047,0,0,0,0,0,0.027291605620879,0,0,0,0,0,-0.0331637842514586,0,-0.00610007550452411,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.173657800361098,0,0,0,0.343667881654882,0,0,0.0593647142031447,0,0,0,0,0,0,0,0,0,0,-0.199278487825081,0,0.0144254871118459,0.01860506196607,0,0,0.270676397332426,0,0,0,0,0,0,0,0,0,0.191026666278606,0,0,0,0,0,0.0811728858535021,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.138928638116914,-0.0436550327852546,-0.112154735337108,0,0.372743969630229,0,0,0,0,0,0,0,-0.0873648541214768,0,0,0,0,0,0.172066155480243,-0.0786666981419651,0.101314540709331,0,0,0,0,0,0,0,0,0,-0.0810412974120761,0,0,0.0989865664419294,0,0,0,0,0,0,0,0,-0.117446897133503,0,0.0124089866513708,4.33680868994202e-19,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0589901827700581,0.0648545656203547,0,0,0.00351010033698197,0,0.147067741693792,0,0,0.19420240340057,0,0.197118933749241,0,0,0,0,0,0,0,0,0.0583433885683193,0,-4.33680868994202e-19,0,0,0,0,0,0.109192791430354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804350627486126,0,0,0,0.00930786298608397,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0596094807951473,0,0.00653019203762095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124533639751563,0,0,0,0,0.212029937485437,0.090384807365108,0,0,0.0993958607967153,0,0,0,0,0.0939121408086867,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470508621307706,0,0,-0.199424778210198,0.0518964310603209,0,0.441243260617884,0,0,0.419154472103813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295258247567723,0,0,0.0293838508682587,0,0,0,0,0,0
