,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X600489.SH,X600623.SH,X601992.SH,X600309.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X600583.SH,X000709.SZ,X000723.SZ,X000983.SZ,X000408.SZ,X000898.SZ,X600352.SH,X000883.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X002460.SZ,X601699.SH,X600021.SH,X000012.SZ,X000060.SZ,X002407.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0354592385167827,-1.35525271560688e-20,0.00976348595394624,0,0,0,0,0,0,0,0.0327319728564046,0,0,0,0,0,0,0.0219155535368192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784568600504202,0,0.00234349868861298,0.0195469672211053,0,0,0,0,0,-0.002357789163376,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.057808290288652,0.0565746334771503,0.0287855243921137,-0.0330230783727509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371125102347404,0,0,0,0.0371694166345961,0.056740923966327,0,0,0,0.022401114192702,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.29144482579478,0,0.0834353186333094,0,0,0,0,0,0,-3.46944695195361e-18,0.0537144931583896,0,0,0,0,0,0,0,0,0,0.00878317025528892,0,0,0,0,0,0,0,0,0.0621080038988934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078331870104406,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.169403989335366,0.0105698348411881,0,0,0,0.0943451198161565,0,0,0,0,0,0,0,0,0.0869167092589709,0,0,0,0.0716361126210075,0,0,0,0,0.0428888888391208,0,0,0,0,0,0.0119040717137452,0.130261298900173,0,0,0,0.0168675076291834,0,-0.0424111499999752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0496881021547798,0,0.0350191952741954,0,0,0,0,0,0,0,0,0,0.387099429313768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256594622503133,0,0,0,0,0,0,-0.0133406802577423,0,0,0,0,0.0645607370462681,0,0.0503044162590618,0,0.0788894797936604,0,-0.000909495805202489,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0335658909394389,0.120688849365301,0,0,0,0,0.112452800142388,-0.0242734845838161,0,0,0,0,0,0,0,0,0,0.0773751980633404,0,0,0,0,0,0,0,0,-0.0493422966873377,0,0,0,0.0099028934606864,0,0,0,0,0.0511732674238824,0,0.077103710864951,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0159893330113906,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00490500928621025,0,-0.0653258307793478,0,0,0,0,0,0,0,0,-0.00601168762842563,0,0,0.0108923820235718,0,0,0,0,0,0,0,0,0,0,0,0.00887088886729066,0,0.04684393624568,0,0.0172482614432284,0,0,0,0.0383665338960639,0,0.0414798798539057,0,0,0,0,0,0,-0.0395422958055121,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.054482657848417,0,0,0,0,0,0,0,0,0,0,0.0436933160611164,0,0,0,0,0,0,0,0,0.0826211198650822,0,0,0,0,0.0650634184427882,0,0,0,0,0,0,0,0,0,0,0.353275979874149,0,0,0,0,0,-0.0164036556104756,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405746834691344,0.0729606777291599,0,0,0,0,0,0,0,0,0.0511211099926727,0,0,0,0.135993559142977,0,0,0,0,0.0465455631206022,0,0,0,0.118133866028003,0,0.0595784297315005,0.0878758502486206,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802809536527494,0,0,0.0222585554496961,0,0,0,0,0,-0.0137214805241592,0,0,0.0538573947465778,0,0,0,0.495135076597509,0,0,0,0,0,0,0,0,-0.072851382601255,0,0,0.160339173388803,0,0.160203194173135,0.110327500297054,0,0,0.00192695119761819,0.0308906280017321,0,0,0,0,0,0
