,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600801.SH,X600886.SH,X600010.SH,X600660.SH,X601898.SH,X000792.SZ,X601600.SH,X600362.SH,X600489.SH,X600688.SH,X600188.SH,X600352.SH,X000786.SZ,X601991.SH,X600795.SH,X600027.SH,X600111.SH,X601992.SH,X600299.SH,X002075.SZ,X600176.SH,X600426.SH,X000401.SZ,X600529.SH,X600486.SH,X000723.SZ,X600315.SH,X002466.SZ,X601158.SH,X002353.SZ,X600219.SH,X600126.SH,X000898.SZ,X600612.SH,X600516.SH,X000932.SZ,X000883.SZ,X000553.SZ,X000709.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0331050625290623,0,0,0,0,0,0,0,0,0,0,0.06881305534852,0.0220353425315687,0,0,0,0,0,0,0,0,0,0.002312971685874,0.0474470329680988,0,0,0,0,0,0,0.0314723880016423,0,0,0,0,0,0,0,0,0,0.00758865497683533,0,0,0,-0.0245703563789077,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13890714614541,0,0,0,0,0,0,0,0,0,0,-0.0125500250401574,0,0,0,0,0,4.33680868994202e-19,0,0.00441512803568657,0,0.0826556834284108,0,-0.0141280526435913,0,0,0,0,0,0.00234966016851171,0,0,0.00439855246232517,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.00793669894732436,0,0,0,0.0363468479159212,0,0,0.0817974273473679,0,0,0,0,0,0,0,0,-0.0165548115698856,0,0,0,0,0,0,0,0,0,-0.0171605167117749,0.211570505623277,0,0,0,0,0.00159693727528476,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.00256320801254132,0.0171558217190342,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.132659077841317,0,0,0,0,0.00569011973237121,0,0.494343700718984,0,0,0,0,0,0,0,0,0,0,0,0.0036755170072185,0,0,0,0,0,0,0,0,0,0,0.0151006011806138,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.060716683355995,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817903139542619,0,0.0574791228718092,0,0.0686829929323866,0,0.0621284425193462,0,0.134737722857428,0,0,0,0.0633952162451228,0,0,0,0,0,0,0.0206758960601762,0.0170123132240781,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49339356021477,0.00223249054804948,0,0,0,0,0,0,0,0,0,0.014154380651906,0,0,0,0,0,0,0,0.0346981774256957,0,0,0,0,0,0.139772512296382,0,0,0,0.0694700306408372,0,0,0.0155059295350841,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093965785515963,0,0,0,0.0633590082254115,0,0.054904165307929,0,0,0.12467501732514,0,0,0,8.67361737988404e-19,0,0,0,0.0586462516516307,0.0223351963897934,0,0,0.0379608668406032,0,0,0.000584033010614573,0,0,0,0,0,0,0,0,0,0,0,0,0.010550765834051,0.0285077290767446,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.0683472621781281,0,0,0,0,0.101454128608826,0,0,0,0,0,0,0,0,0.205664257235114,0.0146862824177312,0,0,0,0,0,0,-0.0526956767632114,0,0,0,0,0,0,0,0.126652709979805,0,0,0.0738690072827469,0,0.0411372590702978,0,0.0567527968917975,0,0,0,0,0,-0.0606559107580428,0,-0.016314277291466,0.000234415006448644,0.0429829263177885,0,0,0,0,0,0
X600011.SH,0,0,0.275433591907779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138703511369981,0,0,0.117319386672829,-0.0312947801244182,0,0,0,0,0,0.0389330541807894,0,0,0,0,0,0,0,0.095412592829187,0,0,0,0.0237893027066294,0,0,0.00246127963409208,0.00452755126740819,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120080809582914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130874402368903,0.133452015433835,0,0,0.333219438579007,0,0,0,0.119245897856588,0,0.215543062264095,0,0.00491357544535796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
