,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X600309.SH,X601991.SH,X600157.SH,X600027.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X600489.SH,X000959.SZ,X600299.SH,X000898.SZ,X000792.SZ,X601158.SH,X000709.SZ,X600339.SH,X002466.SZ,X000723.SZ,X600583.SH,X000408.SZ,X000630.SZ,X600098.SH,X000883.SZ,X600352.SH,X600219.SH,X600623.SH,X000539.SZ,X000027.SZ,X000983.SZ,X002092.SZ,X600021.SH,X002470.SZ,X000060.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.367467968696048,0.0143390750702915,0,0.0738210467718775,0,0,0,0,0,0.0109715403542,0,0,0,0,0,0,0,0,0.0292401069212908,0,0,0,0,0,0,0.0578727676319009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108240262045747,0,0,0,0,0,0,0,0,0,0.0037898917385053,-0.00659625984041386,0,0,0,0,0,0
X600028.SH,0.569299105140925,0,0,0,0,0,0.277724054106925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113001400469041,0,0,0,0,0,0,0,0,0,0,0,-0.0405106143148298,0,0,0,0,0,0,0,-0.0226155837178607,0,0.0231981427300686,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0373619280344527,0.0968974355320354,0,0,0,0,0,0,0,0,0,0,0,0,0.0852046615814428,0,0,0,0,0,0.106244678337417,0,0,0,0,0,0,0,0,0.0353948942562622,0,0,0,0,0,0,0,0,0,0,0,0,0.131330496711428,0,-0.0222742618796853,0.0083345204305361,0,0,0,0,0,0
X600011.SH,0,0.0681484028910936,0,0,0,0,0,0,0,-0.0370932092285944,0,0.36774388363047,0,0.017509036333387,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529654099407167,0,0,0,0,0,0,0,0,-0.0529373523438529,-0.00651649018332213,0,0,0,0,0,0,0,0.0525032148928246,0,0,0,0,0.0536621019832495,-0.0310929715098832,0.0365421619403752,0,0,0,0,0,0
X600019.SH,0,0,0.165778394170999,0,0,0,0,0,0,-0.0544592899080684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123815161894338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158907037179393,0,0.0246258051835385,0,0,-0.0498126843542383,0.0552021487614523,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821993892342576,0,0,0,0,0,0,0.0396474513183771,0,0.203115749530284,0,0,0,0,0,0,0,0,0,0.159099254378714,0,0,0,0.0612338813650256,0,0,0.00517052305616494,0,0,0,0.0831132424473928,0,0,-0.00756164951741509,-0.00819343680053667,0,0,0,0,0,0
X600585.SH,0,0.0521369935950526,0,0,0.0559170897631962,0,0,0,0,0,0,0,0,0,0,0.117490466711165,0,0,0,0,0.0358346688449822,0,0,-0.0413369961825546,0,0,0.107931740566709,0,0,0,0,0,0.038745643079901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113005184793868,0,0.000897016911226654,0,0,0,0,0,0
X601898.SH,0,0,0.089979819109257,0,0,0,0,0,0,0,0,0,0.054389221930405,0,0.103004948400626,0,0,0,0,0,0,0,0,0,0.0255832693472328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193503848927002,0.0179588995355567,0,0,0,0.159154806578342,-0.054156479084853,-0.0181120832670411,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,-0.018533219076131,0,0,0,0,0,0,0,0,0,0,0,0,0.024884398805731,0,0,0,0,0,0,0,0,0,0,0.412176905930721,0,0.0434126793062537,0,0,0,0,0,0,0,3.46944695195361e-18,0.0297807695859189,0,0.0647198838923548,0.00565270443096924,0,0,0.0099560727126895,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785454264834661,0,0,0,0,0,0,0,0.0461396930989955,0,0,0.98486950589547,0,0,0,0,0,0,0,0,0,0,0,0.0466035500617991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0433699536245686,0.0252996918262281,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0782095243330413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175494421159814,0,0,0,0,0,0,0,0,0.0444207291400034,0,0.0793236421477108,0.233992996673116,0,-0.134227089002852,-0.0272733617529248,0.0263271178893425,0,0,0,0,0,0
X600795.SH,0,0,0,0.202526525242549,-0.0575452295305846,0,0,0,0,0,0,0,0,0.0096469890080692,0,0,0,-0.0256275628148845,0,0,0.0740935103735424,0.0790206345890949,0,0.037288569661457,0.00803325239191634,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.073682239506317,0,0,0,0.0322220144144585,0,0,0,0.0912866865134274,0,0,0,0,0,-0.0125040998915932,0.0121829792400492,0.0542837395950275,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.159437801787022,0,0,0.150342171537981,0,0,0.140952944755373,0,0,0,0,0,0,0,0,0,0,0.0826160559133339,0,0,0,0,0,-0.269117983601454,0,0.130118090508396,0,0,0.376018930218293,0,0,0,0.180595480838455,0.0426420387495971,0,0,0,0.0501868104509204,-0.192995126523322,0,0,0.0865675250319624,0,0.0144281263717017,-0.0256436237128497,0,0,0,0,0,0
X300072.SZ,0,-0.0128501644211148,0,0,0.030825713739106,0,0,0,0,-0.0652154623446828,0,0,0.153314468475851,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0928700995950498,0,0,0,0.0370993774119267,0,0,0,0.110246664329646,0,0,0,0.0962985134849599,0,0,0,0,0,0,0,0,0,0,-0.00388969768839411,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.3187736175385,0,0,0,0,0.0402252604888364,0,0,0,0,0.076735674370027,0,0,0,0,0,0,0,0,0,0,0,0,0.0379547761658537,0.0413222074593086,0.0239532704150322,0.0859348593361772,0,0,0,0,0,0.0778338071355446,0.0197830729587788,0,0,0.128557904427728,0,-0.04909917584889,0,0,0.0787737744537185,0,0.00716807722535469,0,0,0,0,0,0,0
