,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X002466.SZ,X600547.SH,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X000877.SZ,X600027.SH,X600362.SH,X600795.SH,X002271.SZ,X601991.SH,X600803.SH,X600176.SH,X600489.SH,X601699.SH,X000983.SZ,X000807.SZ,X000786.SZ,X002409.SZ,X000539.SZ,X600160.SH,X000629.SZ,X300037.SZ,X600995.SH,X000408.SZ,X600219.SH,X000932.SZ,X600612.SH,X002080.SZ,X600688.SH,X600378.SH,X000027.SZ,X000723.SZ,X000933.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.57857499662576,0,0,0.0587089307760622,0,0,0,0,0.00930568511552775,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.0133982926227363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272452859114726,0,0,0,0,0,0,0,0.0403078715051332,0,0,0,0,0.121468063254632,0,0,0.0257190259379148,0,-0.0140810109360751,0,0,0,0,0
X600028.SH,0.649464265508332,0,0,0,0,0.0156846159765055,0.0903123413296377,0.315117199104722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534991797194502,0,0,0,0,0,0,0,0,-0.00765519314597415,0,0,0,-0.0542397515171514,-0.0493397880474731,0,0,0,0,-0.0699379780260719,0,0,-0.107507672547395,0,0,0,0.032810290526845,0,0,0,0,0,0,0
X601088.SH,0.146378187505869,0,0,0,0.136807139139563,0,0.0930399237047422,0,-0.00353476282706927,0.265130124309388,0,0,0,0,0,0.0361925076136416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048410658790702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01771324225139,0,0,0.0230301342220465,-0.0282314198780279,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.164107434457001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279407537484704,0,-0.022425106796326,0,0,0,0,0,0,0,0,0,0.0145098957000472,0,0,0,0.054709784267258,-0.0675552879750868,0,0,0,0,0,0,0.0264497134788517,0,0,0,0,0,0,0.00439459696019092,0,0,0,0,0,0,0
X600188.SH,0,0,0.108105746694683,0,0,0,0,0,0,0.434633500048127,0.00499355941476458,0,0,0.0996253083043652,0,-0.0595785673593024,0,0,0,0,0,0,-0.0740698687174619,0,0,0,0,0,0,0,0.157233011658931,0,0.19268016770632,0,-0.0274835566922189,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363250456618273,-0.0477856599614484,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0309930212526876,0,0,0,0,-0.0380375069418394,0,0,0,0,0,0,0,0,0,0,0,0,0.366562347356209,0,0.142042552592479,0,0.319189523175114,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.044730710747865,0,0,0.0709979413494563,0,0,0,0.0442534350006208,0,0,0,0,0,0,0
X600019.SH,0,0.0545823762861393,0,0,0.0691830539213162,0,0,0.0814654103754837,0,0,0,0.0380512687034684,0,0.112804919122291,0,0,0,0,0,0,0.0676988857835708,0,0,0,0,0,0.00881969873175405,0,0,0,0,0,0.0918554604160687,0,0,0,0,0,-0.0851123274058348,0.0105501073656974,0,0,0,-0.0494464553990107,0,0,0,0,0,0,0,0.0417731060568787,0.0328068226428163,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0825379717257976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828878307057726,0,0,0,0,0.0165278458851942,0,0,0,0,0,0.0724430941673365,0,0.0561586663391593,0,0,0,0.0501048020726069,0,0,0,0.0918634199150042,0,0,0,0,0,0,0,0.00291496338073,0,-0.0191588884324609,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.385816413621268,0,0.0915466745561909,0,0,0,0,0,0,0,0,0.0380588117734893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133470812996027,0,0,0,0,0,0,0,0,0,0,0,0.0169350638815648,0,0.0263150302833464,0,0,0,0,0,0,0
X601898.SH,0.091176037738493,0,0,0,0.159612452355195,0,0.0234763824255185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326616495835131,0,0,0.00340646183755252,0,-0.0415238844238639,0,0,-0.09574910517958,0,0,0,0,0,0,0,0,0,0.0284374166904742,0,0,-0.0100114217312577,0,0,0,0,0,0,0
