,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600011.SH,X600886.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X002466.SZ,X000708.SZ,X600489.SH,X600160.SH,X600803.SH,X600027.SH,X000301.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X600219.SH,X000983.SZ,X000408.SZ,X002128.SZ,X601699.SH,X600176.SH,X000877.SZ,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X000831.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X300037.SZ,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.495793679442473,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988706967026161,0,0,0,0,0,0,0.081791223334505,0,0.0380642531639623,0,0,0,0,0,0,0.00882935713035018,0,0,0.01983463504786,0,0.0763016270109747,0,0,0,0,0,0,0,0,0,0,0,-0.0022678456046008,0,0
X601088.SH,0,0,0,0,0.37637674538403,0,0,0,0,0.00239713301130983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159562865798235,0,0,0,0,-0.0449072148694246,0,0,0,0,1.0842021724855e-19,-0.00666387866065432,0,0,0,-0.0157286292522812,0,0
X600028.SH,0.521372667046655,0,0,0,0.0471557590689263,0.135154736069469,0,0,0,0,0,0,0,0,0,0,0.0438519154050883,0,0,-0.0189623909835783,0.033421573025971,0,0,0,0,0,0.18244087791314,0,0,0,0,0,-0.066521407618891,0,0,0,0,0,-0.0762262651528528,0,0,0,0,0,0,0,0,0,0,-0.0782381183063295,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539579784129056,0.346820731813941,0,0,0.0403262559208132,0,0,0,0,0,0.139997946326595,0,0,0,0,0,0.0296586786382258,0.0561543741455671,0.0228386415732975,0,0,0,0,0,0.0265059707991756,0,0,0.04417588020959,0,0,0,0,-0.0647367834820234,0,0,0,0,0,0,0
X601898.SH,0.0335492097532401,0.0790086572044592,0.284927197397422,0,0,0,0,0.0198523941264294,0.0310070675480585,0,0,0,0,0,0,0,0,0,0,0,0.0908511190342135,0.0405880500529591,0,0.0272417003891636,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493426271075253,0,0,0,0
X600188.SH,0,0,0,0,0.172374069244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170940385591943,0,0,0,0,0.107110060752739,0,0,0,0,0,0,0,0,0,0.427477735375314,0,0,0,0,0,0,0,0,0,0,0.165360138157373,0,0.128391817924567,0,0,0,0,0,0.0842581680310859,0,0,-0.035737485296932,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.0342873529888032,0,0,0,0,0,0,0,0,-0.266654194899352,0,0.170440794616652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366079972443706,-0.0507723462852168,0,0,0,0,0.0391596267691241,0,-0.0191392297385844,0,0.32839587247085,-0.079879808383399,0,-0.0390936037626874,0,0,0,0,0.0289698322223507,0,0
X600019.SH,0.16434251232517,0,0,0,0.00954586555963636,0,0,0,0,0.114543447084416,0,0,0,0,0.0401378899570686,0,0,-1.73472347597681e-18,0,0,0.0840715621122247,0,0,0.160072551425418,0,0,0,0,0,0,0.208989892836723,0,0,0,0,0,0.0044037788657886,0,0,0,0,0,0,0,0.0782476853580569,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0
X600585.SH,0,0,0,0,0.176456901799671,0,0,0,0,0,0,0,0,0.158349907906644,0,0,0,0.00600785021302401,0,0,1.73472347597681e-18,0,0,0,0,-1.73472347597681e-18,0.125959387357548,0,0,0,0,0,0.0814859193815659,0,0,0,0.274400418902807,0,0,0,0,0.00234017220016968,0,0,-0.0185684048250932,0,0,0,0,0,0,0,0,0,0,0,-0.0291370289542591,0,0
X601600.SH,0,0.076670448401983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102765152822628,0.00854444465471358,0,0.444573761916054,0,0,0,0.035381839051041,0,0,0,0.306486982046489,0.19540749983028,0,0,0,0,0,0,-0.0459929503974213,0,0,0,0,-0.00895615691828538,-0.0600332261263601,0,0,0,0.0312837310808093,0,0
