,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X000883.SZ,X600583.SH,X002353.SZ,X000792.SZ,X601158.SH,X000898.SZ,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X600315.SH,X000831.SZ,X000825.SZ,X600352.SH,X600808.SH,X600660.SH,X601699.SH,X000027.SZ,X600307.SH,X000630.SZ,X600549.SH,X600578.SH,X000983.SZ,X002470.SZ,X600490.SH,X000959.SZ,X000937.SZ,X600863.SH,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0528230105187316,0,0.0464830972713548,0,0.0746001439527863,0,0,0,0.0446366993560519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334369181756492,0,0.00707326801325108,0,0,0,0.0330261669938344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204989570828515,0,0,0,-0.00108528879690959,-0.00755333979939584,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0783833010036239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919228693218965,0,0,0,0.0164270151842701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170801073273496,0,0,0,0.0717868932991633,0.10814601978273,0.0572715432538651,0,-0.0143380706985778,0,0,0,0,-0.0228181532017753,0,0
X601088.SH,0,0,0,0,0,0,0.0864348128492876,0,0,0.104497697965502,0,0,0,0,0.171423177624596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156642991502607,0,0,0,0,0,0,0,0.0449191797215995,0,0.0328100381026623,0,0.0121011519009832,0,0,0,0,0,-0.0109180785784655,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.173456629147672,0,0,0,0.0744994731754388,0,0,0,0.114106215918036,0.00427018919275102,-0.016381396381554,0.0182307290906862,0,0,0,0,0.0534392065890826,0,0,0,0,0,0,0,0,0.0120510249005597,-0.0103834011782493,0,0,0,0,0,0,0,0,0,0.168066129018363,0,0,0,0,0,0,0,0,-0.00762819302105959,0,0,0,0,-0.0257377381369884,0,0
X600011.SH,0,0,0,0,0,0.14915146097805,0,0,0,0,0.00626056754118867,0,0,0.0329221459569793,0,0.0617161587900305,0.282553618266737,0,0,-0.0670560823703295,0,0,0,0,0,0,0,0,0,0,0.157502132263923,-0.0364500413367828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011817288285078,-0.0106340325412502,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0887531265472772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19630809065158,0.102977129477214,0,0,0,0,-0.0164283648941146,0,0.0609810580748429,0,0,0,0,0,0,0,0,0,0.049328395936295,0.0357873064773051,0,0.0575757930146258,0,0,0,0,0.0109296407068548,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.129822871478382,0,0.279667411340567,0,0,0,0.017351145055816,0.122236240212449,0,0,0,0,0,0,0,0,0,0,0,0,0.0321707766148755,0,0,0.166072254009788,0,0,0,0,0.122916363589678,0,-0.0290993743555756,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124585533016617,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0.0710848135371866,0,0,0,0,0,0,0.186528349495453,0,0,0.0326186214707333,0.0385436963768752,0,0,0,0,0,0.103282812984253,0,0,0,0,0,0,0,0,0.0073406709736045,0,0,0,0,0.126593036760352,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.0194499836085234,-0.0345191021298914,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515549911978341,0,0,0,0,-8.67361737988404e-19,4.33680868994202e-19,0,0.0460127664165998,0,0,0,0.0409020576303254,0.0707782997594386,0,0,0,0,0,0,0,0.229255347137919,0,0.0331053937477441,0,0,0,0,0,0.170027413594331,0,0,-0.0101836052840205,0.00647616113599251,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.401569741997061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103176230236858,0,0,0,0,0,0,0.0515666167242645,0,0.0316763419303966,0,0.0193698162513594,0,0,0,0,0,0.062755041012176,0.0810001700389082,0,0.00976780360008186,0,0,0,0,0.000459670720277377,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109424943713372,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.108475509119532,0,0.0590089424445443,0,0.0352497109019938,0,0,0,0,0,0,0,0,0,0,0,0.0866113852557854,0,0.0418095651529426,0,-0.000316215466189824,0.0147483823940769,0,0,0,0,0,0
