,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X600188.SH,X600011.SH,X002271.SZ,X000877.SZ,X000708.SZ,X002466.SZ,X600660.SH,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000786.SZ,X000723.SZ,X600219.SH,X000408.SZ,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X000807.SZ,X600801.SH,X600688.SH,X002353.SZ,X600027.SH,X000825.SZ,X600352.SH,X000630.SZ,X000959.SZ,X000932.SZ,X600157.SH,X600489.SH,X601699.SH,X000960.SZ,X000983.SZ,X600516.SH,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0754719642111501,0,0,0,0.0354424175061793,0,0,0,0,0,0,0,0,0.0134742804236122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102934126308505,0.0250246056653246,0,0,0.0404142479280087,0,0,0,0,0,0,0,0,0,0.0975381823739379,0,0,0,0,0,0,0,0,0.0375658137246367,0,0
X600028.SH,0.0332413088027935,0,0,0,0,-0.00554286068283524,0.0167180213338153,0,0,0,0.00554244797176314,0,0,0,-0.00509601096423557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898717512798076,0.0649043066605557,0,0.0167987586664003,0,0,0,0,0,0,0,0.0314686191080444,0,0.0366093438116891,0,-0.00865501413471674,0,-0.00363595628689413,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0977950334164354,0,0,0,0,0,0,0,-0.0411332289111875,0,0,0,0,0,0,0,0,0.0618856864383971,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0290005681819978,0,-0.0240946184087047,0,0,0,0,0,0,0,0.245671367332006,0,0.126987065201272,0,0,0,0.00075390370731909,0,0,0,0,0.0290143443172271,0,0
X600309.SH,0.0188939533394005,0,0,0,0,0,0,0,0,0.0373101349096763,0,0.0389539575185306,0,0,0,0,0,0.00503053182432634,0,0,0,0,0,0,0,0,0.0160792988439833,0,0.043642184521797,0,0.187139760812764,0,0.0175020526802108,0,0,0.0311387938299956,0,0,0,0,0.025082302461082,0,0,0,0,0.0154383707917362,0,0,0,0,0,0,-0.00714503899356486,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0659279463317003,0,0,0,0.0737582589596265,0,0,0,0,0,0,0,0.0831241937815093,0.0797367297417919,0.0320590214402825,0,0,0,0,0,0,0,0.378125014009335,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168608178533005,0,0,-0.017729647352928,0,0,0,0,-0.0117364397614598,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0681127528256444,0,0.054120619649719,0,0.0431542894700799,0.445215334743945,0,0,0,0,0,0,0,0,0,0,0,-0.176829442624525,0,0.0885070252116101,0,0,0,0,0,0,0,0,0,0,0,0.0439992003291484,0,0,0,0,0,0,0,0,0.255635105476576,0,-0.0491351430686252,0,0,0,0,-0.0458253422936156,0,0
X600019.SH,0.0459491994406772,0,0,0,0,0,0,0,0,0.00047013655217845,0.0580112924946617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309440779677756,0,0,0.0431851187039706,0.218014371054584,0,0,0.0496022652182307,0.231727417443481,0,0,0,0.0663904346162282,0,0,-0.0705016905937112,0,0,0.010894520108793,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.0832027054011923,0,0,0,-0.0410795955370515,0,0.341976700576315,0,0,0,0,-0.108408167200138,0,0,0,0,0,-0.0283116427419469,0.140860191429462,0,0.118371464352889,0,0,0,0,0,0,0,-0.168533439789307,0,0,0,0,0,0,0,0,0,-0.0353949084060178,0,0,0,0,-0.0050571285487459,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.112981113691059,0,0,0,0,0,0,0,0.191586996035236,0.208441465569448,0,0.235363271566849,0.0322237045796548,0,0,0,0,0,0,0,0,0.0676656617320416,0,0,0,0,0,0,0.0940948301597812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181079660510582,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0241843833461848,0,0,0,0,0.114262280603752,0,0,0,0,0,-0.195929150277246,0.0425043944741909,0,0.2133470648663,0,0.1590029108845,0,0,0,0,0.0350956816576931,0,0,0,0,0,0.204353618806941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418605926553847,0,0,0,0.0582334160447707,0,0,0,0,0.0088861215248577,0,0
