,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X600660.SH,X601600.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X000708.SZ,X600010.SH,X600795.SH,X000301.SZ,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X600612.SH,X300037.SZ,X000629.SZ,X600688.SH,X600157.SH,X000723.SZ,X002128.SZ,X601168.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.715114532420055,0.0652568476855955,0,0,0,0,0,0,0,0,0,0,0,0,0.10707806927924,0,0,0,0,0,0,0,0,0,-0.159380633799534,0,0,0,0,0,0,0,0,0,0,0.026989759571237,0,0,0,0,0.0353195803316911,-0.0159836913345101,0,0,0,0,0,0,0,0,0,0.00452607777400574,0,0,0,0.0160387607855935,0,0
X600028.SH,0.473270024074546,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319841931521332,0,0,0,0,0,0,0,0,0,0.0727355044723101,0,0,0,0.0544473134857318,0.0689583987567853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00175573459608827,0,0,0,0,0.0461860622158442,0,0
X601088.SH,0.0677521848466956,0.162778388639522,0,0,0.0307192944495492,0,0,0.202864726876057,0,0,0,0,0,0,0,-0.0234340518555296,0,0,0,0.0360493023636331,0,0,0,0,0,0,0.025529693179996,0,0,0,0,0.0831409407108389,0,0,0,0,0,0,0.0717944657187761,0,0,0,-0.124011588322706,0,0,0,0,0,0,0,0,0.0119304935877928,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.130724489648682,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0200907464943811,0,0,0,0,0,0.138610266221018,0,0,0,0,0,0,0,0,0,0,0,0.0365803259750056,0,0.336465468904076,-0.0487684542379401,0,0,0,0,0,0.19465670794734,0,0,0.210712807335011,0,0,0,0,-0.0426304929440895,0.0142877079970181,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0834955620247873,0,0.153650832059063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308355064966573,0,0,0.174065417607183,0,0.388118192503089,0,0,0,0,0,0,0,0,0,0,0,0.093996071654896,0,0,0,-0.0898778806660447,0,0,0,0,0,0,0,0,-0.000353010526823816,0,0,0,0,0,0,0
X600019.SH,0,0.207365967655569,0,0,0.0174534765293473,0,0.110706947906595,0,0,0,0,0,0.0334826087551792,0,0,0,0,0.0633743279127855,0,0,0,0,0.13556585598738,0,0,0,0,0,0,0,0,0,0,0,0.12795600880642,0.177522026688599,0.331643711555793,0,0,0,0.0267651493092707,-0.0568926452764234,-0.170759646429759,0,0,0,0,0,0,0,-0.0435571823731495,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657956332329604,0.310307142855704,0,0,0.133873932108891,0.0372954363864515,0,0,0,0,0.0185323974606343,0,0,0.0389112318087192,0,0,0,0,0.0113565109872863,0,0,0,0,0,0,0,0,0,0,0,5.66211098128794e-05,0.00472198248187096,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.273560263218514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218209545643973,0.0320864163661591,0,0,0.144371285664877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00860127461972122,-0.00470138246226529,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.10346928785167,0,0,0,0,0,0,0,0.103889392530326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357057766962063,0,0,0,0.0207137402389723,0,0,0,0,0,0,-0.00615488448386708,0,0,0,0.106011176909364,0,0,0,0,0,0,0,0,-0.0119349261419045,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0817486964957658,0,0,0,0,0,0,-0.0851466942631521,0,0,0,0,0,0,0,4.33680868994202e-19,0,-0.0558905588276548,0,0,0,0,0,0,0.0132409757750375,0.363260426129637,0,0,0,0,0,0,-0.0654374971243313,0,0,0,0,0.0356140156786506,0,0.0117651977417005,0,0,0,0,0,0,0,0.018710106707591,-0.0107104787710913,0,0,0,0.0629592514091864,0,0
