,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X601600.SH,X600688.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600516.SH,X002460.SZ,X600547.SH,X600886.SH,X300072.SZ,X600111.SH,X000898.SZ,X601992.SH,X600176.SH,X000786.SZ,X600352.SH,X000553.SZ,X600027.SH,X600299.SH,X000792.SZ,X000709.SZ,X000825.SZ,X601699.SH,X002271.SZ,X600426.SH,X000408.SZ,X601158.SH,X000830.SZ,X600489.SH,X600583.SH,X600339.SH,X600219.SH,X600808.SH,X000883.SZ,X600157.SH,X600315.SH,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.118249702834687,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0518667171528554,0,0,0,0,0,0,0,0.166296376059474,0,0,0,0,0,0,0.0606898691320364,0.0362736452936145,0,0,0,0.0602748058773235,0,0.0240082246542034,0,0,0,0,0,0,0,0,0.00674193431121127,-0.00999220952945941,0,0,0,0,0,0
X600028.SH,0,0,0.298543219737881,0,0,0,0,0,0,0,0,0,0,0,0.308960005358393,0,0,0.0461845987946114,0.109007476769562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054288710405349,0.00212227623136266,0,0,0,0,0,0
X601088.SH,0,0,0,0.276430320676518,0.0338916245884084,0,0,0,0,-0.0390238894771931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0581836695732157,0,0,0,0.379069921530876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042654838507395,-0.00732014425749105,0,0,0,0,0,0
X600019.SH,0,0,0.261287505755495,0,0,0,0,0.310368356376764,0,0,0,0,0,0,0,0,0,0.0198844895252686,0,0,0,0,0,0,0,0,-0.129620841082772,0,0,-0.111903075263946,0,0,0.151842868248768,0,0,0,0,0,-0.0586294714267248,0,0,0,0,0,0,0,0,0,0,0.00695093874632625,0,0,0,0,0,0,0
X600585.SH,0,0,0.546473260491287,0,0,0,0,0.0444797990380296,0,0,0,0,0,0,0,0,0.0585779520338648,0.056715349220359,0,0,0,-0.0130422384461767,0,-0.0351206842476605,0,0.0437848194122853,0,-0.116498580162724,0,0,0,0,0,0,0,0,0,0,0.176663087876692,0,0,0,0,0,0,0.0581656353618753,0,0,0,-0.00798449226247522,0.0643058276939594,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147064089772622,0,0,0.0344012595226298,0,0,0.149604773213696,0,0,0,0,0.263364865049293,0,-0.0293576143962768,0,0,0.0209297987860517,0.0139753162773835,0,0,0,0,0,0.0104275743838522,0,0,0,0,0,0,0,0,-0.00619225421506341,-0.0266355066732427,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0425481142998712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179952823072329,0,0.0160005344573881,0.0100972129898782,0.0525535046059933,0.0600726796280276,0,0,0,0,0,0.0557254352851741,0,0,0,0.0561652674091086,0,0,0,0.114072067679957,0,0,0,0,0,0,0,0,-0.0081832088670754,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.194167312449018,0,0,0,0,0,0,0.0435619431487233,0,0,0,0,0,0,0.150370058749372,0,0,0,0,0,0,0.229407518510319,0,0,0,0,0,0,0,0,0.173850893126317,0,0,0,0,0.0612779645960764,0,0.444866910473442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.139611859985435,0,0,0,0,0,0,0.171159667211766,0,0,0,0.0114807066159427,0,0,0,0.130590314226843,0,0,0.00792728869359425,0,0,0,0,0,0,0,0.0449966135411363,0,0,0,0,0.0353883155318941,0,0,0,0,0,0,0,0,0,0,0.00406017538656589,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0105210261428651,0,0,0,0,0,0,0,0,0.0979651114019761,0.470687391454666,0,0,0,0.0479287303602025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299810545387145,0,0.0203398017248752,-0.0109593779030834,0,0,0,0,0,0
