,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600886.SH,X600547.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600027.SH,X600111.SH,X000708.SZ,X600803.SH,X002460.SZ,X601991.SH,X600426.SH,X000301.SZ,X600160.SH,X000983.SZ,X601699.SH,X000786.SZ,X002466.SZ,X002128.SZ,X000807.SZ,X600219.SH,X600176.SH,X000630.SZ,X000933.SZ,X600985.SH,X601168.SH,X000877.SZ,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X000932.SZ,X002271.SZ,X002409.SZ,X600801.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.154057996911337,0,0,0,0,0,0,0,0,0,0,0,-0.0183743091202378,0.0645367365739497,0.00819389545183511,0,0,0,0,0,0,0,0,0,0,0,0,-0.127050378823211,0,0,0,0,0,0,0,0,0.216922909293337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836788040525236,0,0
X601088.SH,0.2719344147991,0,0,0,0,0,0.190639877781976,0,0,0,0,0,0.0604329685730548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176049678275754,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.00922463313769545,0,0,0,-0.0414757268277343,0.0425153053831475,0,0,0,0.0308332459521974,0,0,0,0,0.0121983638880438,0,0
X600028.SH,0.442250457494276,0.196966022527906,0,0,0.00664707507557244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385251706514957,0,0,0,0,0,0,0,0,0,0,-0.0884484585298419,-0.0219853355978335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861597480168069,0,0,0,0,0,0,0,0,0.0590016843665861,0,0
X600309.SH,-0.102942115362226,0,0,0,0,0,-0.0107589607505237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178339233047419,0,0.0762540618548683,0,0,0,0,0,0,0,0,0,0,0,0.0207008640544894,0,0,0,0,0,0,-0.0208837249717399,0,0,0.209912414617184,0,0,0,0,0,-0.0430358304247798,0,0,0,0.00624936084435001,0,0
X601898.SH,0,0,0,0,0,0,0.105376327436108,0,0,0,0,0,0.0724678840567645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303871917999058,0,0,0,0,0,0,0,0,0.212980156475048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.118490003275574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466575300178337,0,0,0,0,0,0,0,0,0.0337476574608523,0,0,0,0,0,0,0,0,0.0945032892098195,0,0.085133825349814,0,0,0,0,0.258892667668377,0.021610334284325,0,0,0,0,0.0258159384029589,0,-0.0199946343409362,0,0,0,0,0
X600188.SH,0.0537651463225791,0,0,0,0.179830888765334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106945876351075,0.376221428505714,-0.1634501822404,0,0,0,0,0,0,0,0.0807126043312631,0,1.73472347597681e-18,-0.0225035510489422,0,0,0,0,0,0,0,0,0,0,-0.0605911999441233,0,0,0,0,-0.00155910461902624,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0.0123143757421326,0,0,0,0.126282149541695,0,0,0,0,0,0,0,0,0,0.117470772309445,0,0,-0.154459356348293,0,0,-0.0450894463562146,0,0,0,0,0,0,-0.0311800612096771,0,0,0,0,0,0.138524963368845,0,0,0,0,0,0,0,-0.0878485486325559,-0.0130975742296105,0,0,0,0,-0.0376927984382924,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44442862952551,0.254399883481111,0,0,0,0,0,0,0,0,0,0.0474181436388759,0,0,0,0,0,0,0,0,0,0.125469631843342,0,0,0,0,0,0,0,0,0,-0.0783886687794517,-0.0509320900362885,0,0,0.073535453798467,-0.0501594566057962,0,0,0,0,0.00542353434908643,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156142572035919,0,0,0,0,0.119277892735948,0,0,0,0,0.31330905343335,0,0,0,0,0,0,0,0,0,0,0,0.0275456482189773,0,0,0,0,0,0,0.0857126122921158,0,0,0,0,0,0,0,0,0.018739282977727,0.0380424519294878,0,0,0,-0.0854532654948829,0,0
