,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X600795.SH,X000792.SZ,X002466.SZ,X601699.SH,X000708.SZ,X002460.SZ,X600010.SH,X000301.SZ,X600027.SH,X600362.SH,X000983.SZ,X600111.SH,X000877.SZ,X600803.SH,X600426.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X600160.SH,X002271.SZ,X000630.SZ,X000408.SZ,X000932.SZ,X000933.SZ,X600176.SH,X000807.SZ,X600348.SH,X600612.SH,X601168.SH,X600219.SH,X002128.SZ,X300037.SZ,X600157.SH,X000027.SZ,X600096.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.334224177873629,0.128646248977148,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180613278613031,0,0,0,0,0,0,0,0,0,0,0,0.0656306116281959,0,0.108388336181614,0,0,0,0,0,0.0940716882208292,0,0.0152928618948575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00810789025617965,3.46944695195361e-18,0.200881359347706,0,0,0,0
X601088.SH,0.0701777992292561,0,0,0,0.0316538012871669,0,0,0.219858261194797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256105253485617,0,0.222418098837862,0,0,0,0,-0.0680941612495631,0,0,0.0848536368834649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152984274616657,-0.00502670278202841,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.00933074748622577,0,0,0,0,-0.0247817277113053,0,0.154271707638859,0,0,0,-0.045872856452695,0,0,0,0.0171966029551677,0.013393299826865,0,0,0,0,-0.0428493647857843,0,0,0,0,0,0,0,0,0,0.402156177051287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00802701333591775,-0.00524035069819612,0,0,0,0,0,0
X600309.SH,0.138797562598649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243589431304611,0,0,0,0,0.159317241601563,0,0,0,0,0,0,0.101076726896877,0,0.0220841921907917,0,0,0.148457944733383,0,0,0,0,0.0317143969036103,0,0.150953126247365,0,0,0,0,0,0,0,0,0,0,0,0,-0.00277976562882748,0,0,0,0,0,0
X600188.SH,0,0.0495771648612574,0,0,0,0.0924101873755608,0,0,0,0,0,0,0.0507707425216086,0,0,0,0.188312962560785,0,0,0,0,0,0,0.202117818051721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249047395680061,0,0,0,0,0,0,0,0,0,0,0.0219984990084494,-0.0290949250454723,0,0,0,0,0,0
X601898.SH,0,0.20948163546838,0,0,0.28438684092997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446893260616897,0,0,0,0,0,0.0720226250526959,0,0,0,0,0,0,0,0.0292013970927772,0,0,0.100276462283902,0,0,0,0,0,0,0,0,0,0.051594816564643,0.00114098743747915,-0.0345986196775772,0,0,0,0,0,0
X600019.SH,0,0,0,0,3.46944695195361e-18,0.0554479882756884,0,0,0,0,0,0,0,0,0,0,0.0416024538537193,0,0.0213021857170246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0677801503560004,0,0,0.305666894088848,0,0,-0.0128156260495112,0,0,0.134643119522371,0,0,0,0,0,0,0,0,0,0.00327915751625054,0,0,0,0,0,0
X600011.SH,0.0858186333213555,0,0,0,0,0,0,0,0,0.0423949853187664,0,0,0,0.0419759036193609,0,0,0,0,0,0,0,0.287112558245985,0,0,0,0,0,0,0,0,0.0833911629163416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0044509116570413,0,0,0,0,0,0
X600585.SH,0.140916462680705,0,0,0.034851347373328,0,0,0,0,0,0,0,0.095248084233767,0,0,0,0,0,0,0.114419834981115,0,0,0,0,0,0,0.0482114566234423,0,0.0104236441168766,-0.0676505868344555,0.0435347871584241,-0.0233442378945489,0,0,0.0696216206077898,0,0,0,0,0.0650286301012679,0,0,0,0,0,0,0,0,0,0,0,0,0.00541383925433838,0.000150131468161888,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0859766046371881,0,0,0,0,0,0,0,0.370834296354641,0,-0.0267927609990451,0.033463884344915,0,0,0,0,0,0,0,0,0,0,0,0,-0.0385530832326136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955543064507205,0,0,0,0,0.0803375178803317,0,0.00286558146590563,0,0,0,0,0,0
