,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X600795.SH,X601991.SH,X600352.SH,X600688.SH,X002460.SZ,X000786.SZ,X600111.SH,X000723.SZ,X600027.SH,X601992.SH,X600176.SH,X002271.SZ,X002466.SZ,X002353.SZ,X600516.SH,X000898.SZ,X600583.SH,X600426.SH,X600489.SH,X600299.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X600612.SH,X000629.SZ,X000027.SZ,X000553.SZ,X000630.SZ,X000825.SZ,X600808.SH,X000792.SZ,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0492567198501488,0.120034972525779,0,0,0,0,0,0,0,0,0,0.130672882885777,0,0,0,0,0.0155008937239166,0,0,0,0.0265856823046328,0,0,0.0438103370014701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430513215642858,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0145266131739817,0.104271817206676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110528948271788,0,0,0,0.115645590528057,0,0.0461359597075194,0,0,0,0.0195246479650055,0,0,0,0,0,0,0,0,0,0,0,0,0.0235814230744366,0,0,0,0.0159883168131238,0.0399490578390817,0,0,0,0.00777644670280869,0,0
X601088.SH,0,0,0,0.126846577073335,0,0.0201871059965686,0,0,0,0,0,0,0,0,0,0.0583241390362864,0.0186823185504542,0,0,0,0,0,0,0,0,0,0,0,0,0.0269911066609506,-0.0212494532275529,0,0,0,0,0,0.085235801577845,0,0,0,0,0,0,0,0.0451011997761119,0,0,0,0,0.112614166867823,0,0,0,0,0,0,-0.0186562160606764,0,0
X600585.SH,0,0,0,0,0.075950309895277,0,0,0,0,-0.0110232126721761,0,0.015373269568305,0,0,0,0,0.377048646794563,0,0,0,0,0,0.0560790192073718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220995222437447,0,0.00309039485754738,-0.0307182032853516,0,0,0,0,0,0
X600309.SH,0,0,0,0.215175565557765,0,0,0.0643105315736422,0,-0.000604111106353348,0,-0.190816677182634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707570952396704,0.132457361630725,0.00567134033860496,0,0,0,0,0,0,0.117744971736536,0,0,0,0,0,0,-0.133457943231292,0,0,0,0,-0.146244186155094,0,0,-0.0195495533315939,0.0248662587412344,0,0,0,0,0,0
X600019.SH,0,0,0.132882824145761,0,0,0,0,0,0.0532060961765277,0,0.0861100866628227,0.0417034482590072,0,-0.0517730968612286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058170808041875,0.0526527544985134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134716039718985,0,0,0,0,0.0292638304816794,0,0
X600547.SH,0,0,0,-0.0744819017398736,0.00441828734816267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00977278403357594,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16519679837973,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0326935001888321,0,0,0,0.22165986390066,0,0,-0.0395541488761313,0.0261442733459846,0,0,0,-0.00236924150908773,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.10512646149536,0,0,0,0,0,0,0,0.0346386239779195,0,0,0,0,0.0306313294345376,0.0280437856996524,0,0,0.185081034897126,0,0,0.0383774941851352,0,0,0,0,0.0661760418375873,0.0857665772886063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732515546500156,0,0,0,0.00569666716845524,0,0,0,-0.00438470143749528,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.0796968782631679,0.422606274249571,0.0667912554748019,0,0,0,0,0,0,0,0.0560251808084492,-0.18661598123013,-0.0483320081549968,0,0,0.0743694869979674,0,0,0,0,0,0.0818370458442579,0,0,0,0,0,0.264860714913402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130327465115958,-0.0216144309554483,0,0,0,0,0,0
X601898.SH,0.369467532598707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282071459969476,0,0,0,0,0,0,0,-0.0142087109453177,0,0,0,0,0,0.139918113285282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00143940289473622,0.0408827784179484,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.160407466887969,0.0151978099283872,0,0,0,0,0,0.0390053838338468,0,0,0,0,0,0,0,0,0.00181324614842367,0,0,0.0235957523616269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390834240453754,0,0,0,0.0422310427638831,0.02788446234644,0,0,0,0.0205643946814953,0,0
X600886.SH,0,0,0,0,0,0,0,0,0.195066626102081,0.0872584619995401,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195762029293377,0,0,0,0.0967510814241208,0.147972614673252,0.134065489721446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165779553118896,0,0,-0.0190281297353805,0,0,0,0,-0.0765211156066026,0,0
X601600.SH,0,0,0,0.0687015757096436,0.0603732849123799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221829610767023,0,0,0.0551083502016922,0,0.113844063541296,0,0,0,0.0290876618079672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188650341243918,0,0.0174751979824577,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0145583289044582,0,0,0,0,0,0,0,0.00232630305821493,0,0,0,0,0,0.0379754100561305,0,0,0,0.0924690090470157,0.00441968204446878,0.0218037883059623,0,-0.0401576831651944,0,0,-0.115002330522426,0,0,-0.0139916398172128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119271829903437,0.00319034350537162,0,0,0,-0.0132587327582919,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0694487374582198,0,0,0,0,0,0,0,0.0214873120416513,0,0,0,0,0,0,0.0402652363675464,0.0344690058542446,0,0.122778611753015,0,0,0,0,0.126053013417482,0,0,0.0366068778697022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622860931585036,0,0,-0.00982994665383329,0,0,0,0,0,0
