,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600027.SH,X600489.SH,X600886.SH,X601992.SH,X600623.SH,X002466.SZ,X600299.SH,X300072.SZ,X600309.SH,X000792.SZ,X600660.SH,X601158.SH,X002075.SZ,X000723.SZ,X600583.SH,X000408.SZ,X600549.SH,X600352.SH,X000898.SZ,X000709.SZ,X000883.SZ,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X002460.SZ,X000060.SZ,X000630.SZ,X000012.SZ,X002407.SZ,X600021.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0358638063776501,0,0.020485951097989,0,0,0,0,0.045484608307844,-1.73472347597681e-18,0,0.00107007686882421,0,0,1.73472347597681e-18,0,0,0.0447711421903298,0,0,0,0,0.00660728636349695,0,0.064758139226608,0,0,0,0,0,0,0,0,0,0.0164217124661917,0,0,0.00426968994818518,0,0,0,0,0,0,0,0.0210476889153245,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.179893471198594,-0.015054461635961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152339481863047,0,0,0,0,0,0,0,0,0,0,0,0,0.0325929106267973,0,0,0,0,0,0,0,0,0,0,0.0108941529306238,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0712391659009998,0,-0.0258511703602588,0.0659220876660739,0,0,0,0,0.0197205229175891,0,0,0,0,0,0,0,0,0,0,0.0660953838904964,0,0,0.00315994344883966,0,0,0,0,0.117230629382067,0,0,0,0.0351696417805619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357206136927599,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0564896418755795,0.128132113224601,0,0.12178802440237,0.103709950898554,0,0,0,0,0,0,0,0,0,-0.0506000093977048,0,0,0.016262291237695,0,0,0,0,0.0463881871675365,0,0,0,0,0,0.0295632266155814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00700124657280718,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0429562154535295,0,0.0544535721233422,0,-8.67361737988404e-19,0,0,0,0,0,0.425219675858833,0,0,0,0,0,0.00771362588450555,0,0,0,0,0.00742863910217021,0,0,0,0,0,0.0144323210840252,0,0,0,0,0,0.0382277681860838,-0.0169251482241127,0,0,0,0,0,0,0,0.0685119800210676,0,0.0312878091969962,0,0.00353289853371368,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.124344732842775,0,0,0,0,0.00136635916789742,0,0,0,0,0,0.0143085360435287,0,0,0,0,0,0.0776381949492154,0,0.124697415664226,0.0324528833119795,0,0,0,0,-0.0193711855629472,0,0,0,0,0,0,0,0,0.080346519935961,0,0,0.0185074431847761,0,0,0,0,0,0,0,0.0905473106025119,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.063218510967573,0,0,0,0,0,0,0,0.0762344421121887,0.0658037361229288,0,0,0,0,0.0068691786124851,0,0,0.0986517851502282,0.040105361688903,0.0782731466899573,0,0,0,0.0230760560891815,0,0,0,0,0,0,0,0,0,0,0.00101744109771524,0,0,0.0146130529089957,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302247779265523,0,0,0,0,0,0,0.115920813039608,0,0,0,0,0.0242266239178686,0,0,0.0270491856536836,0,0,0.024724871291089,0.0844018389581945,0,0,0,0,0.0765703292566006,0,0,0,0,0,0,0,0,0,0,0.205398084844479,0,-0.0219039994458173,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,-0.0281003630180552,0.128172317596194,0,0,0,0,0,0,0,0,0,0,0.139377621253773,0.0437926001802549,0,0.104345180694022,0,0,0,0,0.012185969938157,0,0,0.0939354813407887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567752670192387,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467855106863502,0,0,0.163026568242201,0,0,0,0,0,0,0,0,0,0,0,0.115879649321857,0,0,0,0,0,0,0,0,0,0.0170553430440668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
