,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X000708.SZ,X000301.SZ,X002466.SZ,X601898.SH,X601600.SH,X600547.SH,X600362.SH,X600111.SH,X600188.SH,X600010.SH,X000786.SZ,X600886.SH,X600011.SH,X600426.SH,X600176.SH,X601991.SH,X600795.SH,X000408.SZ,X600803.SH,X600352.SH,X000932.SZ,X002080.SZ,X600489.SH,X600219.SH,X000027.SZ,X002353.SZ,X600315.SH,X300037.SZ,X000825.SZ,X000898.SZ,X600688.SH,X600801.SH,X000959.SZ,X002409.SZ,X000807.SZ,X600399.SH,X601699.SH,X600486.SH,X600027.SH,X000830.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0589119670794368,0,0,0,0,0.106416253371332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524868680608519,0,0.0214118760742753,0,0,0,0.0762201735524417,-0.0496653874079052,0,0,0,-0.00417525185337496,0,0,0,0,0,0,0,0,0,0.00213653814592313,0,0
X600028.SH,0,0,0,0,0,0,0.0793724010347293,0,0,0.0219975080988645,0,0,0,0,0,0,0,0.105799484082135,0,0,0,0,0,0,0,0,-0.0272604878327534,0,0,0.0488571635783063,0,0,0,0,0,0,0,0,0,0.0273136016228086,0,0.00532332405806276,0,0,-0.0650675328957514,0,0,0,0,0,0,0,0.0734308146548612,0,0,0,-0.0178272093920549,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973930444530076,0.223694608436821,0,0,0,0,0,0,0,0,0.00865899764070519,0,0,0,0,0,0,0,0,-0.0246220557732403,0,0,0,0,0,0.0241428952349977,0,0,-0.015163056500678,0.00319890890668123,0,0,0,0,0,-4.33680868994202e-19,0.033115526394078,0,0,0,-0.0125351441614948,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369740461029147,0,0,0.0478141660986858,0,0,0.199025567316811,0.0419428697163687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369403610277027,0,0.0711973115413379,0.0842011709636404,0,0.147050984129466,-0.00999709710258497,0,-0.0651762375988856,-0.0252999492930274,0,0,0,-0.0342892964815605,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252605056707017,0,0,0,0,0,0.00991173599637245,0,0,0.000608172119065205,0,0,0.0443959266803813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11101800740547,0.132878476487042,0,0,0,0.00423659941784118,0,0
X002460.SZ,0,0,0,0,0,0,0,0.182059622359254,0,0,0.0748112228135916,0.42823854563171,0,0,0,0,0,0,0,0,0,0,0.0136046761751936,0,0,0,0,0,0,0.0597493409399401,0,0,0,0,0,0,0.127148930095524,0,0,0,0,0,0,0.165114411509047,0,0,0,0,0.0853154885060782,0,0,0,0,0,0,0,-0.0178703232625923,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484063521261037,0,0,0,0,0.0171812667690271,0,0,0,0,0,0.137806656828338,0,0,0,0,0,0,0,0.128132991553101,0.240874773672007,0,0,0,0,0.13498592408267,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0590092650404039,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0601254547493777,-0.000761530820900613,0.181470443232389,-0.100353958332046,0,0,0,0,-0.0643829181545366,0,0.175311263251152,0,0,0,0,0,0,0.0485896381951532,0.0808589490959044,0,0,0,0,0,0,0.0602411895227435,0,0.20312880318367,-0.00808599559639148,0,0,0,-0.0413919038976807,0.165329033315261,0,0,0,0,0,0,0,0,-0.0387740051134809,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.128108781670749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113081328271033,0,0,-0.074677259064908,-0.0646318819894127,0.0609925930164069,0,0.0324330205187695,0,0,0,0.0199926316950354,0,0,0,0,-0.0178549735950802,0,0,0,0.117475856716044,0,0,0,0,0,-0.0349665408161633,0,0,0,0.034631314630739,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0514954644946103,0,0,0,0.0995257340749465,0,0,0,0.090921976745769,0,0,0.0769836983805609,0,0,0,-0.0473593949710566,0,0,0.136183950277937,0,0,0,0,0,0.0857984360997144,0,0,0,0,0,0,0,0,0,0.0202699743598598,0,0,0,0,0,-0.035194144936085,-0.0235216388425325,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0.0859540692264368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278051514025449,0.0878968007739544,0,0.0180226473505404,0,0,0,0,0,0,0,0,0,0,0,-0.115040379250966,0,0,0.0468185498229846,0.0903238304453934,0.0345813858674447,0,0.0542922344491973,0,0,0.0529081918314764,0,0,0,0,0,0,0,0.0579845088550338,0,0
