,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X002466.SZ,X601992.SH,X600362.SH,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600176.SH,X600027.SH,X600352.SH,X000786.SZ,X000792.SZ,X000553.SZ,X000408.SZ,X600489.SH,X600219.SH,X600808.SH,X000959.SZ,X002271.SZ,X601158.SH,X000883.SZ,X600339.SH,X002092.SZ,X000723.SZ,X601699.SH,X002470.SZ,X600299.SH,X000630.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.405653828271586,0,0.0256897476465426,0,0,0,-0.0075674917028788,0,0,0,0,0,0,0,0,0,0.0245188039003817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00725883695528002,0.0402330215703465,0,0,0,0,0,0,0,0,0,0,0,0.00732302456325628,0,0,0,0,0,0,0
X600028.SH,0.462213166094905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113166698773891,0,0,0,0,-0.0882987306088939,0,0,-0.0142117057588017,0.00550872487795965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00936646888965137,0.0207916848063992,0,0,0,0,0,0
X601088.SH,0,0,0,0.139657326221657,0.037205546542757,0,0,0,0,0,0,0,0,0.0551017407438544,0,0.120030252506624,0,-0.0820619578315398,0,0,0,0,0,0,0.0849923995347646,0,0,0,0,0,0.0389491247026876,-0.0646588687405805,0,-0.0166059928509353,0,0,0,0,0.0206615129743358,0,0,0,0,0,0,0,0,0,0,0,0.0239460102740185,0.00414533333846641,0,0,0,0,0,0
X600019.SH,0,0,0.105170071418581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0304852406717975,0,0,0.579255713292984,0.0535762089173602,0,0,0.0166453130200036,0,0,0,-0.0550118186237697,0,0,0,0,0.0166974077779586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214952189843781,-0.00818682189869012,0,0,0,0,0,0
X600585.SH,0,0,0.313230304089795,0,0,0,0,0.00546991993009025,0,0,0,0,0,0,-0.00866647848771863,0.219262213136596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0941615476876413,0,0,0,0,0.12074779622771,0,0,0,0,-0.289500149586295,0,0,0,0,0.119458789808342,0,0,0,0,0.0102198720490105,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137719284220234,0,0,0,0.126256817117766,0,0,0,0,0.0830044673971317,0,0.00538085094211272,0,0,0.051539647219029,0,0,0,0,0.0664935592279285,0,0,0,0.260314601711861,0,0.0159617326321092,0,0,0,0.0323684601966165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142678043619329,0,0,0,0,0,-0.102129839344067,0,0,0,0,0,0,0.051941788288543,0,0,0,0,-0.0802640014523504,0,0,0,0,0,0,0,0,0,0.569011035384702,0,-0.0867412029844621,0,0,0,0,0,-2.16840434497101e-19,-0.00226014582143968,0,0,0,0,0,0
X600011.SH,0,0.140480217242952,0,-0.0560190724550276,-0.0598960425158431,0,0,0,0,0,0,0,0,0.103248347996595,0,0,0.0498491067111138,0,0.044843223126701,0,0,0,-0.0239006667020857,0,0,0,0,-0.00877330009021484,0,0,0.0232904331205089,-0.0228224416217188,0,0,0,0,0,0,0,0,0,0,0,0.0949156036555635,0,-0.0300226791301608,0.0178338341969823,0,0.00680387806481674,0,-0.0156814494755976,0.0202560993067632,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299653239678354,0,0,0,0,0,0,0,0,0.0996307167216112,0,0.0232056444342407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165328808496654,0,0,0,0,0,-0.000252912813032773,0.0127353494544722,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.0762962009951184,0,0,0,0,0,0,0.205940661865504,0,0,0,0,0,-0.0504463607482295,0,0,0,0.0454121031349396,0,0,0.0699177190029532,0,0,0.0312975714031695,0.0539326872702927,0,0,0,0,0,0,0.142678195745988,0,0,0,0,0,0,0,0,0,0,0,-0.034081428597012,0.0454859639969108,0,0,0,0,0,0
X600688.SH,0,0.0417728202165534,0,0,-0.0196868959342756,0,0,0,0,0,0,0,0,0,0.0701827711388681,0.0792961412815464,0,-0.0383614303491277,0,0,0,0,0,0,0.0422006207554196,0,0,0,0,0,-0.0526205643759961,0,0.113748977581468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833063579705836,0.00477475709193888,0,0,0,0,0,0
