,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X601992.SH,X000898.SZ,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X601158.SH,X600808.SH,X600801.SH,X000786.SZ,X600219.SH,X000825.SZ,X000883.SZ,X000553.SZ,X002271.SZ,X600583.SH,X002110.SZ,X002470.SZ,X600021.SH,X600612.SH,X000408.SZ,X000539.SZ,X000630.SZ,X600339.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.143212412794592,0,0,0,0,0,0,0,0,0,0,0,0.0051639663350878,0,0,0,0,0,0,0,0,0,0,0,0.0834378433323562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499268331077625,0,0,0,0.00514523356991363,0,0,0,0.198749892929786,0.0569491739427374,0,-0.013871727284593,0.0164100713831232,0,0,0,-0.0185969970473622,0,0
X600028.SH,0,0,0,0,0,0,0.0242671567496463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462940679513827,0,0,0,0,0,0,0,0,0,0,0.226552799097502,0,0,0.13475729715662,0,0,-0.159294268617951,0,0,0.230275794546617,0,0,0.00656553007415784,0.0721281002100758,0,0,0,0,-0.0753474825510674,0
X601088.SH,0,0,0,0,0,0,0.0787547595882284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18204234653371,0,0,0,0,0,0,0,0,0,0,0,0,0.170084510221209,0,0,0,0,0,0,0,0,0,-0.0253198627888389,0,0,0,0.0155181058656707,0,0,0.00823397146470826,0.00938378407909791,0,0,0,0.077700949731094,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020204886424854,0,0,0,0.0383275823577796,0,0,0,0,0,0.592215608063095,0,0,0,0,0,0.0105860057427931,0,0.000551309968009358,0,0,0,0,-0.209567544603758,0,0,0,0,-0.0121347868414053,0.00942418688131277,0,0,0,0.0145715581414,0,0
X600019.SH,0,0,0,0,0,0,0,0,-0.020178299247544,0,0,0,0,0,0,0,0,0,0,0.0511659470012483,0.17935152240627,0.0120315569321151,0.0498503870136326,0,0,0,0,0,0,0,0.0249915448215001,0,0,0,0,0,0,0,0,0,0,0.230417251756171,0,0,0,0,0,0,0,0,0,0.00783938768266678,0.0130626571146921,0,0,0,0.022538958613193,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571374143765101,0,0,0,-0.122149510923605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120061073921759,0,0,0.109203110664817,0,0.0875349566817458,0,0,0,-0.0760982129974311,0,0,0.00772705896005605,0,0,0,0,-0.0018743707651035,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104197117693906,0,0,0,0.0533311389063995,0,0,0,0,0.496247191219177,0.132249491937291,0,0,0,0,0.19658603486763,0.141771412398511,0,0,0,0,0,0,0,0,0,0,0,0.0020259408939618,0.0188913188508075,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00700422424027792,0,0,0,0.0858350299044511,-0.178319726215392,0,0.173873567611046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242570347593557,0,0.0693825550666871,0,0,0,0,0,0,0,0,0,-0.00971166282197858,0.0219213169808313,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0178861322789695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821867015303276,0,0.0104624784347708,0,0,0,0.642341320093651,0.0268794521739936,0,0,0,0,0,0,0,0,0,0,0,0,0.0282401095140751,0.0968137770702858,0,0,0,0,0,0,0,0,0,0,0,0.0103972749823416,0,0
X601898.SH,0,0,0,0,0,0,0.123786549553919,0,0,0,0,0,0,0,0,0,0,0,8.61599470295743e-05,0,0,0.0490614193564715,0.0808271646792111,0.00947591505388037,0,0,0,0,0,0,0.0404961800139767,0,0,0,0,0,0,0,0,0.0315610727325865,0,0,0,0,0,0,0,0,0.0336731246327185,0,0,-0.00424955170899859,0.0186091703114223,0,0,0,0.00767257880131829,0,0
