,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X600188.SH,X002466.SZ,X600011.SH,X000877.SZ,X600010.SH,X002271.SZ,X600660.SH,X000708.SZ,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X600219.SH,X000408.SZ,X601991.SH,X600803.SH,X000786.SZ,X600795.SH,X002080.SZ,X000807.SZ,X600096.SH,X600141.SH,X000983.SZ,X600688.SH,X601699.SH,X600801.SH,X300073.SZ,X000959.SZ,X000825.SZ,X600489.SH,X600027.SH,X000960.SZ,X601168.SH,X002353.SZ,X000630.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0242904393685713,0.00517106685284138,0,0,0,0,0,0,0,0.158249086877585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135884376530444,0,0,0,0,0,0.127880448974294,0,0,0,0,0,0,0,0,0,0,0,-0.0045308279306209,-0.0107154875370659,0,0,0,0.0251659574758357,0,0
X600028.SH,0.205868079802722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235797053088415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151323271469038,0,0,0.0840283160922769,0,0,0.0284859561117265,0,0,0,0,0,0,0,0,0.0177825251912123,0,0,-0.00937779645740799,2.16840434497101e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.074150483101631,0,0,0,0,0,0,0,-0.0855910621165948,0,0,0,0,0,0,0,0,0,0,-0.0116308925892854,0,0,0,0,0,0,0,0.260318322311793,0,0.151494597783239,0,0,0,0,0,-0.0215213745295763,0,0,0,0,0,0,-0.0065520847069006,0,0,0,0,-8.67361737988404e-19,0,0
X600309.SH,0.00707055184177441,0,0,0,0,0,0,0,0,0,0,0.00648877687865172,0,0,0.0726183784439076,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0164335752857683,0,0.0530670024695501,0,0.15948853865375,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0166096655444703,0,0,0,0,0,0,0,0.0864378073010357,0,0,0,0,0,-0.00839144691022899,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0998843181987055,0,0,0,0,0,0,0,0,0,0,0,0.0186351699048944,0,0,0,0,0,0.10945456626655,0,0,0,0,0,0,0,-0.011045230472194,0.381430644837755,0,0,0.0659711906209778,0,0,0,0,0,0,0,0,-0.00884848424282415,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.342251439406654,0,0,0,0.0320158790471027,0,0,0,0,0,0,0,0,0,0,-0.112616869909376,0.0437734757876122,0.139060030264565,0,0,0,0,0.00482622466009932,0,0,0.0958707189799692,0,0,0,0,0.0946206072645115,0,0,0,0,0,0.12017061691727,0,0,0,0,0,0,0,0,0,-0.0108150549675442,0,0
X000792.SZ,0,0,0,0,0,0,0,0.252928445926173,0,0,0.392924888539062,0,0,0,0,0,0,0,0,-0.097911391418354,0,0,0.0296237071667682,0,0,0.078292622465852,0,-4.33680868994202e-19,0,0,-0.053585998160423,0,0,0,0.0863485885503961,0,0,0,-0.0804544446720332,0,0,0,-0.233199483617402,0,0.00756934248487921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0224164466374683,0.0785486245058482,0,0,0,0.147159409454546,0,0,0.201486379808308,0,0,0.107908191907514,0,0,0,0,0,0,0,0,0,0,0.00131589823773808,0,0,0,0,0,0.120987606596858,0,0.164833658144133,0.0338706633901287,0,0,0,0,0,0,0,0,0,0.0639750082026016,0,0,0,0,0.0142235197503293,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212309007802229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189241418609748,0,0,0,0,0,0,0,0,0.0446708489274348,0,0.115248406946071,0.191679099092066,0,0.0546415401352062,0.0216504184252487,0.0535144477616249,0,0,0.235596516323437,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0.0954195900300805,0,0,0,0,0,0,0,0,0.0718789801936936,0,-0.0478339477554289,0,0,0,0,0,0.155911563594521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175749194485393,0,0.231074918300441,0,0,0,0,0,0,0,0.16737464673847,0,0,0,0,0,0.054288020764494,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.323432863808503,0.0776110780586925,0,0,0,0,-0.121577571807324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318294558983343,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.0384573694000818,0.311814214279091,0,0,0,-0.0122670297722398,0.115108293126055,0,0,0,0,0,0,0,0,0,0,-0.00495229502452198,0,0
