,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X601991.SH,X600795.SH,X600352.SH,X600801.SH,X600688.SH,X000786.SZ,X600111.SH,X002271.SZ,X600027.SH,X601992.SH,X000723.SZ,X600176.SH,X002466.SZ,X002460.SZ,X002353.SZ,X600299.SH,X000898.SZ,X600516.SH,X600489.SH,X600583.SH,X600426.SH,X601158.SH,X000883.SZ,X000709.SZ,X600612.SH,X600219.SH,X000792.SZ,X000027.SZ,X000553.SZ,X000629.SZ,X000630.SZ,X000825.SZ,X000539.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.024366031478823,0.116432779808047,0,0,0,0,0,0,0,0,0.0907593595553546,0,0,0,0,0,0.0932224880385561,0,0,0,0,0,0.0558914602348978,0,0,0.00466927998661082,0,0.0657659377626066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161413311634196,0,0,0,0,0.0135227950069655,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0388553039443365,0.000830339426934045,0,0,0,0,0,0.0732370976256139,0,0,0.0574010728445604,0,0,0,0,0,0,0,0.106109245247988,0,0,0,0.0193810553560682,0,0,0,0,0,0,0,0,0,0,0,-0.0115765015722642,0,0,0,0,0,0,-0.0450679591177298,0,0,0.00167031619371764,0,0,0,0,0,0
X601088.SH,0,0,0,0.0980724765714256,0,0.18406540154736,0,0,0.0218743645617743,0.10519899788562,0,0,0,0,0,0,0,0,0,0.0332479493467249,0,0,-0.0451109516785338,0.146356837548298,0,0,0,0,0.00260547356619436,0,0,0,0,0,0,0,0,0,0,0,-0.129619176747248,0,0,0,0,0,0,0,0,0,0,-0.0197791065888118,-0.0164196938058675,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0515152036291857,0,0,0,0,0,0,0,0,0,0,0.293423241529759,0,0.0277649769205163,0,0,0,0,0,0.0311767057362257,0.0101725039643676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005335425015405,0,0,0,0,-0.00743122956100373,0,0
X600309.SH,0,0,0,0,0,0,0,0.0426172876864178,-0.0531805404671338,0,-0.0959998516013368,0,0,0,0,0,0,0,0.032251043299857,0.108159960471304,0,0,0,0,0,0,0,0.0960430184273383,0.0291388308209618,0.116624143367192,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399081141382226,0,0,0,0,0,0,0,0,-0.0346926241900238,0,0,0,0,0,0,0
X600019.SH,0,0,0.248553575045716,0,0,0,0,0.011391922276817,0.0226366936853097,0,0,0,0,0,0,0,0,0,0.0277593189346778,0.060705353902591,0,0.00328844832531846,0,0,0,0,0.00829001414533708,0,0,0,0,0,0,0,0,0.0537648653144535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651843711183939,0,0,0,0,0.0174172401387136,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748761434657655,0,0,0,0,0,1.06677136734183,0,0,0,0,0,0.190520704910704,0,0.0408928632768616,0,0,0,0,0,0,0,0,-0.0449080059523212,0.0221676249475132,0,0,0,-4.33680868994202e-19,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498533815385806,0,0.0868232794624949,0.257822583242922,0,0,0.0496153169320084,0,0.059164580047467,0.0264223228837387,0,0,0,0,0,0,0,0,0,-0.045981370565535,0,0.0684184877254594,0,0,0,0,0,0,0.0471557373280206,0,0,0,0,0,0,-0.0111288580711799,0,0
X000708.SZ,0,0,0.273145715339701,0,0,0,0.10587861381807,0,0,0.121526876769416,0,0.0854640742440705,0,0,0,0.232211886038803,0,0,0.0340116070335797,0.0446122878399505,0,0,0,0.128854545865165,0,0.410740192513346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716585774659992,0.0436603616477954,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.00706701176144409,0,0.0344328634870658,0,0.126692532779833,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0271622722963433,0,0,0.143053099762887,0,-0.00681822944305866,0,0,-0.0279690592197769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222594005955476,0,-0.0961084899482769,0,0,0.0638343732508372,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.145176463490766,0.0347735216890671,0,0,0,0,0,0,0,0,0,0.0109466683645506,0,0,0,0,0,0,0.114257601878874,0.0773003712954241,0.0501200631286585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347062923087998,0,0,0,0,0.0747875765821622,0,0
X600886.SH,0,0,0,0,0,0,-0.148405179581679,0,0.087082516592849,0.0712040405981062,0,0,0,0.153019867506196,0,0,0,0.0874455207683802,0,0.269182381782356,0,0.0479908343169633,0,0,0,0,0.0926452862773151,8.67361737988404e-19,0.0292074311600295,0,0,0,0,-0.32067932151154,0,0.0025999342823675,-0.0231002438022008,0,0,0,0,0,0,0,0,0,0,0,0,0.242502818578838,0,-0.0154841318168785,-0.0224386756251974,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606875917298824,0,0.111966240961219,0.133894203412881,0,0,0.0546606800534604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248196009073799,0,0,0,0,0.00979622568794583,0,0,0.0104536648906815,0.00382175222038628,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224059940187851,0.0137467525099853,0,0,0,0,0,8.67361737988404e-19,0.0778115898940996,0,0,0,0,0.00265316661427195,0,0.0370825712001545,0,-0.0544659096023276,0,0,0,0,-0.00477168947946513,0,0,0,0,0,0,0,0,0,0,0.0101426241968718,0,0,0,0,0.0208968431037508,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0509052459364109,0,0,0,0,0,0,0,0,0,0,0,0,0.00875387990306892,0.0942062311833704,0.00578416826076437,0,0.0956048192056791,0.0603335644593653,0.0581648473878366,0.00257403310698037,0,0.00621277421092341,0,0,0.126077701780681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000969278379752375,0,0,0,0.00396591930591821,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0.193080192728337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633552457769882,0.00593193563878457,0,0,0.00797492599018431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147037306546781,0,0,0,0.146994508847131,0,0.0580389425941579,0.0507870694753812,-0.0159827363620131,0,0,0,0,0.0171620108978949,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0515627114295388,0,0.155173884838364,0,0,0,0,0,0,0,0,0,0,0,0,0.0178198364508416,0,0,0.00511467350927045,0.0451148579857514,0.0616643700348752,0,0.110496438052432,0.0837467318333779,0,0.064109278501161,0,0,0.0126881421120822,0,0,0,0,0,0.0317118089530171,0,0,0,0,0,0,0,0,-0.00389464404675366,0,0,0,0,0.00417623452035699,0,0
