,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600426.SH,X600362.SH,X002271.SZ,X600795.SH,X600027.SH,X600803.SH,X601991.SH,X600176.SH,X600489.SH,X601699.SH,X000983.SZ,X000807.SZ,X000786.SZ,X600160.SH,X002409.SZ,X000539.SZ,X300037.SZ,X000629.SZ,X000408.SZ,X600995.SH,X000932.SZ,X600219.SH,X002080.SZ,X600612.SH,X600688.SH,X600378.SH,X000723.SZ,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.563388651286042,0,0,0,0.0634820451246102,0,0,0,0.00303801999396351,0,0,0,0,0,0,0,0,0,0,0,-0.0237454514157102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217083945759887,0,0,0,0,0,0,0,0.029003724696486,0,0,0.131759921394718,0,0,0,0.0287459027868532,0,-0.0264790004899697,0,0,0,0,0
X600028.SH,0.697153996526396,0,0,0,0.013456835181005,0,0.0489077574556427,0.280577674897187,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0635677810546306,0,0,0,0,0,0,0,0,0,0,0,-0.0344792322418989,0,-0.060326828372287,0,0,-0.0722531791921894,0,0,-0.0522382704111891,0,0,0,-0.0582109238144176,-0.0844232280513673,0,0,0.0340322381155805,0,0,0,0,0,0,0
X601088.SH,0.10311252355115,0,0,0,0,0.234662790836552,0,0,0,0.0394833296941419,0,0,0,0.0346184391040659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915934860898541,0,0,0,0,0.0481299378997905,0,0.00122345026329355,-0.0393656281415469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.179140137926747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166713589302385,0,0,-0.0300675431237284,0,0,0,0,0,0,0,0.036478786825802,0,0.0742376762559553,0,0,0,0,0,0,0.0201496465158495,0,0.0525912913164815,0,0,0,0,0,0,0,-0.00610907873177665,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0257403983835554,0,0,0,-0.0392553449814459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209056731945567,0.286350439515869,0,0.367139079715056,0,0,0,-0.0567393677420809,0,0,0,0,0,0,0,0,0,0,0,0.0633577973609417,0,0,0,0,0.0511364920321376,0,0,0.0429002541001544,0,0,0,0,0,0,0
X600188.SH,0,0,0.465626693263102,0,-0.0147296593090468,0,0,0,0,0.207510565130589,0,0,0,0.291914737748433,-0.196361500547342,0,0,0,0,0,0,0.0489519645502556,0,0,0,-0.0694875681604791,0,0,0,0,0.0883710515566987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0668633541008419,-0.0206442866891961,0,0,0,0,0,0
X600019.SH,0,0.0507565387035851,0,0,0,0.0378446093332679,0,0,0,0,0,0,0,0.159709793416761,0,0,0,0,0,0,0,0.101016894490584,0,0,0,0,0,0,0,0,0.0465948696733134,0,0,0,0,0,0,-0.0963062218300242,0,0,0,0,0,0,-0.0431666893238445,0,0,0,0,0.0540728572794473,0,0.0417902204465089,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0622710037984237,0,0,0,0.0673532001596228,0,0,0,0,0,0,0,0,0,0,0,0.0807179747286439,0,0,0,-0.0363031981255286,0,0,0,0,0,0.0337574088301158,0,0.133088429617346,0,0,0,0,0.0828009148266194,0,0,0,0.0109526802694553,0,0,0,0,0,0,0,0,-0.0141376441699397,-0.0258278087419435,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.360502737983606,0.106897832885627,0,0,0,0,0,0,0,0.0399703275886048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145371830885975,0,0,0,0,0,0,0,0,0,0,0,0,0.0228467415943806,0,0,0,0,0,0,0
X601898.SH,0.0183990935906928,0,0.0368643866983534,0,0,0.118797613108698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0817476939903891,0,0,0,-0.0112350594474039,0,0,0,0,0.445089468830836,0,0,0,0,0,-0.0123675138518221,-0.140044939608132,0,0,0,0,0,0,0,0,0,0.0224086235448517,0,0,0,-0.00108346243802594,0,0,0,0,0,0,0
