,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X600886.SH,X601991.SH,X600688.SH,X600362.SH,X600188.SH,X600352.SH,X600795.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X000786.SZ,X000709.SZ,X002466.SZ,X002460.SZ,X000629.SZ,X600299.SH,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X000553.SZ,X600985.SH,X000630.SZ,X000401.SZ,X000027.SZ,X601699.SH,X600583.SH,X600426.SH,X600808.SH,X000825.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535538376042823,0,0,0.0129122342898438,0,0,0,0,0,0,0,0,0.00844411471815422,0,0,0,0,0,0.0266966424478727,0.0372190235635126,0.0345116053661632,0,0,0,0,0,0.0750223928872558,0,0,0,0,0.0574796029078194,0,0,0,0,0,-0.00481137732811902,0,0,0,0,-0.000868510099048446,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109254173605805,0.00663493030992439,0,0,0.0124637980058741,0.000931094437397353,0,0,0,0,0,0,0.019144673057612,0,0,0,0,0,0,0,0,0,0.0575395201458598,0.0453151260499363,0,0,0,0,0.0206219311762851,0,0.0824139262790199,0,0,0,0,-0.013691733815683,0,0,0,0,-0.00210973642799299,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115852782613974,0,0.029748669785134,0,0,0,0,0,0,0.158705022476301,0,0,0,0.0153274495124386,0,0,0,0,0,0,0,0,0,0,0,0.0282123491354805,0,0,0,0,0,0,-0.00672563367398919,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0681081927456423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351605357444335,0,0.073100626177802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121869646713071,0,0,0,0,0,0,0,0,0,0,-0.0144707417415788,0,0,0,0,0.0232358191770647,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19791005583311,0,0.0513040686669597,0,0,0,0,0,0,0,0,0,0,0,0,0.00811933618290811,0,0,0,0,0.00660208145071082,0,0,0,0,0,0,0,0,0,0,0,-0.0195346875616359,0,0,0,0,0.000504680486927096,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0110171229733092,0,0,0,0,0,0.257977770795558,0,0,0.0676594242756481,0,0,0,0,0,0.0436959396421103,0.0870825220799735,0,0,0,0,0,0,0,0,0,0,0,0.128579808739249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540183010508319,0,0
X600011.SH,0,0,0,0,0,0.0861149865821644,0,0,0,0,0,0,0,0,0,0,0,0.0570836102047167,0,0,0,0.0447374059901009,0,0,0,-0.106751220281817,0,0,0,0,0,0,0,0.0822207032238279,0,0,0,0,0.0178690367614388,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0149250752801836,-0.0964370044068314,0,-0.0600455302811553,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85375955058407,0,0,0,0,0,0,0,0,0,0,0,0,0.0533834280188253,0,0,-0.0910591605884961,0,0,0,0,0,0,0,0,-0.05009441359148,0.01029838216988,0,0,0,-0.0595312986998881,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.146773096536967,0,0,0,0,0,0.10215614343882,0,0.0379904203910667,0,0.129601740577241,0.154947481685611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135383861116903,0,0,0.0795207247478202,0,0,0.039504310149765,0,0,0,0,0,0,0,0,0,0,-0.00244001479348783,-0.00167463137702155,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15243769581393,0,0,0,0,0,0.0382266324566816,0,0,0,0,0,0,0.0630601142913709,0,0,0,0,0,0.106930513462897,0,0,0,0,0,0,0,0.0256969705243372,0,0,0,0.188142201024584,0,0,0,0,0,0,0,0,0,0.0116656671141416,0,0
