,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600309.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X600489.SH,X600299.SH,X000898.SZ,X601158.SH,X000792.SZ,X000959.SZ,X000709.SZ,X000723.SZ,X600583.SH,X002466.SZ,X000408.SZ,X000883.SZ,X600352.SH,X000630.SZ,X600098.SH,X600219.SH,X600623.SH,X000539.SZ,X000027.SZ,X600021.SH,X000983.SZ,X002470.SZ,X002092.SZ,X000060.SZ,X000935.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.390533143146757,0,0,0.0652426824093467,0,0,0,0,0,0.00342083060689443,0,0,-0.00376070820596988,0,0,0,0,0,0.0360014601463882,0,0,0,0,0,0.0669072279055984,0,0,0,0,0,0.0260694036818108,0,0,0,0,0,0,0,0.0906649557023091,0,0,0,0,0,0,0,-0.00182829536989419,0,0,0,-0.00353125571352831,0,0,0,0,0,0
X600028.SH,0.695626860110343,0,0,0,0,0,0.251550906081755,-0.02199211790616,0,0,0,0,0,0,-0.0308647374198834,0,0,0,0,0,0,0,0,0,0,0,-0.0220686635431627,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648480328454857,0,0,0,0,0,0.00223788359246207,0,-0.0104346235393716,0,0,0.0080319603320743,0,0.0226141041266218,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0577529506378698,0.145140674777826,0,0.0205023623466787,0,0,0.039295844947081,0,0.121580825697297,0,0,0,0,0,0.0488807152176211,0,0,0,0,0.113191762863434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251814446264749,0,0,0,0,0,0,0.00437954952168336,0.00136879749076219,0,0,-0.00834779303167562,0.000203467294229108,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.0330018268309943,0,0.389713129332301,0,0.00605095706752511,0,0,0,0,0,0,0,0,0,0,0,-0.0310347061051476,0.0325500188950789,0,0,0,0,0,0,0,0,0,-0.0518179389597197,-0.0306512155261132,0,0,0,0,0,0,0,0.049379402793001,0,-0.00692200638478326,0,0.0373667077296052,-0.0194070370675304,0.0295865551813098,0.00794340145192411,0,0,0,0,0
X600019.SH,0,0,0.175617825566727,0,0,0,0.00262206670546482,0,0,-0.0663755810689614,0,0,0.0246957351627729,0,0,0,0,0,0,0,0,0,0,0,0,0.121484122981303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166737264341706,0,0,0,0,0,0,0,-0.0463626361763136,0.0569496815263467,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.109345456600064,0,0.0745291490677798,0,0,0,0,0,0.101307601958985,0,0,0,0,0,0,0.206542982631944,0,0,0.0489511286732416,0,0,0,0,0,0,0,0,0.0121412295189879,0,0.0634238314903526,0,0,0,0.0203316603162306,0,0,0,0,0,0,-0.0170438787626205,2.70609108980316e-05,0,0,0,0,0,0
X600585.SH,0,0.0672780418105331,0,0,0.050879836368302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132894353398476,0,0.0222821580112287,0,0,-0.0439741706563725,0,0.116300645295925,0,0,0,0,0.037491059380065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00115633343697332,0,-0.109671612189837,0,0.00109824842895743,0,0,0,0,0,0
X601898.SH,0,0,0.204195364223519,0,0,0,0,0,0,0,0,0,0,-0.0565140504554544,0.225184527763541,0,0,0,0,0,0,0,0,0,0,0.0255268701359742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25162880179014,0,0,0.0476675676767558,0,0,-0.0170456523052679,-0.0160414417601152,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.00747419787205216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010361115376736,0,0,0,0,0,0,0.0119390655909705,0.151026905475857,0,0,0,0.274871085743448,0,0,0,0,0,0,0,0,0,0,0,0,0.121820769775595,0.0698371246785077,0.0207640143720146,0,0,0,0,0.00443894998247721,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136323120287181,0,0,0,0,0,0,0,0,0,0,0.888119360826463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475503136270626,0,0.0529694094757338,0,0.0715210344441947,0,0,-0.0435720667383871,0.0276178805819114,0,0,0,0,0,0
