,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600795.SH,X600019.SH,X601600.SH,X600585.SH,X601991.SH,X600688.SH,X600886.SH,X600157.SH,X600027.SH,X600362.SH,X600188.SH,X600111.SH,X600583.SH,X000709.SZ,X000027.SZ,X000539.SZ,X601158.SH,X601992.SH,X600309.SH,X000883.SZ,X000898.SZ,X000629.SZ,X600021.SH,X600352.SH,X600863.SH,X002075.SZ,X000060.SZ,X000792.SZ,X600307.SH,X600808.SH,X600022.SH,X600489.SH,X600098.SH,X000825.SZ,X601918.SH,X600547.SH,X600008.SH,X002353.SZ,X600578.SH,X600660.SH,X002470.SZ,X000878.SZ,X600623.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.303898660238534,0,0,0.133047276201426,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0339107447028252,0,0,0,0.0647023523617216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818723701909894,0,0,0,0,0,0.00359160933774837,0,0,0,0,-4.33680868994202e-19,-0.00683234346114091,0,0,0,0,0,0
X600028.SH,0.262530366940781,0,0,0,0.0261926986424224,0.0292931656549943,0,0,0,0,0.076966696199524,0,0,0,0,0,0,0,0,0,0.00518858710186351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948680425327623,0,0,0,0,0,0,0,0,0,0,-0.00723186488928335,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.211362018848979,0,0,0,0,0,0,0,0,0,0,0.0909539753834572,0,0,0,0,0,0,0,0,0,0.0203622971212017,0,0,0.0325332389630259,0,0,0.129075424515458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195159942346491,0.00200445361041713,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0173797393912464,0,0,0,0,0,0.260171891123558,0,0,0,0,0.0681475163119343,0.110270174043734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175874394757059,0,0,0,0,0,0,0,0,0,0,0,0,0.0149486697041553,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.027330837775838,0,0,0.220725453604182,0,0,0,0.0814044735831485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407448677638773,0,0,0,0,0,0,0,0,0,0,0.0307790952919991,0,0,0,0,0.352684583989671,0,0,0,0,0,0,-0.00287042758358919,0,0,0,0,0,0,0
X601898.SH,0,0,0.0919869684661049,0,0,0,0,0.0728778402645129,0.0761431691264165,0,0.208357211110042,0,0,0,0,0,0.0143839445899941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129104898290896,0,0,0,0,0,0,0,0,0,0,-0.00707481480425771,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0979055541114097,0,0,0,0.0991402465678495,0,0.0424095468425012,0,0,0.0820792391342041,0.0689622309067754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122758454289181,0,0.292079844230656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373351042062919,0,0,0,0,0,0,0,0.0145107183442845,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0609969719142947,0,0,0.034181016082382,0,0,0,0.0421564367321177,0,0,0,0,0,0,0.217158520143293,0,0,0,0,0,0,0.165161333460711,0,0.05265135041759,0,0.0113697972422081,0,0.101453933082738,0,0,0.0516403383787133,0,0,0,0,0.0582284164386581,0,0,0,0,0,0,0,0,0,0,-0.000773867506389849,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.013828372499264,0,0.198021257928161,0,0,0.0304310936563418,0.0472173188030276,0,0.0966163818059119,0,0,0,0,0,0,0,0,0,0.0709733983980306,0,0,0,0,0,0,0,0,0.0754491989842585,0,0,0.224751249488527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.00856363384731928,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0452253954954888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815293728861325,0,0,0.0784437363232211,0,0.00759850714388287,0,0,0,0.020876674977002,0,0,0,0,0,0,0,0,0,0,0,0.208936308878915,0,0,0,0,0,0,-0.0235145729554205,-0.0182920481334879,0,0,0,0,0,0
