,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600362.SH,X600688.SH,X300072.SZ,X600660.SH,X600795.SH,X002466.SZ,X601992.SH,X600547.SH,X601991.SH,X600516.SH,X000898.SZ,X600111.SH,X600886.SH,X600176.SH,X000786.SZ,X002460.SZ,X000709.SZ,X600157.SH,X600352.SH,X601699.SH,X000553.SZ,X600027.SH,X000792.SZ,X000825.SZ,X002271.SZ,X600489.SH,X600808.SH,X000983.SZ,X600299.SH,X000830.SZ,X000408.SZ,X600219.SH,X000959.SZ,X002092.SZ,X002110.SZ,X601158.SH,X600583.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.358145671666443,0.0261834085462577,0,0.0288632140140145,0,0,0,0,0,0,0,0.0960950057798075,0,0,0,0,-0.059419619715731,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253688640707495,0,0,0,0,0,0,0,0,-0.0295481953613598,0.0229595470102438,0,0.000103633348793978,0,0,0,0,0,0,-0.000509629157537454,0,0,0,0,0,0,0
X600028.SH,0.205502824069049,0,0,0,0,0,0,0,-0.00808147188328563,0,0,0.367033010392162,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253552764174477,0,0,0,0,0,0,0,0,0,0,0,0,0.0417346076599241,-0.0940731625979935,0,0,0,0,-0.00351640033049115,0,0.184678594566122,0,0,-0.00493904522446724,0.00670444959317248,0,0,0,0,0,0
X601088.SH,0,0,0,0.107202537978021,0.161485037968532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584105054258615,0,0,0,0,0.00636493733857108,0,0,0,0,0.0855954698311244,0,0,-0.0146259874317146,0,0,0,0,0,0,0.152029072128183,0,0,0,0,0,0,0,0,0,-0.00141442952229612,0,0,0,0,0,0,0
X600019.SH,0,0,0.232859550565784,0,0.0778549012169869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291018174861654,0,0,0,0,-0.0927352450116898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756786800780247,0,0,0,0,0.00683170471324511,0.00452690238002309,0,0,0,0,0,0
X600585.SH,0,0,0,0.0983822953628282,0,0,0,0,0.297743105562255,0,0,0,0,0,0,0.0821542441705916,0,0,0,0,0,0,0,0,0.128995768701962,0,0,0,0,0,0,0,-0.236734549767572,0,0,0,0,0,0.0017126248160709,-0.0125307354747557,0,0,0,0,0,0,0,0,0,-0.00669965287167488,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.115487069750757,0,0,0,0,0,0,0,0,0,0,0,0,0.172813647796743,0,0,0,0,0,0,0,0,0.0523832596602167,0,0.0318579735213786,0,0,0,0,0,0,0.0375869118354001,0,0,0,0,0,0,0,0,0,0,0.000913087020458216,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029698074059639,0,0,0,0,0.107455838638701,0,0,0,0,-0.0950106094402762,0,0,0,0.11680362811357,0,0,0,0,0,0.00730057310664007,0,0,0,0,-0.0302568680159487,0,0,0,0,-0.0284638727936316,0.04479648560674,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0326405895912186,0,0,0,0,0,0,0,0.11591983849018,0.0482836580474585,0,0,0,-0.0984567430572194,0,0,0,0,0,0,0.0915623970074409,0,0,0,0,0,0,0,0,0.0431659261416278,-0.0272621656518157,0,0,0,0,0,0,0,0,-0.00708189659032984,0.0115575368934288,0,0,0,0,0,0
X600188.SH,0,-0.078458499821928,0,0,0.145735779906738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.107195740397692,0.213632059689307,0,0,0,0.399708473828109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466356545693939,0,0,0,0,0.0251993113814952,-0.0208191778357077,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.178531297149614,0,0,0,0,0,0,0,0,0,0,0,0,0.0363473334297072,0,0,0,0,0,0,0,0.0273621648433337,0.0202037881369099,0,0.0587447583019005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678083987862824,0,0,0,0,0,0
X600362.SH,0,0,0,0.322504978673157,0,0,0,0,0.031336132963793,0,0,0,0,0,0,0,0,0,0,0.0505612429367624,0,0.214631789606939,0,0,0,0.0247014992531424,0,0,0,0,0.00538008778992837,0,0,0.178502190117423,0,0,0,0,0.0407606075102959,0,0,0,0,0,0,0,0,0.120689465726547,0,0,-0.0483535070725765,0,0,0,0,0,0
X600688.SH,0,0.345279430325811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768450795508592,0,0,0,0,0,0,0,0.0773092036743758,0,0,0,0,0.0616284623647554,0,0,0,0,0,0,0,0,0,0.00719241023361681,0,0,0,0,0,0,0.138460016568173,0,0,-0.00759683980544293,-0.0155981860020828,0,0,0,0,0,0
