,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X600188.SH,X601600.SH,X600547.SH,X300072.SZ,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600489.SH,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X002075.SZ,X000792.SZ,X601158.SH,X000898.SZ,X000709.SZ,X000723.SZ,X600352.SH,X600583.SH,X000959.SZ,X000883.SZ,X000408.SZ,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600021.SH,X000630.SZ,X002470.SZ,X600758.SH,X600160.SH,X000012.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0243245726510309,0,0.0418331117709461,0,0,0,0,0.00223265248152636,0,0,0,0.0569663329548705,0,0,0,0.00453318986476572,0.000535139821239737,0,0,0,0,0,0,0,0,0.0618819589256567,0,0,0,0,0,0,0,0.0330689201474318,0,0,0,0,0,0,0.00788852341811392,0.0272295600273573,0,0.00705847058194423,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0210689369803303,0.0371267536389553,0,0,0.0420923023723715,0,0.00620405618596849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180198123330685,0,0.0197056566169436,0,0,0,0,-0.000719562373654763,0,0,0,0.0400474796104988,0,0.0153902370144545,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.155978340290586,0,0.00755257061377855,0,0,0.0191507331253151,0,0,0,0,0,0.0386347918332529,0.079773745006157,0.0209627335011331,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.0350304623963218,0,0,0,0,0,0,0.0290444357257666,0,0,0,0,0,0,0,0.0788123194528957,0,0,0,0,0.0221403637094851,0.0365351107475618,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0925004319243612,0,-0.00760976136051229,0.0971046771640617,0,0,3.46944695195361e-18,0,0,0,0.197670472631084,0,0,0,-0.0107152490911661,0,-0.200456371185732,-0.0166493339102251,0,0,0,0,0,0.244598802298083,0,-0.0474677070828337,0,0,0,0.037843756717875,0,0,-0.15241756935894,0,0,0,0,0,0,0,0,0.0282215740078528,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0173563474842835,0,0,0,0,0,0.0431384474571549,0,0,0,0,0,0,0,0,0.232551955592882,0,0,0,0,0,0,0,0,0,0.10225668649768,0.0471798909795937,0,0,0,0,0,0,0,0,0,0,0,-0.00381194823374416,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.1519015276627,0,0,0.0685386130805813,0,0,0,0,0,0,0,0,0,0.24195936324356,0,0,0,-0.113408371555152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170334181807354,0.105023712187767,-0.0237567895069121,0,0,0.0211482775741616,1.0842021724855e-19,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0521951023723925,0,0.0317172208094682,0.0450513615236689,0,0,0,0,0,0,0,0,0,0,0.0401406900116884,0,0,0.0240367207924487,0,0,0,0,0,0,0,0,0,0,0.0136276972517709,0,0,0,0,0,0,0,0,0,0.0685785777231316,0.343181490950589,0,0.00838537942855943,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0.0628266617100341,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0748164622877183,0,0.234938227980725,0,0,0.0802673694203078,0,0,0,0,0.0494981503602583,0,0,0,0.0554996174707677,0,0.130637966816187,0,0,0,0.0682423423161028,0,0.00227617427033867,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0013283613838546,0,0,0,0.0302153178277912,0,0,0.10165533874236,0,0,0,0,0,0,0,0.0616098478742575,0.0187533039223139,0,0,0,0.0101638435318046,0,0.0244510261082951,0,0,0,-8.67361737988404e-19,0,0,0.0421110979980137,0,0,0,-0.0103756055609854,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603354376335652,0,0,0,0,0,0.132939584362489,0,0,0,0,0,0,0,0.0642945748599989,0,0,0,0,0,0,0,0,0,0,0.656635816405404,0.0123829694347793,0,0,0,0,0,0,0,0,0.105987718217702,0,0,0.0168701299274402,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0193264021638323,0,0,0,0.193828273956679,0,0,0,0.0438913718931649,0,0,0,0,0,0,0.00643889955712194,0,0,0.021804479324812,0,0,0,0,0,0,0,0.0402352357464719,0,0,0,0,0,0.102736987990475,0,0,0.151695736298505,0.0326189495260058,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193559048944121,0,0,0,0,0.192432366032867,0,0,0.0563496391951718,0.576698892111537,0,0,0,0,0,0,0,0,0,0,-0.175822089324363,0,0,0,0,0,0.0858455799913254,0,0,-0.0474594663384749,0,0,0.0893160765043687,0,0,0,0,0,0.0730322193436518,0.0588188490963292,0,0,0,0.176182616155226,0,0
