,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X600111.SH,X601600.SH,X600660.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600010.SH,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X601699.SH,X600795.SH,X600803.SH,X600176.SH,X000983.SZ,X601991.SH,X600027.SH,X600489.SH,X600160.SH,X000786.SZ,X000807.SZ,X600995.SH,X000629.SZ,X002080.SZ,X600378.SH,X000933.SZ,X000723.SZ,X600219.SH,X600096.SH,X000408.SZ,X000932.SZ,X300037.SZ,X600688.SH,X000831.SZ,X600157.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.241556272610921,0,0,0,0,0,0,0,0,0,0,0,0,0.100943161322207,0,0,0,0.109426321170735,0,0,0,0,0,0.0696523096354529,0,0,0.0253776860733289,-3.46944695195361e-18,0,-0.0268910907431567,0,0,0.0398540954219523,0,0,0,0,0,0,0,0,-0.0340484600931912,0,0,0.0258418298034242,0,0,0,0,0,0.0414415864808691,-0.0503952517979193,0,0,0,0,0,0
X600028.SH,0,0,0.254545239674094,0,-0.0584025858037206,0,0,0,0,0,0,0.135171278142375,0,0,0.112272005373738,0,0,0,0,0,0,0,0.0219520386791281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336980280359345,-0.0285934170252682,0,0,0,0,0,0
X601088.SH,0,0.00476966911830892,0,0,0,0,0,0,0.0230109851917778,0,0,0.0693819955834866,0,0,0.148916745296693,-0.00900407281535241,0,0,0.0228605328250683,0,0,0,0,0,0.123746194419882,0,0.0242608482116451,0,0,0,0.0223985570691965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308376491958343,0,0,0,0,0.202972041147205,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396170647745573,0,0.112546189557747,-0.0419808336259649,0.00187944715328732,0,0,0,0,0,0,0
X600188.SH,0,0,0.235359175716503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762058863029281,0,0.0492610831291415,0,0.0385844969080731,0,0,0,0,0,0.0267597011544681,0,0,0,0,0.190639639149906,0,0,0,0,0,0,0,0,0,0.321965089648904,0,-0.00171828192215663,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302991176757641,0,0,0,0.0707192570807355,0,0,0.371543361628825,0,0,0,0,0,0,0,0,0.0214716318289371,0,0,0.00439027305761945,0,0,0,0,0,0.0669405616605244,0,0,0.0444954273923974,0,0,0,0,0,0,0,0,0.0085825245581229,0,0,0,0,0,0,0
X600019.SH,0.350288819663063,0,0,0,0.111010120224368,0,0,0,0,0,0,0,0,0,0.0182397469023454,0,0,0.0248900367085875,0.0236902585692594,0,0,0.0911487321687017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178231848654921,0,0,0,0,0,0,0.0258915634275232,-0.0126182289625251,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0141890036708544,0,0,0,0,0.575110722685503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11474876472518,0,0,0,0.027540046898494,-0.000387776188214367,0.00242829300688177,0,0,0,0.171386360913112,0,0,0,0,0,0,0,0.00870265280791,0.0216317402146958,0,0,0,0,0,0
X600011.SH,0,-0.0253455029130185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536292142875157,0,0,0,0,0,0,0,0.539838378870876,0,0,0.00587622736947309,0,0,-0.0502446152874933,0,0.100055073409583,0,0,0,-0.0211134538639858,0,0,0,0,0,0,0,0,0.00105371892946209,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.470697108810173,0,0,0,0,0,0.00439936040730552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015110704601644,0.0150754646130424,0.0729683703111546,0,0,0,0,0,0,0,0,0.0288037564821374,0,0,0,0.00174204800684891,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.133877893199625,0,0,0,0,0,0.1312839112712,0,0,0,0,0.0269480028738056,0,0,0,0,0,0.0101019186315343,0,0,0,0,0.0533070488109122,0,-0.0630085349857915,0.0731579105839577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105344511880123,0,0,0,0,0,0
X601898.SH,0,0.179167777126136,0,0,0.140592657415532,0,0,0,0,0,0,0,0,0,0.122472501460313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207827885332045,0,0.0682581475987556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479908784866462,-0.0677288001563133,0,0,0,0,0,0
