,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X000792.SZ,X002466.SZ,X600019.SH,X600111.SH,X601898.SH,X002271.SZ,X600660.SH,X600011.SH,X000877.SZ,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600795.SH,X600362.SH,X600426.SH,X000983.SZ,X600803.SH,X000786.SZ,X600096.SH,X000723.SZ,X000408.SZ,X601699.SH,X600486.SH,X601991.SH,X600219.SH,X600141.SH,X000807.SZ,X002353.SZ,X600295.SH,X300073.SZ,X002080.SZ,X600801.SH,X600985.SH,X600027.SH,X000830.SZ,X002192.SZ,X600157.SH,X000683.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127464048314589,0,0,0,0,0,0,0,0,0,0,0,0,0.0216139435801137,0,0,0,0,0,0,0,0,0,0.224444477542005,0,0,-0.0426137247700149,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.239584276327934,0,0,0,0,0,0,0.134688568750268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424379909345361,0.031721123998043,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0226714320449288,0,0,0.0160886248793316,0,0.0153536310199352,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.00824320616178577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121451168200614,0,0,0,0,0,0.067431006899264,0,0,0,0,0,0,0,0.0198030711575213,0,0,0,0,0.000150320302068473,0.00960726955842804,0,0,0,0,0,0,0,0,0.0323384531245834,0.0235980981213561,0,-0.00364077561773253,-0.0247252411375902,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0573752005555801,0,0,0,0.034366952616694,0.107713956328539,0,0.0085511196012851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143852840130623,0.0633818597220966,0,0,0,0,0,0,0.0411264959250364,0,0,0.0154266553950626,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.332895035672135,0,0,0,0,0,0.0417870582580222,0,0,0,0,0,0,-0.08161654580858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302808876282811,0,0,0,0,0.136799915471195,0,0,0,0,0,0.410111463742308,0,0,0.116876873989543,0,0,0,0,0.0388652753395755,-0.0044585730062171,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.061595192450517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841711598072592,0,0,0,0,0,0,0,0,0,0,0,0.43488512706332,0,0,0,0,0,0,0,0,-0.0100741430133046,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.000665117711240584,0,0,0,0.520339948983324,0,0.138410995466444,0,0,0,0.0184272323406084,0,0,0,0,0,0,0,0,0,0,0,0.0272236037081203,0,0,0,0,0,0.0758269196975494,0,0,0.0167137347566477,0,0,0,0,0,0,0,0,0,0,0.0801965986724589,0,0,0,0,-0.0411335309859948,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.122543179404436,0,0.196340920730975,0,0.220602753886766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065029851554581,0.0618506791885074,0,0,0,0.08396162102118,0,0,0,0,0.236058816506754,0,0,0,0,0,0,0,0,0,0,0,0,0.0888806444158432,0,0.00263899118315735,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0582374897402965,0,0.749892736841317,0,0,0,0,0,0,0,0.0602156439654971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369842950317131,0,0,0.101030976539508,0,0,0,0,0,0,0,0.0140220937901072,0,0.118669683125586,0,0,0,0,0.00988241731822966,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0109514232871452,0,0,0,0,0,0,0,0,0,0,0,0,0.165652621951334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785746947419615,0,0,0,0.0613801328958027,0,0,0,0.0940924873548523,0,0,0,0,0.0079881795831147,0.13847328318634,0,0,0,0,0,0,0,0,0
