,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600660.SH,X600886.SH,X600801.SH,X601898.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600489.SH,X600688.SH,X600352.SH,X601991.SH,X000786.SZ,X600795.SH,X600111.SH,X600027.SH,X002466.SZ,X601992.SH,X600176.SH,X600299.SH,X600126.SH,X600426.SH,X002075.SZ,X002353.SZ,X600529.SH,X000723.SZ,X600315.SH,X601158.SH,X600486.SH,X600219.SH,X600516.SH,X600612.SH,X002080.SZ,X000898.SZ,X000401.SZ,X000932.SZ,X000883.SZ,X000553.SZ,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528175049331092,0,0,0,0,0,0.112457322191341,0.0715352411712612,0,0,0,0,0,0,0,0,0.0718274557506237,0,0,0,0,0,0,0.0276432735677761,0,0,0,0,0,0,0,0,0,0,0,0.00455734694633733,0,0,0.00312309701882008,-0.0149032698932382,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0816339849113826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505506789222253,0,0,0,0,0,0,0.0267136394328491,0,0,0,0,0,0,0,0.0968967978822092,0,0.064534463278846,0,0,0,0,0.00150550802692445,0,0,0,0,0,0,0.0193852981309197,0,0,0.00320937061271519,-0.0043314043018675,0,0,0,0,0,0
X601088.SH,0,0,0,0.144451615454024,0,0,0,0,0.102882433153751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021714671421852,0.0504069613593005,0,0,0.0657856707675985,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139808192778637,-0.00824472238832665,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0188273687618273,0.0527751974290099,0,0,0.382362874188605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163678226814684,0,0,0,0.0543590562200779,0,-0.0155256257455093,0,0.0489667158068028,0,0,0,0,0,0,0,0,0,0.128577679746618,0,0,0,0,-0.0248121644255073,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0360591103813218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174059026493322,0,0.0724684266407049,0,0,0.158552968767686,0,0,0.0176561453683649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130462857523367,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.00625189924532436,0,0,0,0,0,0,0,0,0,0.431939242653846,0,0,0,0,0,0,0,0.0985428937781124,0,0,0,0,0,0.0558576659682362,0,0,0,0,0,0,0,-0.0563414071728298,0.145151755635823,0,0,0,0,0,0,-0.108835203601588,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.201407661569291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928193018458091,0,0,0.0931105414231473,0,0,0,0.0075859554942044,0,0.0318102274073173,0,0,0,-0.0217405530454334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115864073637392,-0.0140106371432105,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.160795112891708,0,0,0,-0.0747326447110022,-3.46944695195361e-18,0,0,0.166102283510355,0,0,0,0,0,0.0218625642264921,0,0,0,0.0187397822330369,0,0,0,0.0913736773785504,0,0.146610127643335,0,0,0,0,0.0789298676647302,0.0160845227741093,0,0,0,0.0652565735866954,0,0,0,0,0,0,0,0,0,0,-0.00988148017651336,-0.0192629862027889,0,0,0,0,0,0,0
X600011.SH,0,0,0.327702407467762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149733464178165,0,0,0,0.151204412971164,-0.0259904658478156,0,0,0,0.00849616785972889,0,0.0228318289286683,0,0,0,0,0,0,0,0,0,0,0,0,-0.00852953598283439,0.00568350463788772,-0.00642870668193713,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.393640485272455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195670829330612,0,0,0,0,0,0.00979816654738457,0,0.154179591252393,0,0.0410037004776061,0,0,0,0,0,0.101056112083259,0,0,0,0,0,0.121911629213451,0,-0.00323122911480615,-0.00928228862409184,0,0,0,0,0,0
