,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600660.SH,X600188.SH,X600019.SH,X601600.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600010.SH,X600111.SH,X600803.SH,X000708.SZ,X600027.SH,X002460.SZ,X000301.SZ,X600160.SH,X601991.SH,X600219.SH,X600426.SH,X000807.SZ,X000983.SZ,X601699.SH,X000786.SZ,X002466.SZ,X000630.SZ,X000408.SZ,X601168.SH,X600985.SH,X600176.SH,X002128.SZ,X600096.SH,X000933.SZ,X000877.SZ,X000883.SZ,X002353.SZ,X600352.SH,X600378.SH,X600612.SH,X600995.SH,X600863.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.353670353281014,0.0610245684349337,0,0.144633546084657,0,0,0,0.0333142368586186,0,0.163570155358396,0,0,0,0,0,0.0840473393992823,0,0,0,0,0,0,0,0,0,0.152731915706582,0,0,0,0,0,0,0.231064819214784,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0370031437151676,0,0,0,0,0,0,0,-0.0367985455563661,0,0,0,0,-0.00854370029533747,0,0
X600028.SH,0.222437300173285,0,0.179660627919362,0,0.14945592841637,0,0,0,0,0,0.221724954414846,0,0,0.118714704514547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0540279177554375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257072908027972,0,0.0191542812752249,0,0,-0.00786089786497846,0,0
X601088.SH,0,0.139343152402204,0,0,0.110610079592747,0,0.0056190443415018,0,0,0,0,0,0,0.0839483941424269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333740341899336,0,0,0,0,0,0,0,0.116893608435698,0,0,0,0,0,0,0,0.0997859072890041,0,0,0,0,0,0,0,-0.00100360435195408,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291850466888117,0,0,0,0.0414116679655536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24127737885066,0,0,0,0,-0.087850038076487,-0.0370075615806365,0,0,0,0,0,0
X601898.SH,0,0.215229595956827,0.252253752581425,0,0,0,0.217915652555058,0,0,0,0,0,0,0,0,0,0.0873324812888405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208897476995988,0,0,0,0,0,0,0,0,0,0,0.259126720463344,0,0,0.0474629410061511,-0.053315791765323,0,0,0,0.0171730146106836,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177110446460163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102409801727284,0,-0.139062696647086,0,0,-0.0236090877524794,0,0
X600188.SH,0,0,0,0,0.145234291652747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224699071395925,0,0,0,0,0,0.5246372294348,0,0,0,0,0,0,0,0,0,0.0272361953590707,0,0.232378360405565,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.250294481912174,0,0,0,0.00272724308822026,0,0,0,0,0,0,0.140703087223583,0,0.0484261867358558,0,0.110074629985692,0,0,0,0.0319864625406459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11526200059608,0,-0.107388444677728,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01424955368603,0,0,-0.00635096906698122,0,0,-0.0491009869067822,0,0
X601600.SH,1.73472347597681e-18,0,0,0,0,0,0.0387315178887307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846700076109931,0,0,0.01492976603265,0,0,0,0.189036666848544,0,0,0,0,0,0,0.366341794680075,0,0,0.188350626329937,0,0.064743146971825,0,0,0,0,0,0,0,0.0995422104130256,0,0,-0.00735069718808884,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.125319257477298,0,0,0,0,0,0,0,-0.15081777770479,0,0.68206487751417,0,0,0.0229029764755697,0,0,0,0,0.0493840434935105,0,0,-0.0411926951519028,0,0,0,0,0,0,0,0.0534055314909924,0,0,0,0,0,0.0190821869944775,0,0,0,0,0,0,0,0,0,-0.0212217060558126,0.0136383922127014,0,0,0,-0.0042111781834374,0,0
X600886.SH,0.0156514055479002,0,0,0,0,0,0,0,0,0,0,0,0,0.194972288780842,0,0,0,0,0,0.160060732211313,0,0,0,0,0,0,0,0,0,0,0,-0.0619416682987407,-0.0169624194418253,0,0,0,0,-0.116814395415666,0,0,0,0,0.114925970813338,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.00370286069879964,0.225512886989331,0,0,-0.0406803371299091,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426967628301157,0,0,0,0,0,0,-0.0366483716914458,0,0.210819581411282,-0.00719822832531322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099482705171146,0.0667378140451227,0,0,-0.026792441346381,0,0,0,0,-0.0257410931503223,0.0870179995183971,0.0262614719692027,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.188095085980735,0,0,0,0,0.136662143709172,0,0,0.168865215801847,0,0,0,0,0,0,0,0.125349454812582,-0.0385969441740245,0,0,0,0.0268936085241988,0,0,0,0,0,0,0,0.016165863787501,0,0,0,0,0,0,0,0.126331847447098,0,0,-0.0621986839094031,0,0,0,0,0,-0.0647316331917989,-0.0162367225551349,0,0,0,-0.0950354420052904,0,0
