,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X000708.SZ,X600547.SH,X600660.SH,X002460.SZ,X002271.SZ,X600011.SH,X000786.SZ,X600886.SH,X600362.SH,X601600.SH,X600176.SH,X600426.SH,X601898.SH,X600010.SH,X600801.SH,X600188.SH,X600352.SH,X600489.SH,X000301.SZ,X600111.SH,X600795.SH,X601991.SH,X600688.SH,X600299.SH,X600803.SH,X002075.SZ,X600486.SH,X600219.SH,X600027.SH,X000932.SZ,X002466.SZ,X601992.SH,X300037.SZ,X002080.SZ,X002353.SZ,X601168.SH,X000630.SZ,X002409.SZ,X000898.SZ,X000723.SZ,X000807.SZ,X000027.SZ,X000883.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254037779191428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235138670514438,0,0,0,0,0,0,0,0,0.0168871788805542,0,0,0.00733433115346648,0,0.00381338765720828,0.060053698446244,0,0,0,0.0613573481419873,0,0,0,0,-0.00292958565186221,0,0,0,0,-0.00445461835115208,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124714835497297,0,0,0,0,-0.0159908215983196,0,0,0,0.0222544413462155,0.0263280040347464,0.00345611114223667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323389160791264,0,0.00682173904488802,0,0,0,0,0.0723364874006506,0,0,0,0,-0.00518134747881301,0,0,0,0,-0.0120428048175729,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0222325336334269,0,0,0,0,0,0,0,0,0.0781656306423935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384430831926318,0,0,0.0321692204784567,0,0.00976218519596322,0,0,0,0,0.0601983000828401,0,0,0,0,0.00619051236073274,0,0,0,0,-0.00435975035321707,0,0
X600585.SH,0,0,0,0,0,0,0,0.111825949714429,0,0.0844001081883399,0,-0.035516545620681,0.0146976294216784,0,0,0,0,0.0525120083393196,0,0,0,0.00136595570079969,0,0,0,0,0,0.0554679901909877,0,0,0,0,0,0,0,0,0,0,0,0,-0.0478739808018462,0,0,0,0,0,-0.0241838080318209,0,0,0.0287072027768796,0,0.00796766378179258,0.0152609642233335,0,0,0,0.00709174211730149,0,0
X600309.SH,0,0,0,0,0,0,0.130247821162978,0.124519076026868,0,0,0,0,0,0,0,0,0,0.458721285611828,0,0,0,0,0,0,0,0,0,0,0,0,-0.0548874387880235,0.202937777528433,0.128499672331742,0,0,0,0,0,0.113910814694353,0.00612536788654287,0.191446235722563,0,0,0,0,0,0,0,0,0,0,0.0145478465899143,0,0,0,0,0.000877550020534466,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0133433128919574,0,0,0,0,0.0508226667619133,0.0280829674275415,0,0,0,0,0,0,0,0,0.0508284260202856,0.103814132836567,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0231474615748437,0.140420192678963,0,0,0,0.00911036698504927,0,0,0,0,0.0515939873335769,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0.135368491970656,0,0,0,0,0,0,0.104646141452794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265430117931328,-0.0771641695677116,0,0,0,0,0.152350119922465,0,-0.112595429618725,0,0,0,0,0,0,0,0,0,0,0.0881647318740778,0,0,-0.0097378155394383,0,0,0,0.0429271817013923,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.144626158001693,0.00169016776123051,0,0,0,0,0,0,0,0,0,0,0,0,0.580573491276486,0,0,0,0,0,0,0,0,0,0,0,0,0.0126100764038521,0,0.00513455552338968,0,0,0,0,0,0,0,0,0,0,0.0258177719415793,0,-0.00956187693371903,0,0,0,0,0.00643356932415614,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618249274114574,0,0,0.0978176295673645,0,0,0,0,0,0,0,0,0,0,0,-0.0591525885394588,0,0,0,0.278306872851974,0.0294337255925472,0,0,0,0,0,0,0,0,0,0,0,0,0.027248759006284,0,0,0,0.0202671944617379,0,0
X002460.SZ,0,0,0,0,0,0.240121444095596,0,0,0.0177259246340774,0,0.240635367794075,0,0,0,0,0,0,0,0,0,0,0,0,0.141647431799268,0,0,0,0,0,0,0,0,0,0,0,0,0.241262524376816,0,0.344572714059351,0,0.0479061542588786,0.127421901100308,0,-0.127252084006585,0,0.0590446858277376,-0.105603950559197,0,0,0,0,-0.0279789121901268,-0.0296275757549801,0,0,0,-0.0340289328318598,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525098399161861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281892768621318,-0.0395853562902785,0,0,0,-0.0584038234030609,8.67361737988404e-19,0,0.215700650048578,0,0,0,0,0.104357310084201,0,0,0,0,0,0.0257376202811795,0,0,0.03992323033721,0,0,0,0.0122045618481936,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.00978013399198145,-0.0838255607216735,0,0,0.00566725960077458,0.110484567204664,0,0,0,0,0.250393427422646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449062786156961,0,0,0,-0.0557503984098006,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316692655848636,0,0,0,-1.35525271560688e-20,0,0
