,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600688.SH,X600795.SH,X002460.SZ,X600362.SH,X600111.SH,X600188.SH,X601991.SH,X600660.SH,X600547.SH,X600516.SH,X300072.SZ,X600886.SH,X000709.SZ,X000898.SZ,X600157.SH,X000792.SZ,X600027.SH,X000408.SZ,X600339.SH,X600489.SH,X000959.SZ,X600219.SH,X000807.SZ,X600549.SH,X000723.SZ,X600808.SH,X600352.SH,X000983.SZ,X002092.SZ,X000553.SZ,X601158.SH,X000883.SZ,X600299.SH,X002271.SZ,X000630.SZ,X600008.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0123794568263341,0,0,0,0,0,0.0212246913578043,0,0.010952891816537,0.0159657838619165,0.0358547046950866,0,0,0.0436025029826629,0,-0.015307793680494,0,0,0,0,0,0,0,0.021407633237961,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.00875307542305726,0,0.0211578841209135,0,0,0,0,0,-0.0201535177234802,0,0,-0.0100142040547134,0.0220014770575692,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.109477248660354,0,0,0.0256227370023315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198620080708086,0,0,0,0,0.0813244605427537,0,0,0,0,0,-0.0236295469183784,0,0,0,0,0,0.00768204054522195,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0220080735669858,0,0,0,0,0,0,0,0,0,0,0,0,0.0277935905131135,0,0,0,0,0,0,0,0,0,0,-0.0819071785002765,0,-0.0664024116325246,0,0,0,0,0,0.0655673109403019,0,0.0669528938194329,0,0.0297745247009719,0,0,0,0,0,0,0,0,0,0,-0.0227048787084058,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0928219879375036,0,0,0,0,0,0,0,0,0,0.0368231745330258,0,0,0,0,0,0,0,0,0.101493074050987,0,0,0,0,0,0,0,0,0,0,0,0.367327595019753,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280022932375508,0.0246449910559615,0,0,0,0,0,0
X600585.SH,0,0.286087256008076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211704673665886,0,0,0,0,0,-0.141056865697236,0,0.182649547660204,0,0,0,0,0.124260661808432,0,0,0,0,0,0,0,0,0,0,0.122998437387474,0,0,0,0,-0.0327699594130209,0.0360727916322093,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0136557214538192,0,0,0,0,0,0,0,0,0,0.0246335158164045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103087428292595,0,0.185093306189222,0,0.109300170780482,0.0314869716979842,0,0,0,0,0,0,0,0,0,-0.00842733239806031,0.00353603696720215,0,0,0,0,0,0
X601600.SH,0,0,0,0.102858641364601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043174760725133,0,0,0,0,0,0,0,0,0,0,0,0.249612893219228,0.136739120605199,0.152816367070345,0,0.184055241200475,0,0.0779130502636628,0,0,0,0,0,0,0,0,0,0,-0.0175372180735518,-0.0121892957425711,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217991372084966,0,0.142703888329357,0,0.103775363171835,0,0.0306972954698043,0,0,0,0,0,-0.0834087459647086,0,0,0,0,0,0,0,0,0,0,0,0,0.0885153171789513,0,0,0,0,0,0,0,0,0,-0.0153843499234765,0.017846997899793,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0103803816341225,0.0904049901143861,0,0,0,0,0,0,0,0.00796550825047681,0,0.0117231335989919,0.107124452591215,0,0,-0.00957561026311021,0,0,0,0,0,0,0,0.0950709891005527,0,0.00674322818095659,-0.0753167067069757,0,0,0,0,0,0.0982283167847041,0,0,1.73472347597681e-18,0,0,0.0618754242886713,0,0,0,0,0,0,0.0089981942138273,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0773337799122923,0,0,0,0,0,0,0,0,0.113759140155357,0,0,0,0,0,0,0,0,0,0.196308539683365,0,0,0,0,0,0,0,0,0,0.0961345494394047,0,0.051257277629465,0,0.0933190475363165,0,0,0,0,0,0,0,0,0,0,0.0116320548753003,0.00101899361627794,0,0,0,0,0,0
