,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X000708.SZ,X601699.SH,X600010.SH,X000301.SZ,X600362.SH,X600426.SH,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X600985.SH,X000408.SZ,X000807.SZ,X000786.SZ,X600176.SH,X000630.SZ,X000933.SZ,X600612.SH,X300037.SZ,X000932.SZ,X600348.SH,X600219.SH,X002128.SZ,X601168.SH,X600995.SH,X600688.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.567173408175531,0,0,0,0,0,0,0,0,0.20067471897869,0,0,0,0,0,0,0,0.0476073741871472,0,0,0,0,0,0,0,0,0,0,-0.133690626232391,0,0,0,0,0,0,0.0336905411549093,0,0,0.13840551895208,0,0,0,0,0,0,0,0,0,0,0,0,0.0287433705107061,0,0,0,0.0475299439910993,0,0
X600028.SH,0.579654940065998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219756043522835,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127311542475945,0,0,0,0.0138257646068868,0,0,0,0,-0.0128860733456366,0.00591160078843345,0,0,0,0,0,0
X601088.SH,0.0393767134309328,0.221688111858655,0,0,0.261735298901249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101773659388053,0,0,0,0,0,0,0,-0.0614975680333494,0,0,0,0,0,0,0,0,0.0239114198513587,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388476738034287,0,0.00439811794055621,0.00089575983719783,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.148908694153401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703270926092929,0.253367965751502,0,0,0,0,0,0.0367269970955532,0,0,0,0,0,0,-0.0367628729225831,0,0,0,0.107302327437981,0.0633927719279962,0,0,0,0,0,0,0.185348432548124,0,0,-0.0232964958129462,0.0259516618387721,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0470683599900508,0.180777845449745,0,0,0,0,0,0,0,0,0,0,0,0,0.233869523828317,0,0,0,0,0,0,0,0,0,0,0,0.0681109658162922,0.0751791811299556,0,0,0,0,0,0.21734382762831,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.00543847326294534,2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376041112870414,0,0,0,0,0.0972369541838824,0,0,0,0,0,0,0,0,0,0,-0.0898693264791001,0,0,0.0184263904875861,0.267285199693652,0,0,0,0,0,0,0,0.208945189031897,0,0,0,0.159800299615712,0,0,0,0,0,0.00393021990584681,1.0842021724855e-19,0.0753425763278243,0,0,0,0,0
X601898.SH,0.111959113106166,0,0,0,0.255870842656251,0.0165752807042397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471829653901511,0,0,0.0120643417364893,0,0,0,0,0,0,0,0,0,0,0,0,-0.00964229265099821,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0802913551612236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446314886537455,0,0,0,0.0233284378260099,0,-0.0182039564108382,0,0,0,0.0708647748435752,0,0,0,0,-0.0833992095627374,0,0,0,0,0.0952380823427321,0,0,0,0,-0.00025898266250515,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.119600305084686,0,0,0,0,0,0,0,-0.00513527365902755,0,0.0298255051277893,0,0.0253654261764887,0,0,0,0,0,0,0.0261587542506812,0,0.338523223851663,0.0450760822657416,0,0,0,0.186561741168953,0,0,0,0,0,0.0671747388997495,0.0962460573439987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00597930081702332,0.00918929798862606,0,0,0,0,0,0
X600547.SH,0,0.0815632915720785,0,0,0.0439707548408529,0,0,-0.0338771216048734,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.013180704939335,0,0,0.571442671288082,0,0,0.00817527814193577,0,0,0,0,0,0,0,0,0,0,0.0377672795545147,0,0.054070288728517,0,0,0,0,0.00152762768085516,0,-0.00233491013161106,0.0212237579100197,0,0,0,-4.33680868994202e-19,0,0
