,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600585.SH,X601600.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600160.SH,X600803.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000877.SZ,X002128.SZ,X000983.SZ,X000408.SZ,X600176.SH,X601699.SH,X000630.SZ,X000933.SZ,X601168.SH,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X002271.SZ,X000831.SZ,X600995.SH,X600378.SH,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.453512158610979,0,0.0407299307810765,0,0,0,0,0,0,0,0,0,0.0771699373467811,0,0,0,0,0.12888284772585,0,0,0,0,0.0258094570115173,0,0,0,0,0.0716037600112942,0,0,0,0,0.179354581816159,0,0,0,0,0,0,0,0.147773962118272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.386591739551685,0,0,0,0,0.0100843381594019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143196277182278,0,0,-0.0462236204239176,0,0,0,0,0,0,-0.00438635696010272,0,0,0,0,-0.0200819149636548,0,0
X600028.SH,0.426615037895918,0,0,0,0.156304515659684,0.196243894586905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10435215323672,0,0,0,0,0,0.00687139046990241,0,0,0,0,0,0,-0.047144341774572,0,0,0,0,-0.134691654546698,0,0,-0.000638251353253925,0,0,0,0,0,0,0.256457002254839,0,0,0,0,0,0,0.00363608475072045,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443957325748243,0.0939602831472125,0,0,0,0,0,0,0,0,0.107564825413873,0.0243961130750444,0,0,0,0.0209615263205181,0,0,0,0,0,0,0,0,0.0581230324768331,0.0134547816619258,0,0,0,0,0,-0.0476140026107715,0,0,0,0,0,0,0
X601898.SH,0,0,0.351579778223882,0,0,0,0.038995338599553,0,0.0799191294022447,0,0,0,0,0,0,0,0,0,0,0.0137616970638621,0,0,0,0.0796870993870645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0692358067701798,0,0,0,0
X600188.SH,0,0,0,0,0.124672344250291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431894898952116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515632155990123,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.1145365415552,0.0244724562858851,0,0,0,0,0,0,0,0,-0.00960464380218403,0,0
X600019.SH,0.104672317159374,0,0,0,0.0127979248271501,0,0,0,0,0.247508464843117,0,0,0,0,0.0216267543052321,0,0,0,0,0,0,0,0,0.0940443383527167,0,0,0,0,0,-8.67361737988404e-19,0,0.120193710931668,0,0,0,0,0,0,0,0,0,0,0,0.0859298269041789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381564972269334,0,0,0,0,-0.137268679363332,-0.0768942276405819,0.131277724863557,0,0,0,0,0,0,0,0,-0.0458458927654571,-0.141643492486854,0,0.0798005249534099,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0863183729444353,0,0,-0.0553900970958616,-0.0138283087685541,0,0,0,0.0937418466038424,0,0
X600585.SH,0,0,0,0,0.128584245256289,0,0,0,0,0,0,0,0,0.238882342954676,0,0,0,0,0,0,0,0.0125425106633119,0,0,0,0,0,0.0880144386690029,0.0964545687716581,0,0,0.294866499348657,0,0,0.031005018928914,0,0,0,0,0,0,0,0,-0.0516362228814069,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115122320351079,0,0
X601600.SH,0,0.0711062989801811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132473750237688,0,0,0.0295041013822082,0.414898101766679,0,0,0,0,0,0,0.0645294645725544,0,0.155128180366284,0.332395471010837,0,0,0,0,-0.0398941400874207,0,0,0,0,0,0,-0.00733156493340096,-0.0553510073153967,0,0,0,0.0286139303740126,0,0
