,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600886.SH,X600660.SH,X600352.SH,X600188.SH,X600362.SH,X600795.SH,X600111.SH,X000723.SZ,X600027.SH,X601992.SH,X000898.SZ,X600801.SH,X000709.SZ,X600176.SH,X002460.SZ,X000786.SZ,X002466.SZ,X600516.SH,X600489.SH,X002271.SZ,X600299.SH,X601158.SH,X000629.SZ,X000553.SZ,X000883.SZ,X600219.SH,X600808.SH,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X601699.SH,X000301.SZ,X600339.SH,X000825.SZ,X002203.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0203119766543097,0,0,0,0,0,0,0.0262805545456412,0.0437755991205573,0,0,0.00256432225276577,0,0,0,0.0105213942361205,0,0,0,0,0,0,0,0,0.033039312070662,0,0,0,0,0,0,0,0,0.0320037491896793,0,0.0295628734521597,0,0,0,0,0,0,-0.0102228516700731,-0.0118400322521339,0,0,0,0,0,0
X600028.SH,0,0,0.00711695261596999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128008345979583,0,0,0,0,0.0429420436882791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120092130280044,0,0,0,0,0.151231590962049,0,0,-0.0451405406038607,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.118891012542463,0,0,0,0,0,0,0.133928585089592,0,0,0,0,0,0,0,0.0824659801525778,0,0,0,0.0823670371054679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180247538542564,-0.0510772721796143,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.149987879932483,0,0,0,0,0,0,0,0,0,-0.0197311796940941,0,0,0,0,0.0106802837902578,0,0,0,0.472098296922498,0,0,0,0,0,0,0,0,-0.0225624264686353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164367909902226,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.116666081465668,0,0,0,0,0,0,0.0511291202344813,0.0983229995554819,0,0,0.0218189497556579,0,0,0,0.144249394040404,0,0,0.0166204383356809,0,0,0,0,0,0.0760439920370489,0,0,0,0,0,0,0,0,0,0.0291551216010821,0,0,0,0,0,0,0,0,-0.0113109694217339,0,0,0,0,0,0
X600309.SH,0,0,0,0.170997856493643,0,0,0.173758567999139,0,0,0,0,0,0,0,0,0.148258959880094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249408082180095,0,0,-0.0104297096402116,0,0,0.147089695269469,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.274959683216473,0,0,0,0,0,0,0.0165080085930512,0,0
X600011.SH,0,0,0,0,0,0.0443696648045793,0,0,0,0,0,0,0,0,0,0.171337222879578,0,0,0,0,0,0.350705222290358,0,0,0,0,0,0,0.103957064516511,0,-0.035307305266524,0,0,0,0,0,-0.0652859534444044,0,0,0,0.145948429046524,0,0,0,0,0,0,0,0,0,0,0.0286369231755818,0,0,0,0,0.0321110009748699,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0554296315621495,0,0,0,0,0,0,0,0.162678521829752,0,0.0129367233902917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100273246575959,0,0.127075421917135,0,0,0.415778011099233,0,0.0291256401133496,0,0,0.0341828155412686,0,0,0,0,0,0,0,0,-0.0331968107785678,0,0,0,-0.0310267726015414,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465875820962771,0,0,0,0,0,0,0,0,0,0,0,0.914975670340735,0,0,0,0,0.0670128619064429,0,0,0,0,0,0,0,0,0,-0.00369352004182436,0,0,0,-0.0541640377126911,0.00469808220608422,0,0,0.00273265206036083,0,0.0168769584350322,0,0
X601600.SH,0,0,0,0,0,0,0,0.202953485543281,0,0,0,0,0,0,0,0,0,0.20474509995219,0,0,0.0239575823661675,0,0,0,0.0305970228255656,0,0,0,0,0,0.0305293992555562,0,0,0,0,0,0,0,0.141784831700647,0,0,0,0,0,0,0,0,0,0,0.137345454965109,0,0,0,0,0,0,-0.00728263783100626,0,0
