,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600188.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600886.SH,X002466.SZ,X000898.SZ,X600547.SH,X600516.SH,X300072.SZ,X600027.SH,X002460.SZ,X600111.SH,X601992.SH,X600176.SH,X600352.SH,X000553.SZ,X000786.SZ,X002110.SZ,X600808.SH,X600299.SH,X000709.SZ,X600426.SH,X600801.SH,X000932.SZ,X000408.SZ,X000883.SZ,X601158.SH,X600219.SH,X601699.SH,X601003.SH,X002271.SZ,X000830.SZ,X600315.SH,X000792.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.274966632240802,0,0,0,-0.00680843604922671,0,0,0,0,0,0.0532808224152336,0,0,0,0,0,0,0,0,0,0,0,0.0384120369527298,0,0,0,0,0,0,0,0.079568838924172,0,0,0,0,0,0,0,0,0,0.04160135963591,0,0,0.0884662966937009,0,0.095297229169002,0.00287485878983761,0,0.0103505250572378,0,0,0,0,0,0,0
X600028.SH,0.374777638040581,0,0,0,0,0,0,0,0,0,0,0.139273261674113,0,0,0,0,0,0,0,0,0,0,0,-0.0619979982484994,0,0,-0.110852615753976,0,-0.0735044225554186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353746145917603,0,0,0,0,0,0.0078529069200754,-0.0266692052481258,0,0,0,0,0,0
X601088.SH,0,0,0,0.0864082579273681,0,0,0,0,0,0,0,0.483013984282378,0,0,0,0,0,0,0,0,0,0,0,-0.0342858260934951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00644498298461531,0.0139661775851709,0,0,0,0.0916498997474491,0,0.000671816162765325,-0.0270304945037994,0,0,0,0,0,0
X600585.SH,0,0,0.25711650732931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537466081553313,0,0,0,0,0,0,0,0,0,0,0,0.104155513569967,0,0,0,0,0,0.297244836874097,0,0,0,0,0,0,0,0.00129966373748276,0.0073966315615311,0,0.0801851533633846,0,0,-0.00617016720905296,-0.00024286950671876,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277111020376748,-1.73472347597681e-18,0,0,0,0.105216684586174,0.23831645790714,0,0,0,0,0.125512255942471,0,0,0,0,0,-0.000500327648231449,0,0.017332735353187,0.0428124478023698,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126734821770687,0,0,0,0,0.0130524682983467,-0.00364230245403262,0,0,0,0,0,0.165788637514827,0,0,0.0228513405465011,-0.318551313212607,0,0,0,0,0,0,0,0,-0.0524670203765869,0,0.297166542384912,0,0,0,0,0.00950981283662597,0.0845650828644819,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0143403550418872,0,4.33680868994202e-19,0,0,0.0987002010994028,0,0,0,0,0,0,0,0,0,0.0375647963455942,0,0.341273242787799,0.0818541468299381,0,0,0,0,0,0,-0.0153189921770865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810949508601262,0,0,0.00882937318571711,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347394919560809,0.0562806600668923,0,0,0,0,0,0,0,0,0,0,0.212891523954043,0,0,0,0,0,0.24960254115173,0,0,0,0,0.0416310441174522,0,0.180686936419016,0,0,0,0,0.0309258855643681,-0.00611862059713078,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0607587550112545,0,0.0979337203897522,0,0,0,0,0,0,0.0385562545136899,0,0,0,0,0.141111836615422,0.0915386913969088,0,0,0,0,0,0.0365549008909824,0,0,0,0,0,0,0,0,0,0.13020918275518,0,0,0,0,0,0,0.00474025758964481,-0.0117285219238578,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0799418549574934,0,0,0,0,0,0.169405949117668,0,0,0,0,0,0,0,0,0,0,0.066995626564152,0,0,0,0.0736676994332141,0,0,0,1.73472347597681e-18,0,0.0259364894286455,0,0,0,0,0,0,0,0,0,0,0.0968063811424879,0,0,0,-0.0114050126037163,0,-0.00634598121722107,0.0229868514445774,0,0,0,0,0,0
