,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600010.SH,X600027.SH,X600688.SH,X600309.SH,X600583.SH,X000883.SZ,X601992.SH,X002353.SZ,X000898.SZ,X000792.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X600315.SH,X000831.SZ,X000825.SZ,X600660.SH,X600808.SH,X601699.SH,X600352.SH,X000027.SZ,X600549.SH,X000630.SZ,X600307.SH,X000983.SZ,X600578.SH,X000937.SZ,X600490.SH,X600863.SH,X000959.SZ,X002470.SZ,X000960.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0807834070252157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330237894525143,0.0705006179342575,0.00017198162222341,0,0,0,0.0226329707143938,0,0,0,0.00252920662478282,0,0,0,0,0,0,0.0570598771096553,0,3.46944695195361e-18,0,0.0529843408281895,0,0,0.00725568930157349,0,0,0,0,0,-0.00904739014806061,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.110336736209811,0,0,0,0,0,0,0,0.18872955932619,0,0,0,0,0,0,0,0,0.105126371710788,0,0,0,0,0,0,0,0,0,0,0.070439585981525,0,0,0,0,0.00759549338819554,0,0,0,0.0465119564129587,0,1.35525271560688e-20,0,0,0,0.00794507237736144,0,0,-0.00999235297155891,0.00592281362344519,0,0,0,0,0,0
X601088.SH,0,0,0,0.240008527130867,0,0,0.095367434609829,0,0,0,0,0,0,0.0585366781724821,0,0,0,0,0,0.0881683903737155,0.0192287328766757,0,0,0,0,0,0,0,0,-0.0718853888999341,0,0,0,0.0199649023152066,0,0,0,0,0,0,0,0,0.156055992521246,0.0467374127510657,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X600585.SH,0,0,0.235800920612746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110071765299666,0.0178764095688092,0,0,0,0.00013892616165308,0,0,0,0,0.0172639382774573,0,0.023233589715057,0,0,0,0,0,0,0,0,0.0665258858140101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0681830363678145,0.00737519363747665,0,0,0,0,0.0894505485756237,0,0,0,0.15493604659737,0.0146797435471708,0,0,-0.113101590900601,0,0,0,0,0,0,0,0,0,0,0.177721557720628,-0.00718320627655643,0,0,0,0,0,0,0,0,0,0,0,0,0.0167220590588927,0,0,0,0,0,0.0139185017776048,0,0,0,0,0,0,0
X600019.SH,0,0,0.0516690828439424,0,0.0147600552227126,0,0.195554468757411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186899801138872,0,0,0,0,-0.023768290579307,0,0.116354867823626,0,0,0,0,0,0.107114776103766,0,0,0,0.0370098351623684,0,0.102781969064565,0,0,0,0,0.000472321346376765,1.73472347597681e-18,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0295642795580039,0,0,0,0,0,0.0233227314949622,0,0,0,0,0,0,0,0,0,0,0,0.105330867862916,0.0615165243617464,0,0,0.18220384751817,0,0,0,0,0,-0.00617870882788709,0,0.00964997963692609,0,0,0,0.0433992956307313,0.0677668466573036,0.12293702481169,0,0,0,0,0,0.00981803112973872,-0.0230959962405211,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0112203663870179,0,0,0.0224135599355977,0,0,0,0,0,0,0.0444478972257337,0,0,0,0.159849627906516,0,0,0,0,0.0141769824911374,0,0,0,0,0,0,0,0,0,0.123051304901063,0,0.0360617764839641,0,0,0,0,0,0,-0.00244704973535159,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0106187662539222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147382156264764,0,0,0,0,0,0,0.142725744827354,0,0,0,0,0,0,0.25401306965285,0,0,0.00959096299623759,0,0.126826836748054,0,0,0,0,-0.00816517618621079,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782823196268871,0,0,0,0,0,0,0.0488748179447085,0,0.000423396199033472,0,0,0,0.0196970340116037,0,0,0,0,0.092635436499412,0,0,0,0,0,0.221993656837817,0,0,0.0461680984379408,0,0,0,0,0,0,0.0595720261503074,0,0,-0.00774356755458694,0,0,0,0,0,0,0
