,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X000301.SZ,X600010.SH,X002271.SZ,X601600.SH,X600660.SH,X000708.SZ,X600188.SH,X601898.SH,X600362.SH,X600011.SH,X600547.SH,X600426.SH,X600176.SH,X600219.SH,X600886.SH,X000408.SZ,X000723.SZ,X000786.SZ,X600803.SH,X000959.SZ,X000807.SZ,X000932.SZ,X600399.SH,X000825.SZ,X601991.SH,X000831.SZ,X000898.SZ,X002080.SZ,X600795.SH,X600516.SH,X600808.SH,X000155.SZ,X002409.SZ,X600352.SH,X000983.SZ,X601699.SH,X600160.SH,X600295.SH,X600489.SH,X000683.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.213344814416437,0,0,0,0,0.0498227550186994,0,0,-0.0165352356871928,0,0,0,0.018886284954347,0,0,0,0,0,0,0,0,0,0,0,0,0.0366184446822914,0,0,0.0110757064135753,0,0,0,0,0,0,0,0,0,0,0,0,-0.00660747637095387,0,0.0567884299591539,0.0287787506311798,0,0,0,0,0,0.00291989152004983,0,0,0,0,0,0,0
X600028.SH,0.392138325361121,0,0,0,-0.0158039740187677,0,0,0,-0.0384644172588363,0,0.0559822070848395,0,0,0,0,0,0,0,0,0,0,0,0.0247986396060863,0,0,0,0,0,0,0,0.0509621377091167,0,0,0.0125643717447804,0,0,0,0,0,0,0,0,-0.028448479938477,0,0,0,0,0,0,0,0,-0.00109461174999857,0.0166584296888271,0,0,0,-0.0327350128649748,0,0
X601088.SH,0,0,0,0,-0.0228889142075898,0,0.0392622357217321,0,-0.0260280899300035,0,0,0,0,0.0943911162291559,0,0,0.115027990044513,0.158859343089828,0,0,0,0,0,0,0.00681687853713223,0,0,0.107477437879851,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154718228794403,0,0,0.0224443269592244,0,0,0,0,0,0,-0.00104047109690246,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.117955906283106,0.0397911197270362,0,0.0629826112571698,0,0,0,0,0,0,0,0,0.126857979402964,0,0,0.0156584648663955,0,0,0.0420380029224191,0,0,0.0130108259459919,0,-0.0589966644175889,0,0,0,0,0,0,-0.00643231822418359,0,0,0.0634588277741602,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0849477335335276,0.362416967570361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790075493273276,0.107065514852063,0,3.46944695195361e-18,0,0.0276330912086664,0,0,0,0,0,0.0288759595600778,0,0,0,0,0,0,0,0.256753824601858,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492054556692121,0.017212867204388,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0425427189335238,-0.0145914163517054,0,0.0139654311901953,0,0,0,0,0,0,0,0,0,0,0,0.0633208923970532,0,0,0,0.0157330437986686,0.210713838653637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562305738493275,0,0,0,0,0,0,0,0,-0.00341648145562004,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.155544784561301,0,0,0,0,0,0,-0.0480258394846601,0,0,0,0,0,0,0,0,0,0,0.029343893407575,0,0.0583727115641829,0,0,0,0,0.171356585373818,0,0,0,0.257556321050201,0,0,0,0,0,0,0,0,-0.0150922267856883,0,0,-0.0301873200763467,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.204508788178707,0,0,0,0,0.283207605903493,0,0.0463991768825661,0,0.276737784055231,0,-0.0397155909578638,-0.0343897161084421,0,0,0,0,0,0,0,0,0.175880656517076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183741762777713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.256807888188772,0,0,0,0.0572939983444588,0,0,0.31941970832275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322492747024287,0,0,0,-0.0433141955698186,0,0,0,0,0.210845667071357,0,0,0,0,0,0.0929859179218966,0,0,0,0,0.00884576067512587,0,0,0,0,0.082429630605495,0.0648095722324799,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0408997941235352,0,0,0,0,0.0045808921057986,0,0,0,-0.0216909638014099,0,0,0,0.304328126434075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156617531010219,-0.0745105929652074,0,0,0,0,0,0,0,0,0,0,0
