,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X000708.SZ,X600010.SH,X000301.SZ,X002271.SZ,X600886.SH,X600795.SH,X000877.SZ,X601600.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X000629.SZ,X000408.SZ,X600160.SH,X000786.SZ,X000723.SZ,X600219.SH,X600348.SH,X600489.SH,X002080.SZ,X600995.SH,X600096.SH,X000933.SZ,X600378.SH,X000807.SZ,X600157.SH,X600688.SH,X600985.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.570731621834533,0,0,0,0,0,0,0.244208720215087,0,0,0,0.0177551154085475,0,0,0,0,0,0,0,0,0,0,0,0,-0.00980865128119565,0,0,0.019169679948414,0.0224816714169245,0,0,0,0,0,0,0,0,0,0,0,0.0560366285229728,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.00500057741819324,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.36223027632667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778803527424808,0,0.0420826006380901,0.149457501998577,0.0233926702427047,0,0,0.010092499312706,0.0437876992747778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777085390233026,0,-0.0333083964651786,0,0.00241647593634375,0,0,0,0,0,0,0
X600028.SH,0.584335093749817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00984636554317594,0,0,0,0,0.0696936241116208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.0198438761717179,0,0,0,0,0,0,0,0,0,0.111142628093646,0,0,0,0,0,0.191081109051822,0,0,0.0129848704341927,0.0380943874811319,0.0683233234711723,0,0,0,0,0,0.119355040641338,0,0,-0.2464777814726,0,0,0,0,0,0,0,0,0,0.0246914296315447,0,0,0,-1.35594117895916e-05,0,0,0,0,0,0,0
X600188.SH,0,0.473521223990361,0,0,0,-0.0537151902583071,0,0,0,0.0656902141788469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055642663469234,0.0256968233345957,0.0957401530498601,0,0,0,0,0,0,0.0605135145660156,0,0,0,0,0.272357296773838,0,0,0,0,0,0,0,0,0,0.0467010172969831,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.187290807911512,0.161268820856005,0,0,0,0,0.00750369717805452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118520941279533,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0209604701727459,0,0,0,0.146629393046958,0,0,0,0,0.00692062074833146,0,0,0.0130826838056085,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151203388727032,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0136710604888108,0,0.0647007485943834,0,0,0.113970506095796,0,0.427940022476344,0,0,0.0063888610440909,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00725548617125436,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.36241355607835,0,0,0,0,0,0.0121832764289695,0,0,0,0.0581590209917026,-0.0528342103833964,0,0.0130135113719563,0,0,0,0,0,0,0,0,0.0808158539432612,0.0183821269711652,0,0,0,0.436826499138693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011651339727128,-1.73472347597681e-18,0.153788762552013,0,-0.014180119579155,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.231054741755202,0,0,0,0,0,0,0,0.194372062666923,0,0,0,0,0,0,0,0.0272330942016708,0,0,0,0,0,0,0,0,0,0.0114035256364678,0.219510438292945,0,0.0435634343449232,0,0,0,0,0,0,0,0,0,0.101251347046489,0,0,0,0.088320981546917,0,0.103538512430831,-0.00425906246107752,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0929251921030959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723104023816542,0.148560701740605,0,0.338609492369674,0,0,0,0,0,0,0,0,0,0,0,0.0878720923699611,0,0,0,0,0,0,-0.0182597373964635,0,-0.0288856020562738,0,0,0,0,0,0,0
