,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600352.SH,X600886.SH,X600188.SH,X600362.SH,X000723.SZ,X600795.SH,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X000786.SZ,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X002466.SZ,X600299.SH,X002271.SZ,X000629.SZ,X601158.SH,X600489.SH,X600219.SH,X000883.SZ,X000553.SZ,X600808.SH,X600583.SH,X000630.SZ,X000825.SZ,X600339.SH,X600985.SH,X000990.SZ,X000027.SZ,X600426.SH,X601699.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0854290204876052,0,0,0,0,0,0,0,0.0280246933727002,0,0,0,0.0140725710175246,0,0,0,0,0,0,0,0,0,0.033259385565601,0,0,0,0,0,0,0,0.0149601525588148,0,0,0,0,0.0239005481742473,0,0,0,0,0.0136976162682083,0,-0.00711480629598886,-0.00408363303139719,0,0,0,0,0,0
X600028.SH,0,0,0.0217028256899361,0,0,0,0,0,0,0.0558979786290238,0,0,0,0,0,0,0,0,0,0,0.00347461128137265,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678568886947629,0,0.020366123624986,0,0.133189802314224,0.0194827759229452,0.0475566666025591,0,0,-0.0259151824936875,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,-0.0143786446429586,0.019215188547656,0,0,0,0,-0.0316913824082489,0,0.208520568250301,0,0,0,0.0238302504306047,0.0713891058942801,0,0.0211218936905394,0,0.125391772986734,0,0.0173550965569375,0,0,0,0,0,0,0,0,0,0,0,0.0450961257099682,0,0,0,0,0,0,0,0,0,0,0,0.0409342756032162,-0.0276270040358404,0,0,0,0.017596582431325,0,0
X600585.SH,0,0,0,0,0,0.151679456741262,0,0,0,0,0,0,0,0,-0.0228347357716082,0,0,0,0.024373733392751,0,0,0.475192453758023,0,0,0,0,0,0,0,0,0,-0.0364711627826613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00979561124674351,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0426287119696725,0,0,0,0,0,0,0.00112416294341954,0,0.0518743711860774,0,0,0.200475556742808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711066293521141,0,0,0,0,0.137951636286596,0,0,-0.0220360419297861,0,0,0,0,0,0
X600309.SH,0,0,0,0.213483643651852,0,0,0,0,0,0,0,0,0,0,0.0639091423767696,0,0,0,0.0173073999052646,0,0.100321200825796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117939545599587,0,0,0,0,0,0,0.0797763759384558,0,0.00800136702611708,0,0,0,2.16840434497101e-19,0,0,0,0,0.00538719537812138,0,0
X600011.SH,0,0,0,0,0,0,0,0.0676762738152622,0,0,0,0,0,0,0.138280120063505,0,0,0,0,0,0,0,0,0.527429416609609,0,0,0,-0.0676412591373264,-0.0119836314795251,0,0,0,0,0,0,0,0,0,-0.0236619850528864,0,0,0.0490151042870954,0,0.0191063670717889,0.0825963231889805,-0.0381519260637757,0,0,0,0.00491626541922434,0,0.0537818681886712,0,0,-0.216472362232843,0,0.0230910584202828,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388487574742752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622513630629389,0,0.0575595146425778,0,0,0.232375918539328,0,0,0,0,0,0,0,0,0,0.0229497590148207,0,0,0.139398478728786,0,0.00210562816553619,0,0,0,0,-0.00620834711966453,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511266605857765,0,0,0,0,0,0,0,0.334796832275593,0,0,0.0325795245208076,0,0,0,0,0,0,0,0,0,0,0.0670628004251552,0,0.0196989737190966,-0.0241047537629894,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.141659218972833,0,0,0,0,0,0,0,0,0,0.226798988489942,0,0,0,0.0771657229759748,0,0,0,0,0,0.041581595032289,0,0,0,0,0,0,0,0,0.0933349750947393,0,0,0,0,0,0,0,0,0.000475096412607979,0,0.144908979625177,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364772356622865,0.0274157270098764,0,0.074544080428137,0.062647807449469,0,0,0,0,0.151423209446748,0,0.00468299643823427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466962895986603,0,0,0,0,0.0771253328584973,0,0,-0.0514075662505755,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874932775122071,0,0,0.0146396910408859,0,0.0399941618794229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393097624730105,0,0,0.0508988391422823,0,0.0290052535643979,0,0.111507749684614,0,0,-0.0611882029177956,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294614999837027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216037062607337,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0429195066780146,0.0766793322833356,0,-0.00145754817439399,-0.0263273678745798,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0412047465126562,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0480522933661031,0,0,0,0.0135656304480742,0,0,0.0974970651579926,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0252044863980624,0,0.0494981246301173,0,0.0358109780764163,0,-0.030084764425971,0,0,0,0,-0.0156257181055791,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202613670023678,0,0,0.260447244470477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203589556361556,0,0,0,0,0,0,0,0,0,-0.110592032666821,0.210489959652808,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0.0149267185324208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225747542695848,0,0,0,0,0,0,0.0361215206137476,0,0,0,0.0228027576417069,0,0,0.0107677669075738,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.007439400703278,0,0,0,0,0,0,0,0,0,0.0262159494903576,0.0426055838831623,0,0,0,0,0,0,0,0,0.0240755221691806,0.0944236131360978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814417526601975,0.0099207975465427,0,0.214922603506369,0,0.145708942534385,0,0,0,0,0,0,0,0,0
