,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X002466.SZ,X601898.SH,X600111.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600362.SH,X600795.SH,X600426.SH,X000983.SZ,X600803.SH,X000786.SZ,X600096.SH,X000723.SZ,X000408.SZ,X601699.SH,X601991.SH,X600486.SH,X600219.SH,X600141.SH,X600801.SH,X002353.SZ,X600295.SH,X000807.SZ,X300073.SZ,X600027.SH,X600985.SH,X002080.SZ,X600157.SH,X000683.SZ,X000830.SZ,X000932.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136793235714431,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0672030616937669,0.103292389123945,0,0,0,0,0,0,0.118356270360831,0,0,0,0,-0.00931859760755024,-0.0390630802769447,0,0,0,0,0,0
X601088.SH,0.0570798713054253,0,0,0,0,0.088313054636234,0,0,0,0,0.148691401942817,0,0,0,-0.0370914717933394,0,0,0,0,0,0,0,0,0,0,0,0.0287571141656537,0,-0.00148465661800266,0,0,0,0.104427260134083,0,0.0364120316984195,0,0,0,0,0.167924249391432,0,0,0,0,0,0,0,0,0,0,0,0.0294921164384279,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117863763599196,0,0,0,0,0,0.0655523706897002,0,0,0,0,0.0507531460591816,0,0,0,0.0298534360646382,0,0,0,0.0127135003687524,0.0133820616554392,0,0,0,0,0,0,0.0033251631387857,0,0,0,0,-0.00318857017337921,-0.0219755967277279,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0305796619654661,0,0,0,0,0.0551107322995659,0,0,0.0352656516145615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215844015007499,0,0,0,0,0,0.166733636372536,0.0474524628945768,0,0,0,0,0,0,0,0,0.069915159509562,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0354927097813681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212244017159228,0,0.0346895461502963,0,0,0,0,0,0,0.411022859719597,0.0181942092553169,0,0,0,0,0,0,0,0,0,0.0388510415820131,0,0,-0.0014439154918161,0,0,0,0,0,0,0
X600188.SH,0,0.448685950545752,0,0,0,0,0,0.122880997861105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962980382149956,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.17440037713319,0,0,0,0,0,0,0,0.055526943449035,-0.124318402830274,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.512520557693806,0,0.169497001141906,0,0,0.00617584614113665,0,0,0,0,0.00828769406304383,0,0,0,0,0,0,0.0231491162960987,0,0,0,0.118139779004063,0,0.0855447658033731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0361955267684459,-0.010623757444031,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0282983535509283,0.218091968935372,0,0,0.182650935643299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663840303328213,0,0,0,0.129420320704345,0,0,0,0,0.248405759569608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336465622308383,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131768833356638,0,0,0.0903605360604468,0,0,0.00828466512642109,0,0.458195990218593,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.89991570604576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.0504767064521513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676132431320162,0,0,0,0,0,0.271166792545105,0,0,0,0,0,0,0.192218850524583,0,0,0,0.0716729277590612,0,0,1.73472347597681e-18,0,0,0,0,-0.0181507891030693,-0.0521331639943505,0,0,0,0,0,0
X600111.SH,0,-0.0939614039161203,0,0,0,0,0.184604594234627,0,0,0,0,0,0,0,0,0,0,0.409294704146976,0,0.196683423308626,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0784451345633114,0.290570467052547,0,0,0,0,0,0,0,0,0,0.0287954249211267,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215879975619781,0,0.155273175933944,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0.23493485969643,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0393475477608594,0,0,0,0,0.244112241831459,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0403124032712265,0,0,0,0,0,-0.105386421507569,0,0,0,0,0,0,0,0.222096427254829,0,0,0,0,-0.112462744969204,0,0,0.0154524055590259,0,0,0,0,0,-0.0305468939878352,0,0,0.163046830127843,0.597613047762295,0,0,0,0,0,0,0,0,0.0777340861190895,0.0591712263914042,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0940619943715557,0,0,0.0831142531161543,0,0.0356723189842456,0,0,0,0,0.0603366179532553,0,0.060539015581623,0,0,0,0,0,0,0,0,0.206281981657937,0,0,0,0,0,0,0.108390072097567,0,-0.279732229874162,0,0,0,-0.0282978753886516,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0386392798329037,-0.00194636412437911,0,0,0,0,0,0
