,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600188.SH,X600362.SH,X600886.SH,X600623.SH,X002466.SZ,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X600489.SH,X600549.SH,X600583.SH,X300072.SZ,X601158.SH,X002075.SZ,X000883.SZ,X000709.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X002407.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X000983.SZ,X600021.SH,X600176.SH,X000060.SZ,X600098.SH,X000761.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0482978223540243,0,0,0,0.0573588196822212,0,0,0,0,0.000419801541464634,0,0,0,0,0,0,0,0,0.0588352666832706,0,0,0.107977506324935,0,0,0,0,0,0,0,0,-0.04013888674564,0,0,-0.015388237731765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.120853143623746,0,0,0,0,0,0,-0.00548547941926232,0,0.158196179730582,0,0,0,0,-0.014919844441319,0,0,0,0.0563467424449232,0,0,0.0506290680645506,0,0,0,0,0,0,0,0,-0.0168895153208043,0,0,-0.0362811773918152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.12852051585296,0,0,0,0,0,0,0,0.00799227380009642,0,0,0,0.032269273418249,0,0,0,0,0,0.0364300765834253,0,0,0.0260666436608495,0,0,0,0,0,0,0,0,0,0.121878700106399,0,0,0,0,0,0,0.0424830258986439,0,0,0.0456246664397998,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0559126645901141,0,0,0,0,0,0,0,0,0,0,0.104283713288126,0,0,0,0,0,0,0.00656743199026782,0.0104790480314184,0,0.0271321886049338,0,0,0.116264698344418,0,0,0,0,0,0,0,0,0,0.00843598374648421,0,0,0,0.0175378481495061,0,0,0,0,0,0,0,-0.016043887794299,0.016528761275661,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.174754268080102,0,0.293704572099953,0,0,0,0,0,0,0,0,0,0.0438599788844934,0,0,0,0,0.0155392090127249,0.089896505195783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00891277261706715,0,0,-1.73472347597681e-18,0,0,0,0.00151407597078804,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00909407060480629,0,0.091642522212291,0,0,0,0,0,0,0,0,0.0402688828024164,0,0,0,0,0,0,0,0,0.0349354375191948,0,0,0.093193750214419,0,0,0.0827676017364459,0,0.341313137902719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152156081892114,0,0,0,0,0,0,0
X600585.SH,0,0,0.410503932032647,0,0,0,0,0,0,0,0,0.186649802004276,0,0,0,0,0,0,0.0593555085242768,0,0,0,0.063652643511742,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520402587708829,0,0,0,0,0,0,0,0,0,-0.00992933004544597,0,0.186754726126023,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197518962001298,0,0,0,0,0,0,0,0,0,0,0,0.000312282545797328,0,0.218844863057538,0,0.207569377820344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12584681938723,0.00524827981418299,0,0,0,-0.0110659968474541,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0567275326931564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117927426583287,0,0,0.0296572250988912,0,0.0274161090378993,0,0,0,0,0,0,0,0.085573018498899,0,0,0,0.0118734707672592,0,0,0.2142566734949,0,0.0717148566033856,0,0.0576361649913554,0.0286631641022607,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.173047665434151,0,0,0,0,0,0,0.0378956748845643,0,0,0,0,0,0,0,0,0.0933681281496383,0,0,0,0.0186252552023729,0,0,0,0,0,0.0686791228506794,0,0,0,0,0,0,0,0,0,0.231505659347117,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0933055520304297,0,0,0,0,0.0216573309522267,0,0,0,0,0.0218098360264326,0,0,0,0,0,0,0.0319306547655052,0,0,0,0,0,0.020886385687501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468198284041186,0.0148640734898192,0,0.048659001093695,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.265613039621706,0,0,0,0,0,0,0,0,0,0,0.100877356783845,0,0,0.0409572212864482,0,0,0.0322916532596567,0,0,0,0,0,0.292029087286495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0787095764915685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624087701810268,0,0,0,0,0,0.0341882337900496,0,0,0,0,0,0,0,0,0,0,0.0427320479167817,0,0,0.0169396605142264,0.134731159088752,0.0645598179427779,0.06203315714156,0,0,0,0,-0.0419367216436862,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.0998974405867565,0.0529022659838628,0,0,0,0,0,0,0,0,0,0.0709110316237076,0.00524821116058249,0.0272831039140064,0,0,0,0,0.025824180399682,0,0,0,0,0,0.0214709749747111,0,0,0,0,0,0,0,0,0,0,0.00578480722102265,0,0,0,0,0,0.0658122442294087,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0.0799966096779572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912779625911143,0,0.051225771113641,0,0,0,0,0,0.0245930703968931,0,0,0,0,0,0,0.0323730282856666,0,0.0817258112891902,0.111430264862813,0,0,0,0,0.0409039828651516,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0529224350877146,0,0,0,0.14875119475962,0,0,0,0,0.0606063180552174,0,0,0,0,0.10674143049533,0,0.079532671012653,0,0,0,0.0806374371609575,0,0,0,0.0990224061276369,0,0,0,0,0,0,0,0,-0.0717323692293856,0,0,0,0.366679432985274,0,0,0,0,0,0,-0.00549634649874382,0,0,0,0,0,0,0
X600362.SH,0,0,0.241932953563805,0,0,0,0,0.0522584665826148,0,0,0,0.0894336433069403,0,0,0,0.251824622214785,0,0,0,0,0,0,0,0,0,0,0,0.0465705757608511,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224099666545045,0,0,0,0,0,0,0.246542593618617,0,0,0,-0.0529952855508428,0.0149232806413215,0,0,0,0,0,0
X600886.SH,0,0,0,0.224093486652525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807779553271105,0,0.116008326042942,0,0,0,0,0,0,-0.00147033204639988,0.115964703842087,0,-0.0198509343591961,0,0,0.0410723080501686,0,0,0.0222589314326793,0,0.0575473116507144,0,0,0.0102552735541469,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0.0715981282735088,0,0,0,0,0.169249266170781,0,0,0,0,0,0,0,0,0,0,0,0,0.184077041546784,0,0,0,0,0,0,0.108595717915188,0,0.218627519480884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.106849690242742,0,0,0,0.0468953011778688,0,0,0,0,0,0,0.00245866967786064,0,0,-0.102923732389988,0,0.0107276371991083,0.270162102253997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248373616407763,0.587488284114149,0,0,0,0,0,0,0,-0.124616038591651,0,0.045701249569968,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0.238673673581708,0.0293332043175766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218544051410457,0,0,-0.0697871830000911,0.310533880927648,0,0,0.00517147448272662,0,0,0,0,0,-0.0862951999719383,0,0.0839939022613759,0,0.054024090741577,0,0,0.0744178943257373,0,0,0,0,0,0,0,0.0142271285413011,0.0507206913345176,0,0,0,0,0
