,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X002466.SZ,X600019.SH,X600011.SH,X600010.SH,X600660.SH,X000877.SZ,X000301.SZ,X002271.SZ,X600188.SH,X601600.SH,X000708.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X000408.SZ,X000723.SZ,X002080.SZ,X600219.SH,X000786.SZ,X601991.SH,X600803.SH,X600795.SH,X002326.SZ,X300073.SZ,X300037.SZ,X600399.SH,X000831.SZ,X600027.SH,X600141.SH,X600688.SH,X600516.SH,X000959.SZ,X600096.SH,X600157.SH,X600486.SH,X600352.SH,X000825.SZ,X600489.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0642700325086043,0,0,0,0,0,0,0,0,0,0.0442304240624803,0,0,0.0749364683344844,0,0.136568664688525,0,0,0,0,0,0,0,0.0411709430317736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177854531069797,0,0,0.00788768820184649,0,0.104233395116422,0,0,0,0,0,0,0,-0.0204911977517886,0,0,0,0,0,0,0
X600028.SH,0.163783786822485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413436531964305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496251937966372,0,0,0,0.0838933132144223,0,0,0,0,0,0,-0.0322871776497641,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.025115702760162,0,0,0.046374759681856,0.0816627076148582,0,0,0,0,0.218692650595871,0,0,0,0.374193533074487,0,0,0,0,0,0.0379504217600958,0,0.0283158071444288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205584223560342,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.107211515509598,0,0,0,0,0,-0.0563880284661565,0,0,0,0.0671319296214201,0,0,0,0,0,0,0.244922950717709,0,0,0.0703429609222534,0,0.12127741282161,0,0,0,-0.080592061070185,0,0,0,0,-0.0289536321583253,-0.0317680501471714,0,-0.0143681934847564,0,0,0,0,0,0,0,0,0,0,0.0263172282593757,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0624606181793415,0.447389181467685,0,0,0,0.151240325264177,0,0.100934136118071,0,-0.0121578202848849,0,0,0,0,0,0,0,0,0.0887916178849129,0,0,0,0,0,0,0,0.0272104281857941,0,0,0,0,0,0.0151109829657439,0,0,0,0,0,0,0,-0.0687208304014152,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233135081415282,0,0.0592418622392265,0.0854727027804189,0,0,0,0,0,0,0.140083786843324,0.0353028042439198,0.0323839946612055,0,-0.0417064607244926,0,0.277256405363148,0,0,0,0,0,0,0,-0.0626210795148708,0,0,0,0,0.106106191801049,0,0,0,0,0,0,0,0,-0.00302188444763637,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0288585194805388,0,0,0.163907197043127,0,0,0.37021467534956,0,0,0.0379274575917333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14751184607366,0.160004523675852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.366347535644845,0,0,0,0,0,0,0.116478353109396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781338668189997,0,0,0,0,0,0,0,0,0.119710549312375,0,0,0,0,0,0.247559030262413,0.0450358286906365,0,0,0,0,0,-0.0929149578535519,0,0,0,-0.0324945747628343,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.328243218485775,0,0,0.227694972327368,0,0,0,0.270283009246996,0,0,0.045778118127614,0,0,0,0,0,0,0,0,0,0,0.103198291775767,0,0,0,0,0,0,0,0.0559833923376901,0,0,0,0.0205540923381355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857396884345608,0,0,0.154514364836781,0,0,0,0,0,0,0,0,0.0278836931496034,0.0180297725965716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029240897145231,0,0,0.21373178807869,0,0,0,-0.0291038671593367,0,0,0,0,0,0,0
