,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X600011.SH,X000792.SZ,X601898.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X600795.SH,X600886.SH,X000877.SZ,X600547.SH,X601991.SH,X601600.SH,X600027.SH,X600426.SH,X002271.SZ,X000983.SZ,X600803.SH,X600362.SH,X600176.SH,X600348.SH,X000408.SZ,X601699.SH,X000629.SZ,X000723.SZ,X600096.SH,X000786.SZ,X600160.SH,X600995.SH,X600985.SH,X600219.SH,X600378.SH,X600157.SH,X002080.SZ,X600141.SH,X600688.SH,X600489.SH,X002353.SZ,X600549.SH,X000933.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.143335805422501,0,-0.0135564210798871,0,0,0,0,0,0,0,0,0,0.0679518868960597,0,0,0,0.0220963617803284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192122892241549,0,0,0,-0.0350575005557579,0.00378765602113485,0,0,0,0,0,0
X601088.SH,0,0,0,0.110133382270664,0.357152558941628,0,0,0,0,0,0.248508287512888,0,-0.0108489030589918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245485529592949,0,0,0,0,0,0.120056340751807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717353422491195,0,0,0,-0.0261561921037958,0,0,0,0,0,0
X600028.SH,0.206870989286057,0,0,0,0,0.0126483726339157,0,0,0,0,0.0638460231177544,0,0,0,0,0,0,0,0,0,0,0,0.111240685419383,0,0,0,0.0155979038948702,0.0734145849731764,0,0,-0.00742292503828898,0,0,0,0,0,0,0,0,0,0,0,0.00384299483245397,0,0,0,0.0321301193377044,0,0,0,0,0.0011783733534839,0.00548615892109186,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731111131867603,0,0,0,0,0,0.0419303508059761,-0.0663756327012254,0,0,0,0,0.0120969226571938,0.151446100310247,0.00486654148465202,0.0301355173128607,0.104805030226721,0,0,0,0,0,0,0,0,0.0193375312848557,0,0,8.67361737988404e-19,0.00557284202297268,0,0,0,0,0,0
X600188.SH,0,0.5148533537432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198554825852029,0,0,0,0,0,0,0,0,0,0.162140630371102,0,0,-0.162085145420861,0.0889021099427093,0,0,-0.0301087253397556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862184876915942,0.0573664163108384,0,-0.0345350114270581,0.0309329982028555,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.528495213008802,0,0,0,0,0,0.0774212328754377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263277996198096,0,0,0,0,0,0,0,0.0572428398623524,0,0,0,0,0.215558347430794,-0.0819868957461896,0,0,0,-0.11353181292623,0,0.0973240047886597,-0.0131976549025141,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.408833172879254,0,0,0,0,0,0,0,0.0387252496294919,0,0,0,0.0537469434941726,0,0,0,0,0,0,0,0,0,-0.0804769361082239,0,0,0.059365482897372,0,0,0.0405784392004998,0,0,0,0,0.0184650405513554,0,0,0,0,0,0,0,0,0,0,0.0314040432062644,0,0.07991025675507,-0.0333392031425396,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.0499784994847991,0,0,0.139934897482008,0,0,0,-0.044808845019909,0,0,0,0,0.0226413260233999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607199548749582,0.324013353508189,0,-0.0214763786989856,0,0,0,0,0.0589495826896972,0,0,0,0,0,0,0,0,0.0237958779565676,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130512920615278,0,0,0,0,0,0.322050649074771,0,0,0,0,0,0,-0.0288713228102681,0,0,0,0,0,0,0,-0.0247269124850013,0,0,0,0.408375660037337,0,0,0,0,0,-0.0585335944282088,0,0,0,-0.0255278770671943,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.160767702100934,0.143286445592635,0,0.118683406487161,0,0,0,0,0.0251106320577955,0,0,0,0,0,0,0,0,0.141311380715699,0.0108079276164843,0,0,0,0,0,0,0,0.189567000475413,0,0,0,0,0.186807983120478,0,0,0,0,0,0,0,0,0,0,0,0.0061996594734895,0.0289730214634227,0,0,0.0234296328501829,0,0,0,0,0,0
