,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X002271.SZ,X600795.SH,X600362.SH,X600426.SH,X601699.SH,X600027.SH,X000983.SZ,X600803.SH,X601991.SH,X600176.SH,X600489.SH,X000807.SZ,X000786.SZ,X600995.SH,X600219.SH,X600160.SH,X000408.SZ,X000629.SZ,X600688.SH,X000932.SZ,X300037.SZ,X600096.SH,X000933.SZ,X002080.SZ,X600612.SH,X600348.SH,X000723.SZ,X600985.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.59342119889239,0,0,0.0331853193628012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997192704556623,0.0336915073429735,0,0,0,0,0,0,0,0,0,0.0375307782754041,0,0.075513376874699,0,0,0,0,0,0.0611390090141994,0,0.0502651406062871,0,0,0,0,0
X600028.SH,0.700137715856995,0,0,0,-0.0887086030266567,0,0,0,0,-0.0716679027829086,0.086798059774018,0.0346715544087173,0,0.0130775020713463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895919664942336,-0.0363919148511174,0,0,-0.0716308297282737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415510805008994,-0.038967435681397,0,0,0,0,0,0
X601088.SH,0.0257051855191066,0,0,0,0,0,0,0,0,0,0.0948289485183375,0,0,0.0632627869887333,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.00805510888518884,0,0,0,0.196397180405384,0,0,0.136811494467732,0,0,0,0,0,0,0,-0.00912448078413876,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0515924753848468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456647316709355,0,0,0.202503246235627,0,0,0,0,0,0,0,0.0938283660890814,0,0,0,0,-0.0532054704389944,0,0,0,0,0,0.0418029997095359,0,0,0,0,0,0,0,-0.00116920901528938,0,0,0,0,0,0,0
X600188.SH,0.0533832669345444,0,0,0,0,0,0,0,0,0,0,-0.0246077721937736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136018478220762,0,0.0438835831581961,0,-0.111770140627776,0,0,0,0,0,0,0,0,0,0,0,0.00507717713002121,0,0.208786583075633,0,0,0.181062118393603,0,0.189804327543917,0,0,-0.0438726013728206,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854905682088556,0,0,0,0,0,0,0,-0.0805507672679229,0,0,0,0,0.477787972243354,-0.142366364692299,0,0,0,0.0292065634634307,0,0,0,0,0,0,0,0,0,0.0168847759542058,0,0,0.0528229511857458,-0.198080282937511,0,0,0,0,0,-0.0155693585795042,0,0,0,0,0,0,0
X600019.SH,0,0.185099879207585,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.06973951680891,0,0,0,0,0.0177356232534771,0,0,0,0,0.0494453977302647,0,0,0,0.0297382458439886,0,0,0,0.128941431734017,-0.0629116131849514,0,0,0,0,0,0,0,0,0,0.0788823379121363,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0285968928770416,-0.0193740513993884,0,0,0,0,0,-0.0112581976602321,0,0,0,0,0,0,0,0,0,0.352618901909253,0.119065076508249,0,0,0,0,0,0,0,0,0.153672602044075,0,0,0,0,0,0,-0.0412756363952179,0,0,0,0.0102931297937174,0,0.093564935261245,-0.0601973571194709,0,0,0,0,0,0,0.0121505182756406,-0.00153265059391952,0,0,0,0,0,0
X002460.SZ,-0.0201030822482764,0,0,0,0,0,0,0,0,0.711456728100952,0,0,0,0,0,0,0,0,0,0,0.19091438888966,0,0,0,0,0,0,0,0,0,0,0,0,-0.113010244849499,0,0,0,0.0612614407748964,0,0,0,0,0,0,0,-0.0406892090312686,0,0,0,0,0,0,-0.0148214270890412,0,0,0,0,0,0
X002466.SZ,0,0,0,-0.00139497028472488,0,0,0,0,0.530463561886831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461514974500613,0,0,0,0,0.125032403049209,0,0,0,0,0,0,0.0508787881209834,0.112997017412533,0,0,0.115271205494003,0,0,0,0.00131286322438498,0.00927197109157563,0,0.0825349902210837,0,0,0,0
