,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600188.SH,X600011.SH,X601898.SH,X600362.SH,X600688.SH,X300072.SZ,X600660.SH,X600795.SH,X000898.SZ,X002466.SZ,X601992.SH,X600547.SH,X601991.SH,X600176.SH,X600886.SH,X600111.SH,X000786.SZ,X600516.SH,X000709.SZ,X600352.SH,X601699.SH,X002460.SZ,X600157.SH,X000825.SZ,X600808.SH,X000553.SZ,X600027.SH,X000830.SZ,X002271.SZ,X000983.SZ,X000959.SZ,X002110.SZ,X000792.SZ,X600583.SH,X000408.SZ,X600299.SH,X600489.SH,X600219.SH,X002092.SZ,X600426.SH,X601158.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.369644661504979,0.0381839915577038,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0.0574583183856645,0,0,0,0,0,0,0,0.00347918353682642,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338746329320726,0,0,0,0,0,0,0.0123723185270722,0,0,0,0,0,0,0,0,0.00300379633973019,0,0,0,0,0,0
X600028.SH,0.205047055054391,0,0,0,0,0,0,0,0,0,0,0.345395908769888,0,0,0,0,0,0.00963776219243502,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0242635465566567,0,0,0,-0.11440167473945,0,0,0,0,0,0.0874136846325181,0,0,0,0,0,0,0,0,-0.0133205984654973,0.0188610774472872,0,0,0,0,0,0
X601088.SH,0,0,0,0.142729004103151,0.141514853673516,0,0,0.0744386933672513,0,0,0,0,0,0,0,0,0,-0.0486357976693736,0,0,0,0,0,0,0,0,0,0.14018499564045,0,0,0,0,0,0,0.0928918977415814,0,0,0,0,-0.0438196342384018,0,0,0,0,0,0,0,0,0,-0.0237509302415937,0.0407888889856191,0,0,0,0,0,0
X600019.SH,0,0,0.211852306808402,0,0.11169780356064,0,0,0,0,0,0,0,0,0,0,0.187229926312756,0,0,0,0,0,0,0,0,0,0,0,0,-0.112365288343796,0,0,0.245643193651371,0,0,0,0,0,0,0.0343691717731184,0,0,0,0,0,0,0,0,0,0,0,0.0103805437619573,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.274946650235027,0,0,0.153313939139117,0,0,0,0,0,0.0413887555466665,0,0,0,0,0,0,0.249477734569064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543409158632113,-0.285007441207293,0,0,0.0147104636936844,0,0,0,0.00778099021159564,0,0,-0.0238834150770001,0.0222303126339412,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0550844973202205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839260887506891,0,0,0,0,0,0,0,2.16840434497101e-19,0.00289925279799666,0.0599634649363959,0,0.0391127124295474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487480122321196,0,0,0,0,0,0
X600309.SH,0,-0.00157141720160116,0,0,0,0,0,0,0,0,0,-0.0147672705999627,0,0,0,0,0,0,0,0,0,0,0,0.133553629083389,0,0,0,-0.039096598898169,0,0,0.0585905398752154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170807290856924,0.040669934637419,0,0,0,0,0,0
X600188.SH,0,-0.0917239565614923,0,0,0.127200833975053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124171649643298,0,0,0,0.437598799268444,0.197506752535724,0,0,0.0120763851838496,0,0,0,0,0,0,0.02692857280709,0,0,0,0,0,0,0,0,0,0,0.0219104111280349,-0.0176803308772524,0,0,0,0,0,0
X600011.SH,0,0,0,-0.118423703533244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195788273674548,0,0.0603951421645018,-0.0888332073353285,0,0,0,0.0432855620999309,0,0,0,0,0,0,0,0.0521926848696408,0,0.00810494566647208,0,0,0,0,0,0,0,0,0,0,0,0.0667676244725118,0,0,0,-0.0082754852466211,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.111443196023507,0,0,0,0,0,0,0,0,0,0.022245247589322,0,0,0,0,0,0,0,0,0,0.135067209992851,0,0,0,0,0,0,0,0,0,0,0,0.0915256275569085,0,0,0,0,0,0.0351022666541528,0,0,0,0,0,0,0,0,0,0,0
