,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X600585.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X000708.SZ,X600111.SH,X002460.SZ,X600010.SH,X600027.SH,X600489.SH,X601699.SH,X600160.SH,X000301.SZ,X002466.SZ,X600426.SH,X000983.SZ,X601991.SH,X600803.SH,X000786.SZ,X000877.SZ,X000933.SZ,X600985.SH,X000807.SZ,X600176.SH,X000630.SZ,X002128.SZ,X601168.SH,X000408.SZ,X600219.SH,X600612.SH,X600096.SH,X002271.SZ,X000883.SZ,X600348.SH,X000932.SZ,X000027.SZ,X600295.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.328221317767639,0,0,0,0,0.0304706549709098,0,0.0777406045025124,0,0,0,0,0,0,0,0,-0.114979765037802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00726704817164247,0,0,0,0,0,0,0,0,0,0,0,0,0.110941242906753,0,0,0,0.0135908258314065,0,0,0,0,0,0
X601088.SH,0.177248799195793,0,0,0,0.0602618672182709,0.212490960206689,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160928208769278,0,0,0,0,0,0,0,0,0.156340502300205,0,0,0,0,0,0.0222012396868208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109420068507148,0,0,0,0,0,0
X600028.SH,0.415340983086028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529066041858191,-0.031867699331918,0.0296487551687796,0.0660509637075174,0.0110294941718669,0,0,0,0,0,0,0,-0.122554621373557,0,0,0,0,0,0,0,0.033735807286282,0,0,0,0,0,0,0,0,0.029690891671741,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143175792105288,0,0,0,0,0.234396936852223,0,0,0,0,0.0456285209768968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107720807421355,0,0,0,0,0,0,0,0,0
X600188.SH,0.00568553357750858,0.0241310029864671,0,0,0,0.193427911858934,0,0,0.0657732574095695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245970222414409,0,0,0,0,0,0,0,-0.116154297500479,0,0.0760188990045186,0,0,0,0,0.0299150221099824,0,0,0,0,0,-0.0621129854129481,0,0.0426246036644346,0,0,0,0,0,0,-0.0387359204650575,0,0,0,0,0,0
X601898.SH,0,0.214029112465533,0,0,0.124431301398214,0,0,0.0863044190921855,0,0,0,0,0,0,0.0655065586243261,0,0,0,0,0,0.151689193565079,0,0.14593199021644,0,0,-0.00782905511836344,0,0,0,0,0,0,-0.0152808147460445,0.362344739914468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133394425943025,-0.0929773366317401,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722874442705562,0,0,0,0.0536311759314675,0,0,0,0,0,0,0,0,0.00810357987173465,0,0,0,0,0,0,0,0,0.0865965624041272,0,0,-0.0526282657438901,0,0,0,0,0.0535567440280992,0,0,-2.16840434497101e-19,-0.0424947411471,0,0.0102799571059834,0,0,0,0,0,0
X600011.SH,0.0123979540407719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442775680413352,0,0.0451606364751557,0,-0.0578581455467794,0,0.0874614759121032,0,-0.0315146409246726,0,0,0,0,0,0.253844033692537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317435007435136,0,0,0.00015016747434285,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0157093717690061,0,0,0,0,0,0,0,0,0,0,0.0222176008884757,0,0,0,0,0.658434443548524,0,0,0,0,0,0,0,0,0,0,0.130740009268454,0,0,-0.0189399541525942,0,-0.105823256169882,0,0.0461856323632264,0,0,0,0,0,0,0,0,0,0,0,0,0.0252685075858615,-0.0400131814999623,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.112485309808509,0,0,-0.0572832545736161,0,0,0,0,0,0,0,0.171562453555259,0,0,0,0.205959247289671,0,0,0.0971366093166055,0,0,0.0172239307999776,0,0,0.134133522292603,0,0,0.00130398966165778,0,0.187689094577676,0,0,0,0.117160701456825,0.122677338235705,0,0.111500620544239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
