,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600660.SH,X600188.SH,X600019.SH,X600886.SH,X600547.SH,X601600.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X600803.SH,X000708.SZ,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600160.SH,X600426.SH,X002466.SZ,X600219.SH,X000983.SZ,X000807.SZ,X000786.SZ,X601699.SH,X000630.SZ,X000408.SZ,X600176.SH,X600985.SH,X002128.SZ,X600096.SH,X601168.SH,X000877.SZ,X000933.SZ,X000883.SZ,X600352.SH,X600995.SH,X600378.SH,X600688.SH,X600299.SH,X600863.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.288073722971461,0,0,0.172569042116375,0,0,0,0.162341515225181,0,0,0,0,0.0939441033278657,0,0,0,0.0665605776771063,0,0,0,0,0,0,0,0,0,0,0.159408281429916,0,0,0,0,0.25181022810225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289856364077918,0,0,0,0,-0.0195066505215713,0,0
X600028.SH,0.266154011265742,0,0,0,0.297838917051712,0,0,0,0.108703522069811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569406627364191,0,-0.087426374080471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019523334320595,0,0,0,0,-0.0396777413298779,0,0
X601088.SH,0.0757803288255254,0,0,0,0.208516104795897,0,0.0993619976742298,0,0,0,0,0,0,0.210466592324398,0,0,0,0,0,0,0,0,-0.016624601704431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193679712291607,0,0,0,0,-8.67361737988404e-19,0,0,-0.00206647744284427,0,0,0,0,0,0,-0.0226104306427571,0,0,0,0,0,0
X600309.SH,-0.0171654432297643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000585104406583368,0,0,0,0,0.314780420919961,0,0,0,0,0.0364219308510232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22923866671299,0,-0.0728060045724906,-0.0496033026415606,0,0,0,-4.33680868994202e-19,0,0
X601898.SH,0,0.295767816320078,0.0523903547343635,0,0,0,0.199076368419889,0,0,0.0264274699186873,0.119783862451952,0,0,0,0,0,0,0.0383338470416693,0,0,0,0,0,0,0,0,0,-0.0347327898259859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333436545382965,0.0176500522540614,0,0,0,0,0,0.11157453302405,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X600660.SH,0,0,0,0,0,0,0,-0.0557276197849178,0,0,0,0,0,0,0,0,0,-0.0252177396831217,0,0,0,0,0,0,0,0,0.263125318240732,0.199276204479584,0,0,0,0,0,0,0,0,0,0,0.132609359599711,-0.259037701596138,-0.0655038344505643,0,0,0,0,0,0,0,0,0,0,-0.106195107166227,-0.00554809174811303,-0.219571961917823,0,0,-0.0234071717692515,0,0
X600188.SH,0,0,0,0,0.0985730729688771,0,0,0,0,0,0,0,0,0.0443019377835345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327734014798985,0,0,0,0.414354381038273,0,0,0,0,0,0,0,0,0,0,0,0.225068825882745,0.106467933251987,0,0,0.000882154316040652,0,0,0,0,0,0
X600019.SH,0.0767299292079249,0.180721198007379,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.109693783918053,0,0,0,0,0.0295730729589425,0,0,0,0,0,0,0,0,0,0,0.0151547779692094,0,0,0,0,0,0.158547612227936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.05746802034373,0,0
X600886.SH,0.103003925913948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108071717022013,0,0,0,0,0,0,0,-0.0621645987273336,0,0,0,-0.0817364120767662,0,0,0,-0.107628503372244,0,0,0,0,0,0,0.127099391970304,0,0,0,0,0,0,0,0,0.0128276498574374,0.00369456009754789,0.173736973413875,0,0,-0.0426174228029316,0,0
X600547.SH,0,0.0197316000071306,0,-0.00784264748673493,0,0,0.129460175305219,0,0,0,0,0,0,0,-0.0781404071810533,0,0,0.696665059742483,0.136048030388449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126577644132235,0.0106278188623786,0,0,0,0,0,0,-0.167174725397405,0,0,0,0,0.0202355248475637,0,0,0,0,0,0
