,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600111.SH,X600188.SH,X600547.SH,X600362.SH,X600157.SH,X600886.SH,X601992.SH,X600299.SH,X600660.SH,X600309.SH,X000792.SZ,X601158.SH,X600489.SH,X600583.SH,X000883.SZ,X000709.SZ,X300072.SZ,X600352.SH,X000539.SZ,X000898.SZ,X000723.SZ,X002460.SZ,X002407.SZ,X000027.SZ,X600549.SH,X000630.SZ,X002470.SZ,X002075.SZ,X600021.SH,X000012.SZ,X000983.SZ,X600098.SH,X600176.SH,X600612.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0535747140880279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048666223935901,0,0.19826310407539,0,0,0,0.0597785703760219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03155916664246,0,0,0,0.0088160901028325,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0935858951444256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515123079087975,0,0,0,0.298482133416586,0,0,0,0,0,0,-0.0616142443886078,0,-0.00692223450358996,0,0.0215631740187129,0,0,0,0,0,0,0,0,0.032206083342633,0,0,0.0054613222336507,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0997345956555246,0,0.186302397279024,0,0,0,0,0.0274002893953725,0,0,0,0,0,0,0,0,0,0,0.0841273720605443,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.122680709949609,0,0,0,0.0156683659192405,0,0,0,0,0,0,0.0345909694142532,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0841035311400476,0.0174577203195324,0,0,0,0,0.0854569425304561,0,0.00630480805103781,0,0,0,0,0,0,0,0,0,0,0.0510364979150298,0,0,0.10041744460832,0,0,0,0,0,0,0,0,0,0,0.0279422424178853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0.339289924841942,0,0,0,0.0331098932246471,0,0,0,0,0,0,0,0.017759736454684,0,0,0.0333805836987615,0,0,0,0,0.105168337213512,0,0,0,0.0922421274582648,0,0,0,0,0.00473677365176126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0125427392383215,0,0,0,0,0,0.0647485736094301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218263489111996,0,0,0,0,0.080000669328197,0,0,0,0,0.0377268156137607,0,0,0,0,0.153737911708808,0,-0.00140648310977651,0,0,0,0,0,0,0
X600585.SH,0,0,0.0915839108240383,0,0,0,0,0,0,0,0,0,0,0.0159220448291607,0,0.0819418496167934,0,0,0,0,0,0.165811464928474,0,0,0,0,0,0,0,0,0.243836315532256,0,0,0,0,0,0.0424871339326156,0,0,0.107271308647479,0,0,0,0,0,0,0,0,0,0,0,-0.0800304177297077,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.182552658611153,0,0,0.0818070047678876,0,0,0.0212274406452818,0,0,0,0.104153975533522,0,0,0,0,0.0974019504193786,0,0,0,1.73472347597681e-18,0,0,0,0.0911315633254638,0,0,0.0868865532192281,0,0,0,0,0.114315115419308,0,0.008896262344,0,-0.000517711586243693,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0528411145921113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466780914111299,0,0,0,0,0,0,0,0,0,0.103261736381026,0,0,0.130442624922572,0,0,0,0.0364399109597468,0,0,0,0,0,0.126194273985655,0,0.0610587391244969,0,0.0867177618200649,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477121389422647,0,0.182388966382559,0.097703002173096,0.0411873116023933,0,0,0,0,0,0,0,0.00761164771288807,0,0,0,0,0,0,0.0431386299197877,0,0,0.071437943185844,0,0,0,0.0222135640962941,0,0,0,0,0,0,0,0,0,0.238173414415953,0,-0.0243106561010023,0,0,0,0,0,0,0
