,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X000792.SZ,X002466.SZ,X600011.SH,X601898.SH,X000708.SZ,X600111.SH,X000301.SZ,X601600.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X600547.SH,X600886.SH,X600426.SH,X600795.SH,X600362.SH,X000983.SZ,X601699.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X600160.SH,X000807.SZ,X600995.SH,X000629.SZ,X600096.SH,X000408.SZ,X600219.SH,X000933.SZ,X600489.SH,X600378.SH,X000723.SZ,X000932.SZ,X600141.SH,X002080.SZ,X600348.SH,X000831.SZ,X600801.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0278929988716418,0,0,0,0,0,0,0,0,0,0.0587230140086922,0,0,0,0.158524900750931,0,0,0,0.0770715442962686,0,0,0,0,0,0.0175461976059913,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0173500659445976,0,-6.93889390390723e-18,0,0,0,0,2.16840434497101e-19,0,0,-0.0126474054926216,0.0225689648285672,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.14204058340635,0,0,0,0.0558395994258797,0,0,0.0437017720196068,0,0,0.0141015102222162,0,0,0,0,0,0,0,0,0.0319454789194293,0,0,0,0,0.0320454318742604,0,0,0,0,0,0,0,0.051091743511076,0,0,0,0,0,0,0,0,0.00943338304404776,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0720219727436027,0,0,0,0,0,0,0.163644867356151,0,0,0,0,0,0,0,0,0,0,0.0073038455269428,0,0,0,0.125662547625008,0,0.0407859617279488,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367741820308376,0,0,0,0,0,0,0,0,0,-0.0267016387569878,0.033573201435705,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.00442095074999845,0,0,0.0231579167073778,0.209413053553861,0,0,0,0,0,0,0,0.287513634379394,0,0,-0.020619198245277,0,0,0,0,0,0,0,0,0,0.0628367651563495,0,0,0,0,0,0,0,0.336951019696299,0,0,0,0,0,0,0,0,-0.0108081201126547,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.123529962512449,0,0,0.00168629526381132,0,0,0,0,0,0,0,0,0.167658118724744,0,0.125623777514149,0,0,0.0795345086851784,0,0,0,0,0.0952870001064959,0,0,3.46944695195361e-18,0,0,0.123656974179967,0,0,0,0,0,0,0.101846029288181,0,0,0,0,-2.16840434497101e-19,0.0053196422897959,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186607050488776,0,0,0,0,0.321248766247353,0,0,0,0,0,0,0,0,0,0,0,0.150240001357049,0,0,0,0,0,0,0,0.13489266696966,0,0,0,0,0,0,0,0,0.136888561891367,0,0,-0.00802495505388184,0.0176721551960277,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149364647466966,0.103060803877202,0,0,0.0349584193571442,0,0,0,0,0,0,0,0,0.162096143906843,0,0,0,0.0933374725700248,0,0,0,0,0,0,0,0,0,0,0,0,0.0556607953615583,0,0,0,0.158520063603984,0.115916336624867,0,0,-0.00753272787181729,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0190173622881575,0,0,0,0,0.621906764963842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361515383054069,0,0,0,0,0,-0.0430048984690034,0,0,0,0,0,0.133679453103092,0,0,0,0,0,0,0,0.0452409567210601,0,0,0,0,0,0.0109129987111367,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0518452923532351,0,0,0,0,0,0.114184653342667,0.00483633853280497,0,0,0.0345588237915707,0,0,0,0,0,0,0.119416175850797,0,0.116453869026954,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197946610672733,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.572550080821381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154511961622967,0,0,0,0.14395910438929,0,0,0,0,0,0,0,0.0803711869074703,0,0,0,0,0,0,-0.030527556612945,0,-0.114964346632991,0.00219582782280957,0,0,0,0,0,0,0
