,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X600157.SH,X002075.SZ,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X600022.SH,X600309.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X000878.SZ,X601918.SH,X600307.SH,X600160.SH,X600547.SH,X600098.SH,X600489.SH,X000792.SZ,X600660.SH,X600808.SH,X000060.SZ,X600863.SH,X002470.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.79037609818255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485716945377691,-0.00815523361645863,0,-0.0210941509725775,0,0.0398828994201007,0,0,0,0,0,0,0,0,0.0324396180724954,0,0,0,0,0.0350122691597319,-0.0551363662331742,0,0,0,0,0,0
X600028.SH,0.394940908626101,0,0.0183642974837283,0,0,0,0.226570179345062,0.000210140621983699,0,0,0,0,0,0,0,0,0,0,0,0.0609482332764304,0,0,0,0,0.109367046111233,0,0,0,0,0,0,0,0,0.0297966110864774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222529191936694,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.145653238257423,0,0,0,0.0822632752015888,0,0,0,0.204457496765255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113625322172734,0,0.0356001555128637,0,0,0,0,0,0,0,0,0,0.0580676631048027,0,0,0,0,0.057956890712645,0,0,-0.0053395690878107,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744300389719376,0,0.135622610564768,0,0,0.030853986155296,0.0751171946158268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185014948368828,0.186269758831986,0,0,0,0,0,-0.00190135176463581,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.144654870019627,0,0,0,0.14307553188693,0,0,0.0748606993935711,0,0,0,0.000732812313674879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393029731041547,0,0,-0.00320114580534747,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00346887266130135,0.156480484074939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110214376919949,0,0,0,0,-0.0593203833302168,0.0414933007424957,0,0,0,0,0,0
X600019.SH,0,0,0.147354853658206,0,0.150484431525376,0,0,0,0,0,0,0,0,0,0.16845325554358,0,0,0,0,0,0,0.0489291000132157,0,0,0,0,0,0,0.207498230868761,0,0,0,0,0.0269521606111225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134405746381257,0,0,0,0,0,0,0,0,0,0,0,0,0.105175786143159,0,0,0,0,0,0,0,0,0,0.30580186268989,0,0,0,0.000899435300560761,0,0,0,0,0,0,0
X600585.SH,0,0.218515840506411,0.0298659754701962,0.0353922089616776,0.11603593170903,0,0,0,0,0,0,0,0,0,0,0,0,0.209443387189958,0,0,0,0.0163464818766543,0,0,0.0192713829741103,0,0,0.0403168604803531,0,0,0,0,0,0,0.00915362859632836,0,0,0,0,0,0.0721115513243218,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0475335381235761,0,0,0.172074646129757,0,0,0,0.0738912309981738,0,0,0,0,0,0,0,0.122883512543717,0,0,0,0.0185821836399835,0,0.0620268669479547,0,0,0,0,0.0051901117935463,0,0.00700841229717788,0,0,0,0,0,0,0,0.20324397391457,0,0.0684832735374991,0,0,0,0,0,0,0,0,0
