,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X600010.SH,X002271.SZ,X000708.SZ,X000301.SZ,X600547.SH,X601600.SH,X600886.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X600027.SH,X601991.SH,X600803.SH,X000983.SZ,X000786.SZ,X600995.SH,X000629.SZ,X600160.SH,X000408.SZ,X600096.SH,X000723.SZ,X600219.SH,X600489.SH,X002080.SZ,X000807.SZ,X600378.SH,X000630.SZ,X000933.SZ,X600348.SH,X600141.SH,X600688.SH,X600157.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.619175174969542,0,0,0,0,0,0,0,0,0,0,0.0560599890908415,0,0,0,0,0,0,0,0,0,0,0,0,-0.018017567824082,0,0.0534406912300625,0,0.169180206018147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00101823491316249,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.398996079623198,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223249037682646,0,0,0,0,0,0,0,0.0935412087608582,0,0,0,0.135358574985321,0,0,0,0,0.0062412617684291,0.0246433494394485,0,0,0,0,0,0,0,0.0563629271844209,0,0,0,0,0,0,0,-0.0022872661912903,0,0,0,0,0,0,0
X600028.SH,0.593113312405128,0,0,0,0,0,0,0,0,0.0450498899656118,0,0,0,0,0,0.0020871948446861,0,0.00642533628027779,0,0,0,0,0,0,0,0,0,0,0.0520436793059834,0.0725589514030295,0,0,0,0,0,0,-0.034166777325626,0,0,0,0,0,0,0,0,0,0,-0.0249264750084863,0,0,0,0.00134536617285432,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181752811626005,0,0,0.216825752843812,0.115261984084912,0,0,0,-0.0837930994070523,0.0455049667720179,0,0,0,0,-0.0108070459674701,0,0,0.327131722515858,0,-0.099028020511652,-0.161042927823824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730587060826585,-0.0281989437321185,0,0,0,0,0,0
X600188.SH,0,0.407633738185131,0,0,0,0,0,0,0,0,0.0631387888698162,0,0,0,0,-0.0494641208282295,0,0.0581917442321945,0,0,0,0,0,0,0,0,0,0,0.0656528706203845,0,0.116050714379467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294396789533967,0.0133688376689735,0,0,0,0,0,0.00233409564462365,0.0436537760648391,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234549837026962,0,0,0,0,0.329276420167312,0,0,0,0,0,0.0143839747495931,0.112496935739504,0,0,0.272251732210696,0,0,-0.015573601395763,0,-0.0365661826809449,0,0,0,0.0178749851885936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.478730660651581,0,0.11239654460843,-0.00658922611075013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184209908815869,0.0958332702027764,0,0,0,0,0.0428656823865922,0,0.0672406074557061,0,0,0,0,0,0,0,0,0.000980783913551068,0.023404851614722,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.647441507851026,0,0,0.0572237364925361,0,0,0,0,0,0.0693024082041971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666224550079962,0,0,0,0,0,0,0,0,0,0,0,0.0119989610263611,0,0,0,0,0,-0.0167888214995438,-0.0193658159754609,0,0,0,0,0,0
X600019.SH,1.38777878078145e-17,0,0,0,0,0,0,-0.021958077468119,0,0,0,0.0361894326325282,0,0,0,0,0,0,0,0.434528620396171,0,0.0932230874013624,0,0.0166412793374792,0,0,0,0,0,0,0,0.144583145516703,-0.0433821876810487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000962636633826403,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.476372408645199,0,0,0,0,0,0,0.041157977488541,0,0,0,0,0,0,0,0,0,0,0,0,-0.0683099983116495,0,0,0,0,0.0642352897802728,0,0,0,0,0,0,0,0,0,0.159319117979735,0,0,0,0,0,0,0,0,0.0386460751466467,-0.0228554321995392,0,0,0,0,0,0,0
