,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X600795.SH,X601600.SH,X601991.SH,X600111.SH,X600157.SH,X600362.SH,X600027.SH,X600886.SH,X002466.SZ,X601992.SH,X600623.SH,X600489.SH,X000792.SZ,X600299.SH,X600309.SH,X600660.SH,X300072.SZ,X600549.SH,X002075.SZ,X600583.SH,X601158.SH,X000883.SZ,X000709.SZ,X600352.SH,X000723.SZ,X000898.SZ,X000983.SZ,X002407.SZ,X000539.SZ,X002460.SZ,X002470.SZ,X000060.SZ,X000027.SZ,X000630.SZ,X600021.SH,X600176.SH,X000012.SZ,X600219.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0271829841084433,0,0,0,0,-3.46944695195361e-18,0,0.0176172508496618,0,0,0,0.0627533505006194,0,0.0251716206876713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166514298565728,0,0,0,0,0,0,0,0,0,-0.0234239045428305,0,0,0,0,0,0,0,0,0,0,-0.0244049715395873,0.0256227458547584,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.153979711361695,-0.0451238253671937,0.017375642824361,0,0,0,0,-0.00938480161254487,0,0,0,0,0,0.0252730991702689,0,0,0,0,0,0,0.0333976451277758,1.0842021724855e-19,0,0,0,0,0,-0.00717236078290742,0,0,-0.00940200972060377,0,0,0.0268203090808841,0,0,0,0,0,0,0,0,0,0,0.00719387848764598,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.200996113747067,0,0,0.0182013735280601,0,0,0,0,0.000790643709163149,0,0,0,0,0,0.0452251344378207,-0.0273197463462871,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0895768266595318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513364486177634,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0781764603549764,0,0.0980274971613989,-0.0272134620501393,0.0229602125288776,0,0,0,0.040578324247059,0,0,0,0,0.0215830376573058,0,0,0,0,0,0,0,0,0.00560131277924136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183311880855332,0,0,0.0692001752441589,0,0,0,0,-0.0335441262358241,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0552244269069269,0,0.310679954142431,0,0,0,0,0,0,0,0,0.014977933699819,0,0,0,0,0.0977940584376702,0,0,0,0,0.0194144901387612,0,0.104205062984548,0,0,0,0,0,0.00199535921980444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242072489672315,0,0,0,0,0,0,0.0630479664391234,0,0,0.012244743817143,0,0,0,0.072807718960412,-1.73472347597681e-18,0,0.0782085974157005,0,0.0203463632636132,0,0.0518670751117503,0.0734756727833637,0,-0.063365736437837,0,0,0,0,0,0,0,0,0,0,0,0,0.0146690195935619,0.101253931831251,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0118525605590931,0.113466322689448,0,0,0,0.12000632799769,0.0108139891961883,0,0,0,0,0,0,0,0,0.0287939628721189,0.0859888279571771,0,0,0.0208781690306455,-0.0449224756815887,0,0,0,0.0967346894033658,0,0,0,0,0,0,0.0987460281887624,0,0,0,0,0,0,0,0,0,0,-0.00265854802323957,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,-0.0135355046509596,0,0,0.105179274824577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108086288718508,0.0351599157740701,0.0309827110567617,0,0,0,0,0,0.0531236823075895,0,0.183563193194428,0,0,0.0602227969818346,0,0.065790473189653,0,0,0,0,0.0841892659577091,0,0,0,-0.028535323886614,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.0289226474054844,0,0,0,0,0,0,0,0,0.0546995874698095,0,0.0134552481463427,0,0.0880881977745219,0.191401813725637,0,0,0.0929071419317439,0.0127213233686847,0.1350514227905,0,0.0555442687150918,0,0,0,0,0,0,0,0,0,0.00855026757605114,0,0,0,0,0.159421634031326,0.0932446647038218,0,0,0,-0.00832296223116271,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0259760590522566,0,0,0,0,0,0,0,0,0.036139892792003,0,0.0996855225375057,0.695355494151122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121629810459462,0,0,0,0.0569145703319947,0,0,0,0,0,0
