,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X601158.SH,X600299.SH,X600188.SH,X600583.SH,X601992.SH,X000027.SZ,X600309.SH,X000539.SZ,X000630.SZ,X000792.SZ,X600352.SH,X002470.SZ,X600660.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600098.SH,X600623.SH,X601918.SH,X600489.SH,X600578.SH,X600863.SH,X600307.SH,X600315.SH,X300072.SZ,X600022.SH,X600547.SH,X000629.SZ,X600008.SH,X002004.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.502667371035239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547153310595024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619685182880823,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224527680912164,0,0,0.0464998426740431,0,0,0,0
X600028.SH,0.113810557701162,0,0,0,0,0,0,0.0387609630774822,0,0,0.023494773725697,0,0,0,0.0397256905746323,0,0,0,0.0284374230508492,0,0,0,0.0528517599927298,0,0,0,0,0,0,0,0,0,0,0.0694539078634027,0,0,0.0239406789583867,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.00916298715310378,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.590103041109279,0,0,0,0,0,0,0,0,0,0.00491750524094645,0,0,0,0,0,0,0.168190029364095,0,0,0,0,0,0,0,0,0.0232319265551045,0,0,0,0,0.0283625086974296,0,0,0,0,0,0,0,-0.0191265682409097,0,0,0,0,0,0,0
X600011.SH,0,0,0.0108838466648223,0,0.0604868615560589,0,0,0,0,0,0,0.388144695348952,0.151446647386728,0,0,0,0,0,0,0.0478366575776137,0,0.0399255850357134,0,0,0,0,0,0,0.0907405877390683,0,0,0,0.0246995743767508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00868370771413971,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336175726270798,0,0.0519004654129064,0.186295600551826,0,0.0329308244880719,0,0,0,0,0,0.0410128553351206,0,0.0557683213745849,0,0,0,0,0,0,0,0.0213118355699486,0,0,0,0,0,0,0,0,0,-0.0235415716632956,0,0,0,0,0,0,0
X600585.SH,0,0,0.0882618738634727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758583943644327,0,0,0,0.450568278718528,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0198685103973676,0,0,-0.00261656172471126,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.120317200682089,0,0,0.0998336269234677,0,0.0598761044541104,0.00673555970241116,0.121134114051804,0,0,0,0,0.0901453131043852,0,0,0.0441495252648226,0,0,0,0,0,0,0,0,0,0,0,0,0.0587104815267791,0,0,0,0,0,0,0,0.000507179663987781,0,0,0,0,0,0,0,0,0,-0.0162221194319465,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.342356404826473,0.108526300140761,0,0,0,0,0,0,0.0412306024611147,0,0,0,0,0.130025563633659,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.187482784915389,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151453210012263,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0493567923344182,0,0.175658480583745,0,0,0,0,0,0,0,0,0,0.137961100565025,0,0,0.0908549433953749,0,0.0109366627152818,0.164513720735379,0,0,0,0,0,0,0,0.000631427763681143,0,0,0,0,0,0,0,0,0,0,0,0.0388104948690032,0,0,-0.0146149346928587,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.147775459145733,0,0,0,0,0,0,0.241299602018619,0,0,0.0950990715861105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843164663657927,0,0.0829677811076987,0.0369218473172253,0,0.0544811844458286,0,0,0,0,0.127481534155226,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807496908269291,0,0,0.271507430542198,0,0,0,0,0,0,0,0,0,0,0.293222211384206,0,0,0,0,0,0,0,0,0.115574781298918,0,0,0,0.103854210280667,0,0,0,-0.0314094305964704,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0.0867807197840897,0,0.271057147535134,0,0,0,0,0,0,0.0397828141891015,0.0694691330520006,0.161377849118012,0,0,0,0,0.161713517684063,0,0.00940105708036537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266181505197633,0,0,0,0.00547821051049816,0,0,0,-0.00476403834821039,0,0,0,0,0,0,0
X600027.SH,0,0,0.11607795020431,0,0,0,0,0,0,0,0,0.398379481308883,0,0,0,0,0,0,0,0,0,0.037922511468983,0,0,0,0,0.0305821283821357,0,0.0551122135276228,0,0,0,0.0525619707559277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101915921882773,0,0,0,-0.0259223022328832,0,0,0,0,0,0,0
